date,FRA_commodities_f1__FRA_commodities_f2
2000-08-31,-0.07294930460330598
2000-09-01,-0.23922127138929217
2000-09-04,-0.3790013802492676
2000-09-05,-0.4878747989421132
2000-09-06,-0.5727019891978545
2000-09-07,-0.6388100799783061
2000-09-08,-0.6903396907605208
2000-09-11,-0.7305116950679814
2000-09-12,-0.7618330317207423
2000-09-13,-0.7862558705592964
2000-09-14,-0.8053009349572108
2000-09-15,-0.8201531927178084
2000-09-18,-0.8317361914647888
2000-09-19,-0.8407698561038236
2000-09-20,-0.8478154590472996
2000-09-21,-0.8533106290819659
2000-09-22,-0.8575966170191714
2000-09-25,-0.8609395378161542
2000-09-26,-0.8635469241763658
2000-09-27,-0.8655806290793835
2000-09-28,-0.8671668841093163
2000-09-29,-0.868404141515733
2000-10-02,-0.8693691889301117
2000-10-03,-0.8694475631323628
2000-10-04,-0.8699535190363428
2000-10-05,-0.870457104986616
2000-10-06,-0.8709203233450895
2000-10-09,-0.8713265849124587
2000-10-10,-0.8716718736839323
2000-10-11,-0.8719590039607857
2000-10-12,-0.8721940552689951
2000-10-13,-0.872384267581028
2000-10-16,-0.872536875012123
2000-10-17,-0.872658518820876
2000-10-18,-0.8727550029903246
2000-10-19,-0.872831242033053
2000-10-20,-0.8728913087787202
2000-10-23,-0.8729385275875633
2000-10-24,-0.8729755821124918
2000-10-25,-0.8730046211767764
2000-10-26,-0.8730273548749368
2000-10-27,-0.8730451378696326
2000-10-30,-0.8730590394912551
2000-10-31,-0.8730699015618246
2000-11-01,-0.8407658513446377
2000-11-02,-0.8475881258708631
2000-11-03,-0.8528830420616237
2000-11-06,-0.8569963684900276
2000-11-07,-0.8601943486846416
2000-11-08,-0.8626823322857273
2000-11-09,-0.8646189955258136
2000-11-10,-0.8661271611309722
2000-11-13,-0.8673020417716796
2000-11-14,-0.8682175388461097
2000-11-15,-0.8689310710263197
2000-11-16,-0.8694872871536438
2000-11-17,-0.8699209289965146
2000-11-20,-0.8702590435820513
2000-11-21,-0.8705226961112532
2000-11-22,-0.8707282982330441
2000-11-23,-0.8708886393203785
2000-11-24,-0.8710136879440572
2000-11-27,-0.8711112152379359
2000-11-28,-0.8711872800349292
2000-11-29,-0.8712466066090772
2000-11-30,-0.8712928789096063
2000-12-01,-0.7356585900758186
2000-12-04,-0.7376418593602463
2000-12-05,-0.7440905295499192
2000-12-06,-0.7537674133873871
2000-12-07,-0.7655013218203305
2000-12-08,-0.7782469367146281
2000-12-11,-0.7911355130299128
2000-12-12,-0.803504870208229
2000-12-13,-0.8149035873645777
2000-12-14,-0.8250717710547957
2000-12-15,-0.8339060833341227
2000-12-18,-0.8414183984905804
2000-12-19,-0.8476960008013434
2000-12-20,-0.8528682384534053
2000-12-21,-0.8570815433956745
2000-12-22,-0.8604825661313046
2000-12-25,-0.8632080292573175
2000-12-26,-0.8653795549215683
2000-12-27,-0.8671018454116489
2000-12-28,-0.8684629232342087
2000-12-29,-0.8695354981635741
2001-01-01,-0.8703788415734227
2001-01-02,-0.8108822316279825
2001-01-03,-0.8137331232276158
2001-01-04,-0.8186217944095334
2001-01-05,-0.8246412277628036
2001-01-08,-0.8310792091643
2001-01-09,-0.8374210808217051
2001-01-10,-0.8433315450580444
2001-01-11,-0.8486230050989689
2001-01-12,-0.8532188309975689
2001-01-15,-0.8571183027329256
2001-01-16,-0.8603672569124579
2001-01-17,-0.8630359027824097
2001-01-18,-0.8652035064669384
2001-01-19,-0.8669487418239424
2001-01-22,-0.8683442545498707
2001-01-23,-0.8694541062606183
2001-01-24,-0.8703330385487887
2001-01-25,-0.8710267908487607
2001-01-26,-0.87157295786513
2001-01-29,-0.8720020636429091
2001-01-30,-0.8723386633526274
2001-01-31,-0.8726023720090772
2001-02-01,-0.8246762091093842
2001-02-02,-0.8356064947747628
2001-02-05,-0.8440467894179435
2001-02-06,-0.8505779163450965
2001-02-07,-0.8556402971544462
2001-02-08,-0.8595695436794422
2001-02-09,-0.8626225552785645
2001-02-12,-0.8649967321918542
2001-02-13,-0.8668442311777668
2001-02-14,-0.8682826307726953
2001-02-15,-0.8694029715971584
2001-02-16,-0.8702758579029041
2001-02-19,-0.8709561134567697
2001-02-20,-0.8714863503623101
2001-02-21,-0.8718997146227806
2001-02-22,-0.872222004531298
2001-02-23,-0.8724733089542228
2001-02-26,-0.8726692766493642
2001-02-27,-0.8728221011426375
2001-02-28,-0.8729412857761975
2001-03-01,-0.8594262874321844
2001-03-02,-0.8623191064958675
2001-03-05,-0.8646270476992999
2001-03-06,-0.8664566290016541
2001-03-07,-0.8679007079827967
2001-03-08,-0.8690370423849076
2001-03-09,-0.869929259159921
2001-03-12,-0.8706286806178041
2001-03-13,-0.8711763158219472
2001-03-14,-0.8716047228072926
2001-03-15,-0.8719396332847972
2001-03-16,-0.872201317629628
2001-03-19,-0.8724057058464897
2001-03-20,-0.8725652947086321
2001-03-21,-0.8726898746047601
2001-03-22,-0.8727871078986361
2001-03-23,-0.8728629868523735
2001-03-26,-0.8729221948777761
2001-03-27,-0.8729683907574953
2001-03-28,-0.8730044318101575
2001-03-29,-0.8730325488480276
2001-03-30,-0.8730544831814121
2001-04-02,-0.873071593807464
2001-04-03,-0.8714767452059959
2001-04-04,-0.8718048047468886
2001-04-05,-0.872068527431484
2001-04-06,-0.8722789455149064
2001-04-09,-0.8724459150292929
2001-04-10,-0.8725778695408238
2001-04-11,-0.8726818339887683
2001-04-12,-0.8727635563622961
2001-04-13,-0.8728276819408142
2001-04-16,-0.8728779317924505
2001-04-17,-0.872917267483509
2001-04-18,-0.8729480348527388
2001-04-19,-0.8729720853699069
2001-04-20,-0.8729908763572987
2001-04-23,-0.873005552525396
2001-04-24,-0.8730170116068288
2001-04-25,-0.8730259567849701
2001-04-26,-0.8730329383368586
2001-04-27,-0.8730383865690916
2001-04-30,-0.8730426377837819
2001-05-01,-0.8578519976099882
2001-05-02,-0.860981952156881
2001-05-03,-0.863451311869872
2001-05-04,-0.8653930065881386
2001-05-07,-0.8669163797436173
2001-05-08,-0.8681097098300481
2001-05-09,-0.8690434792514375
2001-05-10,-0.8697735675993805
2001-05-11,-0.8703440723144363
2001-05-14,-0.8707896831871741
2001-05-15,-0.8711376290594915
2001-05-16,-0.8714092486817421
2001-05-17,-0.8716212455701375
2001-05-18,-0.8717866837436613
2001-05-21,-0.8719157742251642
2001-05-22,-0.8720164942658297
2001-05-23,-0.8720950737360433
2001-05-24,-0.8721563765272587
2001-05-25,-0.8722041992495637
2001-05-28,-0.8722415049375074
2001-05-29,-0.8722706057746025
2001-05-30,-0.8722933058800212
2001-05-31,-0.872311012840197
2001-06-01,-0.7785152622513288
2001-06-04,-0.7484323514277075
2001-06-05,-0.7259116583966321
2001-06-06,-0.7096657026717369
2001-06-07,-0.6984764868885046
2001-06-08,-0.691222052778471
2001-06-11,-0.6869064123462731
2001-06-12,-0.6846837953215488
2001-06-13,-0.683870520137967
2001-06-14,-0.6839421142305764
2001-06-15,-0.6845176571772811
2001-06-18,-0.6853360435990665
2001-06-19,-0.6862294289050486
2001-06-20,-0.6870980629701764
2001-06-21,-0.687888996295591
2001-06-22,-0.6885795493225514
2001-06-25,-0.6891653457959935
2001-06-26,-0.689652157508576
2001-06-27,-0.6900506508066893
2001-06-28,-0.6903731944639843
2001-06-29,-0.690632051488473
2001-07-02,-0.6908384543727709
2001-07-03,0.3257831239785475
2001-07-04,0.3634841499484927
2001-07-05,0.40304098495964025
2001-07-06,0.4439500326031577
2001-07-09,0.4855526075464474
2001-07-10,0.5270655918837741
2001-07-11,0.5676377348700153
2001-07-12,0.6064256216045595
2001-07-13,0.6426760049743304
2001-07-16,0.6757973257054004
2001-07-17,0.7054053369986536
2001-07-18,0.7313353110848706
2001-07-19,0.7536228954196026
2001-07-20,0.7724631159941171
2001-07-23,0.7881598715510145
2001-07-24,0.8010767679776272
2001-07-25,0.8115962691578468
2001-07-26,0.8200900132013619
2001-07-27,0.8269000622670254
2001-07-30,0.8323291682273017
2001-07-31,0.8366375950154601
2001-08-01,0.8341228627803504
2001-08-02,0.838068947315821
2001-08-03,0.8411358089603133
2001-08-06,0.8435212648615966
2001-08-07,0.8453778686190833
2001-08-08,0.8468235646579421
2001-08-09,0.8479497187224734
2001-08-10,0.8488272152069333
2001-08-13,0.8495111135929047
2001-08-14,0.8500442207817881
2001-08-15,0.8504598415907283
2001-08-16,0.8507839024672234
2001-08-17,0.8510365948874241
2001-08-20,0.8512336492778898
2001-08-21,0.8513873238696537
2001-08-22,0.8515071730900236
2001-08-23,0.8516006451392383
2001-08-24,0.8516735470259562
2001-08-27,0.8517304066421945
2001-08-28,0.8517747547850377
2001-08-29,0.85180934489235
2001-08-30,0.8518363242899215
2001-08-31,0.8518573676750036
2001-09-03,0.7934461095754173
2001-09-04,0.7969136310404304
2001-09-05,0.8020889403807965
2001-09-06,0.8081271090391561
2001-09-07,0.8143880137179164
2001-09-10,0.8204271069096234
2001-09-11,0.8259690945448415
2001-09-12,0.8308723948631737
2001-09-13,0.8350920353454044
2001-09-14,0.8386464618617769
2001-09-17,0.8415910325584787
2001-09-18,0.8439987537738104
2001-09-19,0.8459474574533068
2001-09-20,0.847512041601803
2001-09-21,0.848760338746437
2001-09-24,0.8497513858506345
2001-09-25,0.8505351628175647
2001-09-26,0.8511531469713376
2001-09-27,0.8516392573925159
2001-09-28,0.8520209286704655
2001-10-01,0.8523201665239349
2001-10-02,0.8544130665952315
2001-10-03,0.8539909444449478
2001-10-04,0.8537412942456949
2001-10-05,0.853598673551276
2001-10-08,0.8535210119884082
2001-10-09,0.8534818154524215
2001-10-10,0.85346472106762
2001-10-11,0.8534598203492866
2001-10-12,0.8534612419024784
2001-10-15,0.8534655963651103
2001-10-16,0.8534709941382699
2001-10-17,0.8534764348072664
2001-10-18,0.8534814332581696
2001-10-19,0.8534857941700712
2001-10-22,0.8534894782407108
2001-10-23,0.8534925243949065
2001-10-24,0.8534950057111867
2001-10-25,0.8534970053636789
2001-10-26,0.8534986042394743
2001-10-29,0.8534998752135532
2001-10-30,0.8535008811003
2001-10-31,0.8535016745376937
2001-11-01,0.8297072294237385
2001-11-02,0.834692949522124
2001-11-05,0.8386578909287542
2001-11-06,0.8417937139313348
2001-11-07,0.8442645642029735
2001-11-08,0.8462063801684846
2001-11-09,0.8477295793954652
2001-11-12,0.84892277283116
2001-11-13,0.8498565083413042
2001-11-14,0.8505866478981596
2001-11-15,0.8511572552011535
2001-11-16,0.8516029913420379
2001-11-19,0.8519510657783043
2001-11-20,0.8522228060079485
2001-11-21,0.8524349100673225
2001-11-22,0.8526004401459425
2001-11-23,0.8527296075321243
2001-11-26,0.8528303908098886
2001-11-27,0.8529090216193151
2001-11-28,0.8529703656976705
2001-11-29,0.8530182213879896
2001-11-30,0.8530555532596502
2001-12-03,0.8355687420225404
2001-12-04,0.8370595135752514
2001-12-05,0.839002734483727
2001-12-06,0.84107461491528
2001-12-07,0.8430755754014003
2001-12-10,0.8448961979027103
2001-12-11,0.846488186794037
2001-12-12,0.8478417525136065
2001-12-13,0.8489692742475973
2001-12-14,0.8498942642722194
2001-12-17,0.8506443884975063
2001-12-18,0.8512473669372647
2001-12-19,0.8517287952594812
2001-12-20,0.8521111755703719
2001-12-21,0.8524136627224888
2001-12-24,0.8526522020952356
2001-12-25,0.8528398565244555
2001-12-26,0.8529872024461074
2001-12-27,0.8531027285212812
2001-12-28,0.8531932029397348
2001-12-31,0.8532639951122768
2002-01-01,0.8458565990185656
2002-01-02,0.8474701252464903
2002-01-03,0.848749616608285
2002-01-04,0.8497597310844986
2002-01-07,0.8505547040332834
2002-01-08,0.8511789622859485
2002-01-09,0.8516683662665322
2002-01-10,0.8520515837746039
2002-01-11,0.8523513822402136
2002-01-14,0.8525857596410431
2002-01-15,0.8527688963518861
2002-01-16,0.8529119377104263
2002-01-17,0.8530236277738303
2002-01-18,0.8531108173706241
2002-01-21,0.8531788685028575
2002-01-22,0.853231974615226
2002-01-23,0.8532734132972629
2002-01-24,0.8533057451273828
2002-01-25,0.8533309698166255
2002-01-28,0.853350648631584
2002-01-29,0.8533660002656045
2002-01-30,0.8533779758491409
2002-01-31,0.8533873175976967
2002-02-01,0.854158538223359
2002-02-04,0.8539954325486746
2002-02-05,0.8538705171153439
2002-02-06,0.8537745021093135
2002-02-07,0.8537004811733803
2002-02-08,0.8536432781834458
2002-02-11,0.8535989860437269
2002-02-12,0.8535646374490814
2002-02-13,0.8535379671768876
2002-02-14,0.8535172385546691
2002-02-15,0.8535011154584488
2002-02-18,0.8534885670058255
2002-02-19,0.8534787960042293
2002-02-20,0.8534711848504073
2002-02-21,0.8534652543789045
2002-02-22,0.8534606324039475
2002-02-25,0.8534570295730443
2002-02-26,0.8534542207713433
2002-02-27,0.8534520307625137
2002-02-28,0.8534503230773073
2002-03-01,0.8501725267517349
2002-03-04,0.8508561672290489
2002-03-05,0.8513981538695253
2002-03-06,0.8518260792135738
2002-03-07,0.8521629424955643
2002-03-08,0.8524275392974968
2002-03-11,0.8526350316956168
2002-03-12,0.8527975423140374
2002-03-13,0.8529247028745407
2002-03-14,0.8530241313162945
2002-03-15,0.8531018327306479
2002-03-18,0.8531625290540491
2002-03-19,0.8532099262949989
2002-03-20,0.8532469289767316
2002-03-21,0.8532758110006504
2002-03-22,0.853298351082728
2002-03-25,0.8533159396974693
2002-03-26,0.8533296632814605
2002-03-27,0.8533403703883408
2002-03-28,0.8533487235780869
2002-03-29,0.8533552400654988
2002-04-01,0.8533603235320937
2002-04-02,0.8280251537430733
2002-04-03,0.8334525770565001
2002-04-04,0.8376851373757677
2002-04-05,0.8409842350218721
2002-04-08,0.8435553709734691
2002-04-09,0.8455592114558236
2002-04-10,0.8471210587958522
2002-04-11,0.8483385347890151
2002-04-12,0.8492876703548718
2002-04-15,0.8500276804860815
2002-04-16,0.8506046898161507
2002-04-17,0.8510546331806265
2002-04-18,0.8514055121270541
2002-04-19,0.851679150203686
2002-04-22,0.8518925586368187
2002-04-23,0.8520589992175119
2002-04-24,0.8521888118162507
2002-04-25,0.8522900588571538
2002-04-26,0.8523690273828981
2002-04-29,0.8524306202737153
2002-04-30,0.8524786611545387
2002-05-01,0.8324878515268722
2002-05-02,0.8365235449726346
2002-05-03,0.8396775509617016
2002-05-06,0.8421406615844472
2002-05-07,0.8440633674504354
2002-05-08,0.8455638270592458
