date,FRA_financial_markets_f1__FRA_financial_markets_f2
1999-02-01,-0.08451106566909825
1999-02-02,-0.23598594101331155
1999-02-03,-0.37601984446128933
1999-02-04,-0.48524460600280367
1999-02-05,-0.5704431034212797
1999-02-08,-0.6369018574686525
1999-02-09,-0.6887430126679377
1999-02-10,-0.7291815788594174
1999-02-11,-0.7607253661037816
1999-02-12,-0.7853306528315458
1999-02-15,-0.8045235085642621
1999-02-16,-0.8194944001766858
1999-02-17,-0.8311719856238566
1999-02-18,-0.8402806813072865
1999-02-19,-0.8473855733175696
1999-02-22,-0.8529274552340852
1999-02-23,-0.8572501627086292
1999-02-24,-0.8606218979314525
1999-02-25,-0.8632518650209267
1999-02-26,-0.8653032471156539
1999-03-01,-0.8669033294509938
1999-03-02,-0.8778617247444033
1999-03-03,-0.8770157879985023
1999-03-04,-0.876331788221302
1999-03-05,-0.8757828574142761
1999-03-08,-0.8753449617355187
1999-03-09,-0.8749973086350137
1999-03-10,-0.874722345573701
1999-03-11,-0.8745055245968499
1999-03-12,-0.8743349544339665
1999-03-15,-0.874201017930528
1999-03-16,-0.8740960002445134
1999-03-17,-0.8740137513029995
1999-03-18,-0.8739493921704491
1999-03-19,-0.8738990668525027
1999-03-22,-0.8738597367031068
1999-03-23,-0.8738290125964039
1999-03-24,-0.8738050193991904
1999-03-25,-0.8737862874094622
1999-03-26,-0.8737716659262832
1999-03-29,-0.8737602547595152
1999-03-30,-0.8737513501493565
1999-03-31,-0.8737444021812474
1999-04-01,-0.7664390186833776
1999-04-02,-0.7674979422538091
1999-04-05,-0.7701538371363161
1999-04-06,-0.773774289795279
1999-04-07,-0.7778392471717056
1999-04-08,-0.7819586433555924
1999-04-09,-0.7858684308958032
1999-04-12,-0.7894123622665337
1999-04-13,-0.7925173282068828
1999-04-14,-0.7951684194212516
1999-04-15,-0.7973874342885778
1999-04-16,-0.799216339075395
1999-04-19,-0.8007056761214079
1999-04-20,-0.8019071347793293
1999-04-21,-0.8028692549157499
1999-04-22,-0.8036352934384777
1999-04-23,-0.8042424736336128
1999-04-26,-0.8047220489162809
1999-04-27,-0.8050997967925948
1999-04-28,-0.8053966997418485
1999-04-29,-0.8056296689363144
1999-04-30,-0.8058122323155945
1999-05-03,-0.7538323486197089
1999-05-04,-0.7780585763166183
1999-05-05,-0.795780526248156
1999-05-06,-0.8089488029113634
1999-05-07,-0.818847138354155
1999-05-10,-0.8263521136160403
1999-05-11,-0.8320797252447777
1999-05-12,-0.8364726935744243
1999-05-13,-0.839854872057034
1999-05-14,-0.8424664721023842
1999-05-17,-0.8444876185502962
1999-05-18,-0.8460545409778237
1999-05-19,-0.8472709649690611
1999-05-20,-0.8482162843033161
1999-05-21,-0.8489515197123508
1999-05-24,-0.8495237222552972
1999-05-25,-0.8499692630888643
1999-05-26,-0.8503163131499252
1999-05-27,-0.8505867256182007
1999-05-28,-0.8507974731818622
1999-05-31,-0.8509617503950943
1999-06-01,-0.8497735157378591
1999-06-02,-0.853284782885381
1999-06-03,-0.8560474377163798
1999-06-04,-0.8582169985148884
1999-06-07,-0.8599182748158648
1999-06-08,-0.8612507963507144
1999-06-09,-0.8622935436971897
1999-06-10,-0.863108952109723
1999-06-11,-0.8637462314169865
1999-06-14,-0.8642440782154133
1999-06-15,-0.864632867402505
1999-06-16,-0.8649364084924184
1999-06-17,-0.8651733444081048
1999-06-18,-0.865358260254295
1999-06-21,-0.865502559011312
1999-06-22,-0.8656151512126652
1999-06-23,-0.865702996947665
1999-06-24,-0.8657715310977672
1999-06-25,-0.8658249965299684
1999-06-28,-0.8658667049074681
1999-06-29,-0.8658992406823993
1999-06-30,-0.8659246205514679
1999-07-01,-0.5047006749106998
1999-07-02,-0.20647032238409482
1999-07-05,0.02531611302332965
1999-07-06,0.20560618984958345
1999-07-07,0.3459278927207942
1999-07-08,0.455194306187236
1999-07-09,0.540310207471319
1999-07-12,0.606632691385303
1999-07-13,0.6583229775953748
1999-07-14,0.6986163326158934
1999-07-15,0.7300299083104533
1999-07-16,0.754523226765812
1999-07-19,0.7736223738601228
1999-07-20,0.7885162742737267
1999-07-21,0.8001314248544821
1999-07-22,0.8091899676011248
1999-07-23,0.8162548536413281
1999-07-26,0.8217649903942422
1999-07-27,0.8260626073009449
1999-07-28,0.8294145712773247
1999-07-29,0.8320289946386746
1999-07-30,0.8340681782556424
1999-08-02,0.8356587005090166
1999-08-03,0.4106030509632061
1999-08-04,0.1305340750610528
1999-08-05,-0.08847314080477836
1999-08-06,-0.25966010939972584
1999-08-09,-0.3934176105887046
1999-08-10,-0.49789506479353735
1999-08-11,-0.5794793704680637
1999-08-12,-0.6431723172920482
1999-08-13,-0.692888215133382
1999-08-16,-0.7316884368278652
1999-08-17,-0.7619660179532016
1999-08-18,-0.7855907490144998
1999-08-19,-0.8040230655501102
1999-08-20,-0.818403341514733
1999-08-23,-0.8296218280058685
1999-08-24,-0.8383733868742728
1999-08-25,-0.8452002957010649
1999-08-26,-0.8505257054200015
1999-08-27,-0.854679780230457
1999-08-30,-0.8579201131244353
1999-08-31,-0.860447666174957
1999-09-01,-0.8355738115139313
1999-09-02,-0.8422893155828236
1999-09-03,-0.8474848397470945
1999-09-06,-0.8515111227212377
1999-09-07,-0.8546355494903122
1999-09-08,-0.8570627789009481
1999-09-09,-0.8589500242466516
1999-09-10,-0.8604184223081703
1999-09-13,-0.8615615472661983
1999-09-14,-0.8624518294438517
1999-09-15,-0.8631454243652233
1999-09-16,-0.8636859260358245
1999-09-17,-0.864107211503455
1999-09-20,-0.8644356279724642
1999-09-21,-0.8646916794502156
1999-09-22,-0.8648913305670772
1999-09-23,-0.8650470163901398
1999-09-24,-0.8651684257145869
1999-09-27,-0.8652631093746931
1999-09-28,-0.8653369531095887
1999-09-29,-0.865394545414507
1999-09-30,-0.8654394638658687
1999-10-01,-0.8651909403314441
1999-10-04,-0.8652802176968468
1999-10-05,-0.8653501487777786
1999-10-06,-0.8654048737142122
1999-10-07,-0.8654476675818389
1999-10-08,-0.8654811126140206
1999-10-11,-0.8655072397093756
1999-10-12,-0.8655276431253394
1999-10-13,-0.8655435725437248
1999-10-14,-0.8655560064559782
1999-10-15,-0.8655657103563981
1999-10-18,-0.8655732827101291
1999-10-19,-0.8655791911582954
1999-10-20,-0.8655838009704723
1999-10-21,-0.8655873973666248
1999-10-22,-0.8655902030065846
1999-10-25,-0.8655923916794633
1999-10-26,-0.8655940990103351
1999-10-27,-0.8655954308290413
1999-10-28,-0.8655964697085564
1999-10-29,-0.8655972800714143
1999-11-01,-0.8655979121766755
1999-11-02,-0.6495548265330486
1999-11-03,-0.35169384779800483
1999-11-04,-0.11018919011820766
1999-11-05,0.08415319849869282
1999-11-08,0.23957331994407768
1999-11-09,0.36323602133548105
1999-11-10,0.46122618714313435
1999-11-11,0.5386170936602769
1999-11-12,0.5995778658247151
1999-11-15,0.6474959748822083
1999-11-16,0.6850994185277023
1999-11-17,0.7145698500320729
1999-11-18,0.7376425005248605
1999-11-19,0.7556916466497204
1999-11-22,0.7698020652708683
1999-11-23,0.7808277856769253
1999-11-24,0.7894398026613821
1999-11-25,0.7961644649012273
1999-11-26,0.801414142883449
1999-11-29,0.80551159666685
1999-11-30,0.8087092572863526
1999-12-01,-0.3170366874548166
1999-12-02,-0.3470083855936539
1999-12-03,-0.37979482931185604
1999-12-06,-0.4151053397668563
1999-12-07,-0.45249486456926985
1999-12-08,-0.4913588231417756
1999-12-09,-0.5309487188188448
1999-12-10,-0.5704131170739919
1999-12-13,-0.6088627156232269
1999-12-14,-0.6454505528426753
1999-12-15,-0.6794519997532092
1999-12-16,-0.7103274765559603
1999-12-17,-0.7377552990472837
1999-12-20,-0.7616308995938421
1999-12-21,-0.7820378245768489
1999-12-22,-0.7992016616051494
1999-12-23,-0.8134390358866834
1999-12-24,-0.8251111295166383
1999-12-27,-0.8345870074908597
1999-12-28,-0.8422182384556913
1999-12-29,-0.8483237766933094
1999-12-30,-0.8531828855200114
1999-12-31,-0.8570336662266644
2000-01-03,-0.8941991425369592
2000-01-04,-0.8902207363611588
2000-01-05,-0.8868776201597832
2000-01-06,-0.8841353093972097
2000-01-07,-0.8819292130573682
2000-01-10,-0.8801807229009655
2000-01-11,-0.8788096880799219
2000-01-12,-0.8777422892116291
2000-01-13,-0.8769148628850432
2000-01-14,-0.8762748733507554
2000-01-17,-0.8757802294587488
2000-01-18,-0.8753978502617812
2000-01-19,-0.8751020423108976
2000-01-20,-0.874872981982214
2000-01-21,-0.8746954217866783
2000-01-24,-0.8745576434306542
2000-01-25,-0.8744506357431847
2000-01-26,-0.8743674601254293
2000-01-27,-0.8743027650850297
2000-01-28,-0.8742524161986006
2000-01-31,-0.8742132141969817
