date,USA_real_estate_f1__USA_real_estate_f2
1999-02-01,0.28898136710837546
1999-02-02,0.045389198028966855
1999-02-03,-0.14593743996275477
1999-02-04,-0.29515709810540125
1999-02-05,-0.4115398300772878
1999-02-08,-0.5023132411034081
1999-02-09,-0.573113434391566
1999-02-10,-0.62833573691749
1999-02-11,-0.6714080132615635
1999-02-12,-0.7050037070746892
1999-02-15,-0.731207930993294
1999-02-16,-0.7516469688757323
1999-02-17,-0.7675892594656775
1999-02-18,-0.7800241470611263
1999-02-19,-0.789723297173944
1999-02-22,-0.79728859484922
1999-02-23,-0.8031895018145004
1999-02-24,-0.8077921929222289
1999-02-25,-0.8113822812839603
1999-02-26,-0.8141825430916846
1999-03-01,-0.8163667425016468
1999-03-02,-0.8179468790005262
1999-03-03,-0.8192798818347026
1999-03-04,-0.8203293349036436
1999-03-05,-0.8211537482546538
1999-03-08,-0.8218003622297715
1999-03-09,-0.8223069029274778
1999-03-10,-0.8227033362829835
1999-03-11,-0.8230133664351753
1999-03-12,-0.8232556849817109
1999-03-15,-0.8234449950474614
1999-03-16,-0.8235928405813222
1999-03-17,-0.8237082719305028
1999-03-18,-0.8237983764524184
1999-03-19,-0.8238686994015377
1999-03-22,-0.8239235765023847
1999-03-23,-0.8239663959691108
1999-03-24,-0.8239998044740422
1999-03-25,-0.8240258687742636
1999-03-26,-0.8240462023720179
1999-03-29,-0.8240620646701703
1999-03-30,-0.8240744385328876
1999-03-31,-0.8240840909165387
1999-04-01,-0.8236746420670124
1999-04-02,-0.823751889074108
1999-04-05,-0.8238206988770987
1999-04-06,-0.8238794639223087
1999-04-07,-0.8239284031746603
1999-04-08,-0.8239684651921603
1999-04-09,-0.8240008639667183
1999-04-12,-0.8240268353434955
1999-04-13,-0.8240475193045714
1999-04-14,-0.8240639122442315
1999-04-15,-0.8240768566317989
1999-04-16,-0.8240870493379039
1999-04-19,-0.8240950581152207
1999-04-20,-0.8241013405363955
1999-04-21,-0.8241062624700474
1999-04-22,-0.8241101147475206
1999-04-23,-0.8241131275359999
1999-04-26,-0.8241154823852908
1999-04-27,-0.8241173221329697
1999-04-28,-0.8241187589399511
1999-04-29,-0.824119880746606
1999-04-30,-0.8241207564231615
1999-05-03,-0.823476266130286
1999-05-04,-0.8236177403869392
1999-05-05,-0.8237284060652221
1999-05-06,-0.823814839590695
1999-05-07,-0.8238823267826907
1999-05-10,-0.8239350085676509
1999-05-11,-0.8239761256636899
1999-05-12,-0.8240082123375518
1999-05-13,-0.8240332492467956
1999-05-14,-0.8240527836811264
1999-05-17,-0.8240680239658906
1999-05-18,-0.8240799134673316
1999-05-19,-0.8240891885403356
1999-05-20,-0.8240964238628826
1999-05-21,-0.8241020678787753
1999-05-24,-0.8241064704925755
1999-05-25,-0.8241099047017422
1999-05-26,-0.8241125834879559
1999-05-27,-0.82411467300344
1999-05-28,-0.8241163028630228
1999-05-31,-0.8241175741760376
1999-06-01,-0.8227825704552375
1999-06-02,-0.8229827930401095
1999-06-03,-0.8231766690851867
1999-06-04,-0.8233508927428121
1999-06-07,-0.8235008985032717
1999-06-08,-0.8236265460079628
1999-06-09,-0.8237298374906371
1999-06-10,-0.8238136346446454
1999-06-11,-0.8238809679412776
1999-06-14,-0.8239346905005343
1999-06-15,-0.823977327239198
1999-06-16,-0.8240110306469297
1999-06-17,-0.8240375914437853
1999-06-18,-0.8240584745924133
1999-06-21,-0.8240748643503719
1999-06-22,-0.8240877097842904
1999-06-23,-0.8240977666075718
1999-06-24,-0.8241056336812225
