date,DEU_banking_system_f1__DEU_banking_system_f2
1999-02-01,-0.1511221552975456
1999-02-02,0.01093973877342858
1999-02-03,0.2697084756887811
1999-02-04,0.4516752847884311
1999-02-05,0.5783918993126761
1999-02-08,0.6660064403678541
1999-02-09,0.7262768176618248
1999-02-10,0.7675885117698338
1999-02-11,0.7958345197421792
1999-02-12,0.8151138264144507
1999-02-15,0.828257304848214
1999-02-16,0.8372104599407312
1999-02-17,0.8433058367516929
1999-02-18,0.847454042891435
1999-02-19,0.8502763733055718
1999-02-22,0.85219627473785
1999-02-23,0.8535021387917883
1999-02-24,0.854390279113248
1999-02-25,0.8549942849193616
1999-02-26,0.8554050412350312
1999-03-01,0.8556843703714015
1999-03-02,0.7465414486112194
1999-03-03,0.7487099579676224
1999-03-04,0.7602562125183308
1999-03-05,0.7770744246195842
1999-03-08,0.7955634688122282
1999-03-09,0.813107467355783
1999-03-10,0.8282221388860493
1999-03-11,0.8403824574440424
1999-03-12,0.8496940164271076
1999-03-15,0.8565749001141227
1999-03-16,0.8615322982428774
1999-03-17,0.8650406534249727
1999-03-18,0.8674927479103408
1999-03-19,0.8691918468281808
1999-03-22,0.8703621948905619
1999-03-23,0.8711650506025951
1999-03-24,0.8717142703020667
1999-03-25,0.8720892655145823
1999-03-26,0.8723449709520472
1999-03-29,0.872519179303634
1999-03-30,0.8726377932243865
1999-03-31,0.8727185211529347
1999-04-01,0.8737686550122438
1999-04-02,0.8734507644904294
1999-04-05,0.8732947530550991
1999-04-06,0.8732177445060615
1999-04-07,0.8731792425524741
1999-04-08,0.8731596077421483
1999-04-09,0.8731493269124596
1999-04-12,0.8731437698769744
1999-04-13,0.8731406585826744
1999-04-14,0.8731388529567384
1999-04-15,0.8731377689448375
1999-04-16,0.8731370984565904
1999-04-19,0.8731366733831479
1999-04-20,0.873136398616207
1999-04-21,0.8731362183835872
1999-04-22,0.873136098882784
1999-04-23,0.8731360190364341
1999-04-26,0.8731359653949989
1999-04-27,0.8731359292213295
1999-04-28,0.8731359047631374
1999-04-29,0.8731358881962694
1999-04-30,0.8731358769607239
1999-05-03,0.8554590426277122
1999-05-04,0.8609767929110371
1999-05-05,0.8645292543762356
1999-05-06,0.8668585986908597
1999-05-07,0.8684043814506391
1999-05-10,0.8694383866171238
1999-05-11,0.8701337496647058
1999-05-12,0.8706030569222609
1999-05-13,0.8709205641868079
1999-05-14,0.8711357238975734
1999-05-17,0.8712816893176579
1999-05-18,0.8713807875327102
1999-05-19,0.8714481012489708
1999-05-20,0.8714938408131596
1999-05-21,0.8715249281049973
1999-05-24,0.8715460602394128
1999-05-25,0.8715604267452886
1999-05-26,0.8715701944183049
1999-05-27,0.8715768357158951
1999-05-28,0.8715813514632849
1999-05-31,0.8715844220152332
1999-06-01,0.8205574707687183
1999-06-02,0.8200345645529786
1999-06-03,0.8254804179355838
1999-06-04,0.8336540421429967
1999-06-07,0.842272149997316
1999-06-08,0.8500339660835176
1999-06-09,0.8564054512321537
1999-06-10,0.8613300636987472
1999-06-11,0.864985073917531
1999-06-14,0.8676237318519885
1999-06-15,0.8694928842530549
1999-06-16,0.8707998649766218
1999-06-17,0.8717056780662836
1999-06-18,0.8723296646430759
1999-06-21,0.8727577358362631
1999-06-22,0.8730505774704762
1999-06-23,0.8732505250094409
1999-06-24,0.8733868676994666
1999-06-25,0.8734797561039022
1999-06-28,0.8735430014292676
1999-06-29,0.8735860458284058
1999-06-30,0.873615333396895
1999-07-01,0.799827998304398
1999-07-02,0.8233399198584144
1999-07-05,0.838446360611533
1999-07-06,0.848342674526347
1999-07-07,0.8549072480234077
1999-07-08,0.8592975360989
1999-07-09,0.8622496815214453
1999-07-12,0.8642420067033614
1999-07-13,0.8655898640406443
1999-07-14,0.866503228215253
1999-07-15,0.867122852905005
1999-07-16,0.8675435232906946
1999-07-19,0.8678292678853022
1999-07-20,0.8680234304126706
1999-07-21,0.8681553944490427
1999-07-22,0.8682450992333839
1999-07-23,0.8683060842422122
1999-07-26,0.8683475474448094
1999-07-27,0.8683757393569874
1999-07-28,0.868394908431214
1999-07-29,0.8684079427364032
1999-07-30,0.8684168057522835
1999-08-02,0.8684228324562334
1999-08-03,0.863894610059047
1999-08-04,0.8647807473792548
1999-08-05,0.8654074567960562
1999-08-06,0.86584469814947
1999-08-09,0.8661471203828209
1999-08-10,0.8663551172143691
1999-08-11,0.8664976391650326
1999-08-12,0.8665950546106213
1999-08-13,0.86666152829644
1999-08-16,0.8667068372099823
1999-08-17,0.8667376966224308
1999-08-18,0.8667587038262956
1999-08-19,0.8667729992604756
1999-08-20,0.8667827250222165
1999-08-23,0.8667893407872281
1999-08-24,0.8667938405443373
1999-08-25,0.8667969008572155
1999-08-26,0.8667989820900632
1999-08-27,0.8668003974295212
1999-08-30,0.8668013599066714
1999-08-31,0.8668020144122526
1999-09-01,0.44935844023866983
1999-09-02,0.013996709068390163
1999-09-03,-0.27932166652885565
1999-09-06,-0.47754520683013874
1999-09-07,-0.6117757254377184
1999-09-08,-0.7027954888499274
1999-09-09,-0.7645709021440669
1999-09-10,-0.8065238491282467
1999-09-13,-0.8350267974085076
1999-09-14,-0.8543972331742062
1999-09-15,-0.8675637819609515
1999-09-16,-0.8765145608696162
1999-09-17,-0.8825999444424172
1999-09-20,-0.8867374736840592
1999-09-21,-0.8895507465574223
1999-09-22,-0.8914636570456508
1999-09-23,-0.8927643823857816
1999-09-24,-0.8936488503427298
1999-09-27,-0.8942502765930335
1999-09-28,-0.8946592407264324
1999-09-29,-0.8949373335669114
1999-09-30,-0.8951264353312426
1999-10-01,-0.8906419208882116
1999-10-04,-0.8937705796364329
1999-10-05,-0.896066779044806
1999-10-06,-0.8977109686423046
1999-10-07,-0.8988688940129598
1999-10-08,-0.8996752496942129
1999-10-11,-0.9002325128025319
1999-10-12,-0.9006156410727308
1999-10-13,-0.9008781229216126
1999-10-14,-0.9010575199016259
1999-10-15,-0.9011799320313179
1999-10-18,-0.9012633680174276
1999-10-19,-0.901320195147323
1999-10-20,-0.901358879554311
1999-10-21,-0.9013852043581688
1999-10-22,-0.9014031141959423
1999-10-25,-0.9014152970300489
1999-10-26,-0.9014235832703786
1999-10-27,-0.9014292187960353
1999-10-28,-0.9014330513597298
1999-10-29,-0.9014356576897185
1999-11-01,-0.9014374300796263
1999-11-02,-0.755379637431258
1999-11-03,-0.7410761105298704
1999-11-04,-0.7417384080011958
1999-11-05,-0.7539208849096929
1999-11-08,-0.7735721406273302
1999-11-09,-0.79664097256885
1999-11-10,-0.819723963366713
1999-11-11,-0.8405044096244166
1999-11-12,-0.8578271171673497
1999-11-15,-0.8714636154862279
1999-11-16,-0.881752614000173
1999-11-17,-0.8892794748330132
1999-11-18,-0.8946649066782645
1999-11-19,-0.8984581689880351
1999-11-22,-0.9011008141832365
1999-11-23,-0.9029278986546443
1999-11-24,-0.9041845037508156
1999-11-25,-0.9050456441914323
1999-11-26,-0.9056343223350285
1999-11-29,-0.9060360669856173
