date,FRA_financial_markets_f1__FRA_financial_markets_f2
1999-02-01,-0.08451106566909825
1999-02-02,-0.31545215745084537
1999-02-03,-0.5037856942184141
1999-02-04,-0.6308095670812489
1999-02-05,-0.7167157212839331
1999-02-08,-0.7749182553942439
1999-02-09,-0.8143983239563357
1999-02-10,-0.84119996177973
1999-02-11,-0.8594044594872643
1999-02-12,-0.8717740143745026
1999-02-15,-0.8801809243235841
1999-02-16,-0.8858955951523618
1999-02-17,-0.8897806328711139
1999-02-18,-0.8924220236928749
1999-02-19,-0.8942179676580488
1999-02-22,-0.8954391157097503
1999-02-23,-0.8962694526148861
1999-02-24,-0.8968340612113808
1999-02-25,-0.8972179854004162
1999-02-26,-0.8974790492624363
1999-03-01,-0.8976565704851813
1999-03-02,-0.9066074364722003
1999-03-03,-0.9043535532756345
1999-03-04,-0.9027050783060159
1999-03-05,-0.9015255044840282
1999-03-08,-0.9006945442637037
1999-03-09,-0.9001155638145267
1999-03-10,-0.899715223941838
1999-03-11,-0.8994398631085972
1999-03-12,-0.899251150525622
1999-03-15,-0.8991221411714511
1999-03-16,-0.8990340961641813
1999-03-17,-0.8989740776005504
1999-03-18,-0.8989331963767452
1999-03-19,-0.8989053653725001
1999-03-22,-0.8988864255868494
1999-03-23,-0.8988735397337052
1999-03-24,-0.8988647742118456
1999-03-25,-0.8988588122064017
1999-03-26,-0.8988547573736458
1999-03-29,-0.898851999779225
1999-03-30,-0.8988501244733867
1999-03-31,-0.8988488492005144
1999-04-01,-0.7412382787556756
1999-04-02,-0.7627801276952436
1999-04-05,-0.7825640592980934
1999-04-06,-0.7994138651788523
1999-04-07,-0.8129317659902874
1999-04-08,-0.8232880023940707
1999-04-09,-0.830952599057821
1999-04-12,-0.8364836285294904
1999-04-13,-0.8404033926817834
1999-04-14,-0.843145999692175
1999-04-15,-0.8450479217336423
1999-04-16,-0.8463587286459674
1999-04-19,-0.8472583031263001
1999-04-20,-0.847873860104247
1999-04-21,-0.8482942308987059
1999-04-22,-0.8485809158948147
1999-04-23,-0.8487762480880027
1999-04-26,-0.8489092530205146
1999-04-27,-0.8489997792577073
1999-04-28,-0.8490613754384319
1999-04-29,-0.849103278563467
1999-04-30,-0.8491317808741701
1999-05-03,-0.7738739232458389
1999-05-04,-0.8119746552576855
1999-05-05,-0.8360418904251227
1999-05-06,-0.8516375807509152
1999-05-07,-0.8619092252396422
1999-05-10,-0.868746336174053
1999-05-11,-0.8733292753501067
1999-05-12,-0.876415611820414
1999-05-13,-0.8785006014827119
1999-05-14,-0.8799121065645618
1999-05-17,-0.8808690396302602
1999-05-18,-0.8815184227832512
1999-05-19,-0.8819593892315073
1999-05-20,-0.8822589628573742
1999-05-21,-0.8824625418795418
1999-05-24,-0.8826009150088159
1999-05-25,-0.8826949806854972
1999-05-26,-0.8827589323502241
1999-05-27,-0.8828024134545592
1999-05-28,-0.8828319778050573
1999-05-31,-0.8828520802592665
1999-06-01,-0.8777191396945414
1999-06-02,-0.8822223905104152
1999-06-03,-0.8855367794373808
1999-06-04,-0.8879176821956554
1999-06-07,-0.8895991130843776
1999-06-08,-0.8907725701599927
1999-06-09,-0.8915848341652365
1999-06-10,-0.8921439225455933
1999-06-11,-0.8925272651318742
1999-06-14,-0.8927894137031651
1999-06-15,-0.8929683612271843
1999-06-16,-0.8930903642692027
1999-06-17,-0.8931734741031562
1999-06-18,-0.893230057224677
1999-06-21,-0.8932685654156611
1999-06-22,-0.8932947656300401
1999-06-23,-0.8933125885433028
1999-06-24,-0.8933247112492648
1999-06-25,-0.8933329561308607
1999-06-28,-0.8933385633144291
1999-06-29,-0.8933423765045907
1999-06-30,-0.8933449696138919
1999-07-01,-0.347151156165081
1999-07-02,0.04728938813453237
1999-07-05,0.3134594235556463
1999-07-06,0.4935208281525998
1999-07-07,0.6155347326755266
1999-07-08,0.698307612277754
1999-07-09,0.7545026535428881
1999-07-12,0.7926735357444027
1999-07-13,0.8186104600485393
1999-07-14,0.8362386598120335
1999-07-15,0.8482217145787025
1999-07-16,0.8563682836742909
1999-07-19,0.8619070661404649
1999-07-20,0.8656730275836574
1999-07-21,0.868233690333425
1999-07-22,0.8699748518711279
1999-07-23,0.871158799954228
1999-07-26,0.8719638649658085
1999-07-27,0.8725112998166564
1999-07-28,0.8728835510151955
1999-07-29,0.8731366796314628
1999-07-30,0.8733088059936263
1999-08-02,0.8734258513581499
1999-08-03,0.2434359129568724
1999-08-04,-0.1148235151493665
1999-08-05,-0.36159374330494515
1999-08-06,-0.5310083421741788
1999-08-09,-0.6470056313064718
1999-08-10,-0.7262680271318676
1999-08-11,-0.7803494284312188
1999-08-12,-0.8172110752548715
1999-08-13,-0.8423174284171383
1999-08-16,-0.8594086090530753
1999-08-17,-0.8710393819676636
1999-08-18,-0.8789523763205223
1999-08-19,-0.8843350967835759
1999-08-20,-0.8879962179977532
1999-08-23,-0.8904861826876662
1999-08-24,-0.892179544063053
1999-08-25,-0.8933311150371223
1999-08-26,-0.894114222365543
1999-08-27,-0.8946467531700281
1999-08-30,-0.8950088821904404
1999-08-31,-0.8952551335431881
1999-09-01,-0.8601669880884131
1999-09-02,-0.8707964398476461
1999-09-03,-0.8779867382416017
1999-09-06,-0.882845109236527
1999-09-07,-0.8861311682271162
1999-09-08,-0.8883566712950652
1999-09-09,-0.889865603460385
1999-09-10,-0.8908895684313081
1999-09-13,-0.8915848685727092
1999-09-14,-0.8920572056669683
1999-09-15,-0.8923781768983543
1999-09-16,-0.8925963358473408
1999-09-17,-0.8927446367531534
1999-09-20,-0.892845459449554
1999-09-21,-0.8929140086978262
1999-09-22,-0.892960617449709
1999-09-23,-0.8929923091941209
1999-09-24,-0.8930138585492782
1999-09-27,-0.8930285116270325
1999-09-28,-0.8930384754915207
1999-09-29,-0.8930452508105943
1999-09-30,-0.8930498579751124
1999-10-01,-0.8927409574025805
1999-10-04,-0.892840041371736
1999-10-05,-0.892909209425144
1999-10-06,-0.8929570669403628
1999-10-07,-0.8929899891791502
1999-10-08,-0.8930125511237531
1999-10-11,-0.8930279739273782
1999-10-12,-0.893038498689086
1999-10-13,-0.8930456727357896
1999-10-14,-0.8930505590379543
1999-10-15,-0.8930538853966815
1999-10-18,-0.8930561490176129
1999-10-19,-0.8930576890636736
1999-10-20,-0.8930587366569025
1999-10-21,-0.8930594491872971
1999-10-22,-0.893059933784955
1999-10-25,-0.8930602633468072
1999-10-26,-0.8930604874651518
1999-10-27,-0.8930606398730849
1999-10-28,-0.8930607435138801
1999-10-29,-0.8930608139911602
1999-11-01,-0.8930608619164007
1999-11-02,-0.5632368980473541
1999-11-03,-0.12966639216392914
1999-11-04,0.17625786089632733
1999-11-05,0.389670067050427
1999-11-08,0.5373638361144735
1999-11-09,0.6390130146032496
1999-11-10,0.7087062331707218
1999-11-11,0.7563648315527817
1999-11-12,0.7888971258139235
1999-11-15,0.8110769068686383
1999-11-16,0.8261859780354692
1999-11-17,0.8364725718359789
1999-11-18,0.8434732068789259
1999-11-19,0.8482362987061476
1999-11-22,0.8514764305129682
1999-11-23,0.8536802878523515
1999-11-24,0.8551791727417377
1999-11-25,0.8561985351208099
1999-11-26,0.8568917570146154
1999-11-29,0.857363173337486
1999-11-30,0.8576837480496432
1999-12-01,-0.4621183444648378
1999-12-02,-0.4711345628113108
1999-12-03,-0.4918414760932853
1999-12-06,-0.523219489749629
1999-12-07,-0.5633525600173392
1999-12-08,-0.6094244811881676
1999-12-09,-0.6579495009394063
1999-12-10,-0.7052990681286522
1999-12-13,-0.7483862080351926
1999-12-14,-0.7852097780712204
1999-12-15,-0.8150181930789909
1999-12-16,-0.8380904046965091
1999-12-17,-0.8553272830888481
1999-12-20,-0.8678623368579372
1999-12-21,-0.8767986633736874
1999-12-22,-0.8830787782679569
1999-12-23,-0.887447620426045
1999-12-24,-0.8904653445519758
1999-12-27,-0.8925395542431912
1999-12-28,-0.8939604121227694
1999-12-29,-0.8949314499348654
1999-12-30,-0.8955940153484984
1999-12-31,-0.8960456093574235
2000-01-03,-0.9216509138845489
2000-01-04,-0.9155771954288918
2000-01-05,-0.910717712992533
2000-01-06,-0.9070841431080545
2000-01-07,-0.9045019456780148
2000-01-10,-0.9027275455608711
2000-01-11,-0.9015309838731409
2000-01-12,-0.9007305985602534
2000-01-13,-0.900196024574834
2000-01-14,-0.899838335127963
2000-01-17,-0.8995982763720098
2000-01-18,-0.8994366663574982
2000-01-19,-0.899327580004558
2000-01-20,-0.8992537930660464
2000-01-21,-0.8992038049219612
2000-01-24,-0.8991699013119767
2000-01-25,-0.8991468883016364
2000-01-26,-0.89913125881319
2000-01-27,-0.8991206397766658
2000-01-28,-0.8991134230227183
2000-01-31,-0.8991085175760818
2000-02-01,-0.8833394147171759
2000-02-02,-0.8883446717941809
2000-02-03,-0.8915094910647282
2000-02-04,-0.8935608516937639
2000-02-07,-0.8949119482769362
2000-02-08,-0.8958112320693078
2000-02-09,-0.8964139872414458
2000-02-10,-0.8968198846185744
2000-02-11,-0.8970940788218036
2000-02-14,-0.8972796981012436
2000-02-15,-0.8974055362661776
2000-02-16,-0.8974909297892131
2000-02-17,-0.8975489159914016
2000-02-18,-0.8975883090214383
2000-02-21,-0.8976150789100732
2000-02-22,-0.897633274399793
2000-02-23,-0.8976456436139519
2000-02-24,-0.8976540529567244
2000-02-25,-0.8976597705107046
2000-02-28,-0.8976636580761587
2000-02-29,-0.89766630144779
2000-03-01,-0.9146144606444867
2000-03-02,-0.9104515419039946
2000-03-03,-0.9072275110057488
2000-03-06,-0.9048399204244391
2000-03-07,-0.9031264012585435
2000-03-08,-0.90192177188339
2000-03-09,-0.9010857935599179
2000-03-10,-0.9005102066343081
2000-03-13,-0.9001157816049937
2000-03-14,-0.8998462723973579
