date,FRA_real_estate_f1__FRA_real_estate_f2
2000-01-31,-0.2814059136038988
2000-02-01,-0.4182083188712141
2000-02-02,-0.524598518352315
2000-02-03,-0.6076002655328461
2000-02-04,-0.6723524213216163
2000-02-07,-0.7228656586776991
2000-02-08,-0.7622699626272536
2000-02-09,-0.7930077325501457
2000-02-10,-0.8169846548098337
2000-02-11,-0.8356875385496031
2000-02-14,-0.8502763220476194
2000-02-15,-0.8616558951375836
2000-02-16,-0.8705321556566011
2000-02-17,-0.8774557547388758
2000-02-18,-0.8828562310759819
2000-02-21,-0.8870686435015354
2000-02-22,-0.8903543491853927
2000-02-23,-0.8929172135281346
2000-02-24,-0.8949162556417142
2000-02-25,-0.8964755128943697
2000-02-28,-0.8976917359046166
2000-02-29,-0.8986403910297962
2000-03-01,-0.8992795634949213
2000-03-02,-0.8998793816801259
2000-03-03,-0.9003471699130005
2000-03-06,-0.9007118807176563
2000-03-07,-0.9009962545269826
2000-03-08,-0.901218004848682
2000-03-09,-0.9013909328039734
2000-03-10,-0.9015257938894073
2000-03-13,-0.9016309716885704
2000-03-14,-0.9017130019267272
2000-03-15,-0.9017769803580453
2000-03-16,-0.9018268803854916
2000-03-17,-0.9018658004807951
2000-03-20,-0.9018961569752304
2000-03-21,-0.901919834316727
2000-03-22,-0.9019383021975789
2000-03-23,-0.9019527068697369
2000-03-24,-0.9019639423437578
2000-03-27,-0.9019727059075577
2000-03-28,-0.9019795414210374
2000-03-29,-0.9019848730797947
2000-03-30,-0.9019890317471048
2000-03-31,-0.9019922754906017
2000-04-03,-0.9017912438056082
2000-04-04,-0.9018372893378858
2000-04-05,-0.9018733961261769
2000-04-06,-0.9019017587008773
2000-04-07,-0.9019240030154322
2000-04-10,-0.9019414273652997
2000-04-11,-0.901955063179192
2000-04-12,-0.9019657263490377
2000-04-13,-0.9019740601742529
2000-04-14,-0.9019805706198308
2000-04-17,-0.9019856548843478
2000-04-18,-0.9019896243295827
2000-04-19,-0.9019927227578679
2000-04-20,-0.9019951409065159
2000-04-21,-0.9019970278980826
2000-04-24,-0.9019985002594205
2000-04-25,-0.9019996490099331
2000-04-26,-0.9020005452228677
2000-04-27,-0.9020012443828569
2000-04-28,-0.9020017897967944
2000-05-01,-0.9020022152616183
2000-05-02,-0.9024005149308808
2000-05-03,-0.9023092611580391
2000-05-04,-0.9022395824987016
2000-05-05,-0.9021862002576725
2000-05-08,-0.9021451549718482
2000-05-09,-0.902113502332881
2000-05-10,-0.9020890348809932
2000-05-11,-0.9020700855484588
2000-05-12,-0.9020553875913315
2000-05-15,-0.9020439734961678
2000-05-16,-0.9020351011621645
2000-05-17,-0.902028199420162
2000-05-18,-0.9020228274377685
2000-05-19,-0.9020186442191866
2000-05-22,-0.9020153855268275
2000-05-23,-0.9020128463149468
2000-05-24,-0.9020108672932307
2000-05-25,-0.9020093246082316
2000-05-26,-0.9020081218935382
2000-05-29,-0.9020071841290199
2000-05-30,-0.9020064528876496
2000-05-31,-0.9020058826503248
2000-06-01,-0.9021924574593481
2000-06-02,-0.9021513267516701
2000-06-05,-0.9021188839127637
2000-06-06,-0.9020935814380407
2000-06-07,-0.9020738488559045
2000-06-08,-0.9020584595056022
2000-06-09,-0.9020464570770201
2000-06-12,-0.9020370959573947
2000-06-13,-0.9020297947586559
2000-06-14,-0.9020241001145132
2000-06-15,-0.9020196584705354
2000-06-16,-0.9020161940978717
2000-06-19,-0.9020134919546898
2000-06-20,-0.9020113843246688
2000-06-21,-0.9020097403990551
2000-06-22,-0.9020084581531254
2000-06-23,-0.9020074580113369
2000-06-26,-0.9020066779070581
2000-06-27,-0.9020060694297278
2000-06-28,-0.9020055948199757
2000-06-29,-0.9020052246260294
2000-06-30,-0.9020049358758391
2000-07-03,-0.9022232779990113
2000-07-04,-0.9021758299158402
2000-07-05,-0.9021381033898836
2000-07-06,-0.9021086415342701
2000-07-07,-0.9020856426215244
2000-07-10,-0.9020676921248593
2000-07-11,-0.9020536838333533
2000-07-12,-0.9020427531656702
2000-07-13,-0.9020342246903778
2000-07-14,-0.9020275709266519
2000-07-17,-0.9020223800471979
2000-07-18,-0.9020183305879936
2000-07-19,-0.9020151716618422
2000-07-20,-0.9020127074883678
2000-07-21,-0.9020107853051398
2000-07-24,-0.902009285924792
2000-07-25,-0.9020081163613225
2000-07-26,-0.9020072040735878
2000-07-27,-0.9020064924721705
2000-07-28,-0.9020059374128806
2000-07-31,-0.902005504460554
2000-08-01,-0.9026934628725669
2000-08-02,-0.9025406547542183
2000-08-03,-0.9024212922154378
2000-08-04,-0.9023286990173369
2000-08-07,-0.902256794854418
2000-08-08,-0.9022009054682414
2000-08-09,-0.9021574318878676
2000-08-10,-0.9021235960598679
2000-08-11,-0.9020972490981418
2000-08-14,-0.9020767259467682
2000-08-15,-0.9020607346610086
2000-08-16,-0.9020482716894812
2000-08-17,-0.9020385568103446
2000-08-18,-0.902030983007608
2000-08-21,-0.9020250777593418
2000-08-22,-0.9020204730783283
2000-08-23,-0.9020168822881206
2000-08-24,-0.9020140819966038
2000-08-25,-0.9020118980892508
2000-08-28,-0.9020101948367395
2000-08-29,-0.9020088664189404
2000-08-30,-0.9020078303258455
2000-08-31,-0.902007022217739
2000-09-01,-0.902051138961105
2000-09-04,-0.9020408973383692
2000-09-05,-0.9020328170292974
2000-09-06,-0.9020265139616144
2000-09-07,-0.9020215976903809
2000-09-08,-0.9020177630765591
2000-09-11,-0.902014772125971
2000-09-12,-0.9020124392144946
2000-09-13,-0.9020106195622893
2000-09-14,-0.9020092002453637
2000-09-15,-0.9020080931856378
2000-09-18,-0.9020072296838337
2000-09-19,-0.9020065561555175
2000-09-20,-0.9020060308054527
2000-09-21,-0.9020056210337427
2000-09-22,-0.9020053014127097
2000-09-25,-0.9020050521089193
2000-09-26,-0.9020048576523895
2000-09-27,-0.9020047059765963
2000-09-28,-0.902004587669692
2000-09-29,-0.9020044953904617
2000-10-02,-0.9020044234127759
2000-10-03,-0.901599670955877
2000-10-04,-0.90168686002366
2000-10-05,-0.9017556300784593
2000-10-06,-0.9018096724547959
2000-10-09,-0.9018520683078637
2000-10-10,-0.9018852842126021
2000-10-11,-0.901911281862219
2000-10-12,-0.9019316141923291
2000-10-13,-0.9019475062983591
2000-10-16,-0.9019599221185878
2000-10-17,-0.9019696185965614
2000-10-18,-0.9019771892258093
2000-10-19,-0.9019830987998101
2000-10-20,-0.9019877109924176
2000-10-23,-0.9019913101588197
2000-10-24,-0.9019941185151459
2000-10-25,-0.9019963096447112
2000-10-26,-0.9019980190973562
2000-10-27,-0.9019993526960978
2000-10-30,-0.9020003930401229
2000-10-31,-0.9020012045915917
2000-11-01,-0.9023862871414478
2000-11-02,-0.9022997735214765
2000-11-03,-0.9022331296395751
2000-11-06,-0.9021817744961316
2000-11-07,-0.9021421022698904
2000-11-08,-0.9021113932284182
2000-11-09,-0.9020875838976086
2000-11-10,-0.9020691003322538
2000-11-13,-0.9020547366468405
2000-11-14,-0.9020435655824586
2000-11-15,-0.9020348720234138
2000-11-16,-0.9020281031524612
2000-11-17,-0.9020228308057632
2000-11-20,-0.9020187228650353
2000-11-21,-0.9020155214051179
2000-11-22,-0.9020130259310177
2000-11-23,-0.9020110804748334
2000-11-24,-0.9020095636362543
2000-11-27,-0.9020083808780847
2000-11-28,-0.9020074585557059
2000-11-29,-0.902006739283779
2000-11-30,-0.9020061783367236
2000-12-01,-0.9019160361703124
2000-12-04,-0.9019352366847422
2000-12-05,-0.9019504007714396
2000-12-06,-0.9019622299306816
2000-12-07,-0.9019714566131589
2000-12-08,-0.9019786533799933
2000-12-11,-0.9019842668285434
2000-12-12,-0.9019886452990716
2000-12-13,-0.9019920604933201
2000-12-14,-0.901994724336316
2000-12-15,-0.9019968021280947
2000-12-18,-0.9019984228017358
2000-12-19,-0.9019996869244316
2000-12-20,-0.9020006729381983
2000-12-21,-0.9020014420275513
2000-12-22,-0.9020020419162423
2000-12-25,-0.9020025098286849
2000-12-26,-0.9020028747998441
2000-12-27,-0.9020031594769392
2000-12-28,-0.9020033815247658
2000-12-29,-0.902003554721836
2001-01-01,-0.9020036898153724
2001-01-02,-0.9023901162360113
2001-01-03,-0.9023039423352229
2001-01-04,-0.9022370170016799
2001-01-05,-0.9021852011940948
2001-01-08,-0.9021450226418843
2001-01-09,-0.9021138287763598
2001-01-10,-0.9020895863769584
2001-01-11,-0.9020707315100629
2001-01-12,-0.9020560577739992
2001-01-15,-0.902044632413828
2001-01-16,-0.902035732914588
2001-01-17,-0.9020287987875986
2001-01-18,-0.9020233947262751
2001-01-19,-0.9020191823343813
2001-01-22,-0.9020158983593599
2001-01-23,-0.9020133378885494
2001-01-24,-0.9020113413485265
2001-01-25,-0.9020097844294157
2001-01-26,-0.9020085702653535
2001-01-29,-0.902007623359323
2001-01-30,-0.9020068848591823
2001-01-31,-0.9020063088818969
2001-02-01,-0.9021000969586086
2001-02-02,-0.902078874815352
2001-02-05,-0.9020623703988822
2001-02-06,-0.9020495341964477
2001-02-07,-0.9020395447021746
2001-02-08,-0.9020317667512496
2001-02-09,-0.9020257083873946
2001-02-12,-0.9020209880018185
2001-02-13,-0.9020173092297518
2001-02-14,-0.9020144416925563
2001-02-15,-0.9020122061735139
2001-02-16,-0.9020104631750234
2001-02-19,-0.9020091040663971
2001-02-20,-0.9020080442237216
2001-02-21,-0.902007217706108
2001-02-22,-0.9020065731196956
2001-02-23,-0.9020060704016458
2001-02-26,-0.9020056783177841
2001-02-27,-0.9020053725144888
2001-02-28,-0.9020051340014392
2001-03-01,-0.9017392715620463
2001-03-02,-0.9017969901799987
2001-03-05,-0.9018425847486996
2001-03-06,-0.9018781501050266
2001-03-07,-0.9019058896461408
2001-03-08,-0.9019275255734939
2001-03-09,-0.9019444010268306
2001-03-12,-0.9019575635259248
2001-03-13,-0.9019678300547985
2001-03-14,-0.9019758378101287
2001-03-15,-0.9019820837736982
2001-03-16,-0.9019869555716927
2001-03-19,-0.9019907555404049
2001-03-20,-0.9019937194946402
2001-03-21,-0.9019960313653057
2001-03-22,-0.9019978346156332
2001-03-23,-0.9019992411451573
2001-03-26,-0.9020003382344026
2001-03-27,-0.902001193961481
2001-03-28,-0.9020018614268818
2001-03-29,-0.9020023820487078
2001-03-30,-0.902002788132901
2001-04-02,-0.9020031048779809
2001-04-03,-0.9015142042572292
2001-04-04,-0.9016205774446148
2001-04-05,-0.9017045490119445
2001-04-06,-0.9017702110350836
2001-04-09,-0.9018215235113889
2001-04-10,-0.9018616052963897
2001-04-11,-0.9018929042195585
2001-04-12,-0.9019173386614271
2001-04-13,-0.9019364104284611
2001-04-16,-0.9019512942334504
2001-04-17,-0.9019629083509363
2001-04-18,-0.9019719702455041
2001-04-19,-0.9019790402733076
2001-04-20,-0.901984555957273
2001-04-23,-0.9019888588354434
2001-04-24,-0.9019922154715194
2001-04-25,-0.9019948338847998
2001-04-26,-0.9019968763908385
2001-04-27,-0.9019984696325122
2001-04-30,-0.9019997124135822
2001-05-01,-0.9019156458125324
2001-05-02,-0.9019349081948819
2001-05-03,-0.9019498183987333
2001-05-04,-0.9019615696324123
2001-05-07,-0.901970810597959
2001-05-08,-0.9019780641555527
2001-05-09,-0.9019837496584633
2001-05-10,-0.9019882012115067
2001-05-11,-0.9019916836763633
2001-05-14,-0.9019944062346913
2001-05-15,-0.9019965336226082
2001-05-16,-0.9019981952916505
2001-05-17,-0.9019994927962208
2001-05-18,-0.9020005057028367
2001-05-21,-0.902001296288738
2001-05-22,-0.9020019132611569
2001-05-23,-0.9020023946914033
2001-05-24,-0.9020027703235565
2001-05-25,-0.902003063387471
2001-05-28,-0.9020032920203576
2001-05-29,-0.9020034703801422
2001-05-30,-0.9020036095166359
2001-05-31,-0.9020037180527221
2001-06-01,-0.9017265034374831
2001-06-04,-0.9017869582479558
2001-06-05,-0.9018347040004291
2001-06-06,-0.9018719525739108
2001-06-07,-0.9019010081952057
2001-06-08,-0.9019236725856192
2001-06-11,-0.9019413514045338
2001-06-12,-0.9019551412352113
2001-06-13,-0.9019658975115206
2001-06-14,-0.9019742875302228
2001-06-15,-0.9019808318173594
2001-06-18,-0.9019859364037925
2001-06-19,-0.9019899180058354
2001-06-20,-0.9019930236695093
2001-06-21,-0.9019954460950594
2001-06-22,-0.9019973355912632
2001-06-25,-0.9019988094005001
2001-06-26,-0.9019999589727304
2001-06-27,-0.9020008556394516
2001-06-28,-0.9020015550395382
2001-06-29,-0.9020021005714856
2001-07-02,-0.9020025260862169
2001-07-03,-0.9005238838323787
2001-07-04,-0.9008430174442161
2001-07-05,-0.9010958950066512
2001-07-06,-0.9012941434669772
2001-07-09,-0.9014493645180018
2001-07-10,-0.9015707873569688
2001-07-11,-0.9016657071690264
2001-07-12,-0.9017398708755642
2001-07-13,-0.9017977946623169
2001-07-16,-0.9018430211697475
2001-07-17,-0.9018783256381585
2001-07-18,-0.9019058799513092
2001-07-19,-0.9019273825128795
2001-07-20,-0.9019441606938993
2001-07-23,-0.9019572514254738
2001-07-24,-0.9019674644713758
2001-07-25,-0.9019754320275548
2001-07-26,-0.9019816475586904
2001-07-27,-0.9019864961807021
2001-07-30,-0.9019902784135676
2001-07-31,-0.9019932287415244
2001-08-01,-0.9017266313835312
2001-08-02,-0.901781139132528
2001-08-03,-0.9018274031704914
2001-08-06,-0.9018645524704001
2001-08-07,-0.9018941660458842
2001-08-08,-0.9019176515742698
2001-08-09,-0.9019362054021989
2001-08-10,-0.901950820289974
2001-08-13,-0.9019623067753202
2001-08-14,-0.9019713190538321
2001-08-15,-0.9019783807500741
2001-08-16,-0.9019839084058537
2001-08-17,-0.901988231856573
2001-08-20,-0.9019916113729547
2001-08-21,-0.901994251789851
2001-08-22,-0.9019963139874979
2001-08-23,-0.9019979241269885
2001-08-24,-0.9019991810242197
2001-08-27,-0.9020001620051177
2001-08-28,-0.902000927535677
2001-08-29,-0.902001524871689
