date,DCOILBRENTEU_ESPCPIALLMINMEI,DCOILBRENTEU_ESP_FCI,DCOILBRENTEU_NAEXKP01ESQ661S,ESPCPIALLMINMEI_ESP_FCI,ESPCPIALLMINMEI_NAEXKP01ESQ661S,ESP_FCI_NAEXKP01ESQ661S
2022-12-31,0.22747860167078132,0.9215192969066867,,0.3308477411259554,,
2023-01-31,0.21859085920278384,0.9195614088596608,,0.32331161082283605,,
2023-02-28,0.20622306854593783,0.9198723798016015,,0.3108915739033587,,
2023-03-31,0.16052416619920348,0.9205195635758459,,0.2625555258485475,,
2023-04-30,0.09831689076878798,0.9206661962392327,,0.20247657311925982,,
2023-05-31,0.07423871433711417,0.9207506086176278,,0.17136940481378643,,
2023-06-30,0.08188979236365634,0.9196985053458466,,0.18024850902792605,,
2023-07-31,0.07801989912124217,0.9181619065224478,,0.17716488791598764,,
2023-08-31,0.07049436224025242,0.9177878103350402,,0.1730492205201721,,
2023-09-30,0.05959980936369577,0.9167456865564114,,0.16246672569110157,,
2023-10-31,0.04441172912835094,0.9163616790443826,,0.1446006815533585,,
2023-11-30,0.043415180604761086,0.9176481671681614,,0.14218778384550443,,
2023-12-31,0.05959224293674023,0.915307962560854,,0.16065606168268165,,
2024-01-31,0.08504712356352398,0.9136480726477261,,0.1817265166896837,,
2024-02-29,0.08528268230748258,0.9138436605151302,,0.18346924250707455,,
2024-03-31,0.09084024504719332,0.9143717006251336,,0.18764961620027035,,
2024-04-30,0.0721994849389382,0.9143871009714034,,0.17152451336245136,,
2024-05-31,0.05967127116311231,0.9152928496861888,,0.15684286621092194,,
2024-06-30,0.059374517063877856,0.9147371766359375,,0.15793971577480495,,
2024-07-31,0.04083174180249687,0.9162732594519959,,0.15215637276791083,,
2024-08-31,0.03066964997505131,0.914059990894098,,0.14504949046254348,,
2024-09-30,0.03342686273863383,0.913511506533531,,0.1420107329278361,,
2024-10-31,0.016362015581152224,0.9112072305434905,,0.1246564951155825,,
2024-11-30,-0.01992414369398552,0.910069046161941,,0.09071028540968999,,
2024-12-31,-0.017329100515706818,0.9109603053214597,,0.09293840032582847,,
2025-01-31,-0.0208142055044332,0.9123988616710011,,0.08878359195524672,,
2025-02-28,-0.011597558676067286,0.9138450526782325,,0.09619062089674076,,
2025-03-31,0.001241095169932958,0.91473641633728,,0.1101985641921804,,
2025-04-30,0.07039577474463343,0.8972912960434889,,0.18680858610555448,,
2025-05-31,0.09464638840177658,0.9347757553650223,,0.18804591770821039,,
2025-06-30,0.130782633797543,0.9493754634636536,,0.18937639228367317,,
2025-07-31,,0.9527110061062347,,,,
2025-08-31,,0.9537751468258604,,,,
2025-09-30,,0.9531603000314844,,,,
2025-10-31,,0.953751571642751,,,,
