date,FRA_banking_system_f1__FRA_banking_system_f2
1999-02-01,-0.23821699286285813
1999-02-02,-0.4007335855379839
1999-02-03,-0.5101886903141091
1999-02-04,-0.5963744778957637
1999-02-05,-0.6639302844200551
1999-02-08,-0.7166894887276725
1999-02-09,-0.7577725493533927
1999-02-10,-0.7896894235207295
1999-02-11,-0.8144399848864818
1999-02-12,-0.833605854383265
1999-02-15,-0.8484305944338715
1999-02-16,-0.8598875241538894
1999-02-17,-0.8687357532346467
1999-02-18,-0.875565699847248
1999-02-19,-0.8808356004006718
1999-02-22,-0.8849005162414055
1999-02-23,-0.8880352137510954
1999-02-24,-0.8904521132829367
1999-02-25,-0.892315311018431
1999-02-26,-0.8937514980320039
1999-03-01,-0.8948584423837656
1999-03-02,-0.7918464003201864
1999-03-03,-0.7581222570451531
1999-03-04,-0.7321532792443239
1999-03-05,-0.7126596524849343
1999-03-08,-0.6984076550052813
1999-03-09,-0.6882608319101158
1999-03-10,-0.6812218702799713
1999-03-11,-0.6764579430648157
1999-03-12,-0.6733066620847188
1999-03-15,-0.671264910488071
1999-03-16,-0.6699662921269613
1999-03-17,-0.669153760027939
1999-03-18,-0.6686527246494031
1999-03-19,-0.6683478212668522
1999-03-22,-0.6681645587360088
1999-03-23,-0.6680557531314336
1999-03-24,-0.6679919911930876
1999-03-25,-0.6679551817597956
1999-03-26,-0.6679343247699444
1999-03-29,-0.6679227998410994
1999-03-30,-0.667916660529807
1999-03-31,-0.6679135769018837
1999-04-01,-0.6621127146799247
1999-04-02,-0.7159073644660441
1999-04-05,-0.756453187818921
1999-04-06,-0.7871765538529036
1999-04-07,-0.8105501817758582
1999-04-08,-0.8283859505511801
1999-04-09,-0.8420270523924613
1999-04-12,-0.8524781513978602
1999-04-13,-0.860495867241249
1999-04-14,-0.8666530227355458
1999-04-15,-0.8713850508945234
1999-04-16,-0.8750239804417255
1999-04-19,-0.8778235997907158
1999-04-20,-0.8799782525196749
1999-04-21,-0.8816369730176357
1999-04-22,-0.8829141751704099
1999-04-23,-0.8838977688445309
1999-04-26,-0.8846553434975706
1999-04-27,-0.8852388912956276
1999-04-28,-0.8856884218672069
1999-04-29,-0.8860347330553202
1999-04-30,-0.8863015372652746
1999-05-03,-0.22274208476204224
1999-05-04,-0.00960586510686335
1999-05-05,0.1647535658055928
1999-05-06,0.3060432028927994
1999-05-07,0.4195413141176963
1999-05-10,0.5100151456993431
1999-05-11,0.5816611137067786
1999-05-12,0.6380848456099448
1999-05-13,0.6823192743500331
1999-05-14,0.7168703726507766
1999-05-17,0.7437785169700595
1999-05-18,0.7646854098634521
1999-05-19,0.7808995435671735
1999-05-20,0.7934560598055048
1999-05-21,0.8031690558548241
1999-05-24,0.8106758505988989
1999-05-25,0.8164735875146597
1999-05-26,0.8209489875364238
1999-05-27,0.8244022265637208
1999-05-28,0.8270659142123886
1999-05-31,0.829120069206732
1999-06-01,0.8319719664945001
1999-06-02,0.8330398154264269
1999-06-03,0.8339847292728066
1999-06-04,0.8347888224430499
1999-06-07,0.8354552379586915
1999-06-08,0.8359973604528875
1999-06-09,0.8364324698877734
1999-06-10,0.8367782419376806
1999-06-11,0.8370509939572064
1999-06-14,0.8372649524395825
1999-06-15,0.8374320855104127
1999-06-16,0.8375622238472509
1999-06-17,0.8376633091421837
