date,ITA_banking_system_f1__ITA_banking_system_f2
1999-02-01,-0.058678227773757
1999-02-02,-0.09695288033438428
1999-02-03,-0.13144109030027556
1999-02-04,-0.16317926905737604
1999-02-05,-0.19238603611838268
1999-02-08,-0.21926273307851685
1999-02-09,-0.24399477355698462
1999-02-10,-0.26675289001167996
1999-02-11,-0.2876942849933567
1999-02-12,-0.30696369384743183
1999-02-15,-0.32469436540738483
1999-02-16,-0.3410089667821317
1999-02-17,-0.35602041792114614
1999-02-18,-0.369832661245463
1999-02-19,-0.3825413712597926
1999-02-22,-0.39423460871029503
1999-02-23,-0.4049934235234999
1999-02-24,-0.4148924104536347
1999-02-25,-0.4240002210774101
1999-02-26,-0.4323800355062041
1999-03-01,-0.44008999693466366
1999-03-02,-0.4451657713073035
1999-03-03,-0.4518687243099393
1999-03-04,-0.45803264917555003
1999-03-05,-0.46370109891260947
1999-03-08,-0.4689140758754613
1999-03-09,-0.4737083258950136
1999-03-10,-0.4781176075364237
1999-03-11,-0.48217293845590864
1999-03-12,-0.4859028209018043
1999-03-15,-0.4893334482077405
1999-03-16,-0.4924888939496963
1999-03-17,-0.4953912852811927
1999-03-18,-0.4980609618197453
1999-03-19,-0.5005166213310184
1999-03-22,-0.5027754533432497
1999-03-23,-0.5048532617219643
1999-03-24,-0.5067645771425494
1999-03-25,-0.5085227603147735
1999-03-26,-0.510140096737865
1999-03-29,-0.5116278836964425
1999-03-30,-0.5129965101456844
1999-03-31,-0.5142555300779605
1999-04-01,-0.5174952757373379
1999-04-02,-0.5183953771822551
1999-04-05,-0.5192243051278939
1999-04-06,-0.5199876272415817
1999-04-07,-0.5206904845071458
1999-04-08,-0.5213376228480977
1999-04-09,-0.521933422304874
1999-04-12,-0.5224819242369397
1999-04-13,-0.5229868566556178
1999-04-14,-0.5234516577923919
1999-04-15,-0.5238794980054374
1999-04-16,-0.5242733001244038
1999-04-19,-0.5246357583302181
1999-04-20,-0.5249693556630232
1999-04-21,-0.5252763802474093
1999-04-22,-0.5255589403199934
1999-04-23,-0.5258189781401608
1999-04-26,-0.5260582828605378
1999-04-27,-0.5262785024295261
1999-04-28,-0.5264811545940611
1999-04-29,-0.5266676370666777
1999-04-30,-0.5268392369170292
1999-05-03,-0.521791495673238
1999-05-04,-0.5223421151350878
1999-05-05,-0.5228479420702401
1999-05-06,-0.5233126748351102
1999-05-07,-0.5237396984614179
1999-05-10,-0.5241321119715838
1999-05-11,-0.5244927536469418
1999-05-12,-0.5248242238961719
1999-05-13,-0.5251289059766597
1999-05-14,-0.5254089847913576
1999-05-17,-0.5256664639576514
1999-05-18,-0.5259031813221303
1999-05-19,-0.5261208230754918
1999-05-20,-0.526320936604676
1999-05-21,-0.5265049422043296
1999-05-24,-0.5266741437565735
1999-05-25,-0.5268297384765055
1999-05-26,-0.5269728258107138
1999-05-27,-0.527104415567111
1999-05-28,-0.527225435346462
1999-05-31,-0.5273367373389606
1999-06-01,-0.521912632952047
1999-06-02,-0.5224263427914393
1999-06-03,-0.522898314122832
1999-06-04,-0.5233319851496999
1999-06-07,-0.5237305042770491
1999-06-08,-0.5240967548442521
1999-06-09,-0.5244333784089883
1999-06-10,-0.5247427958374034
1999-06-11,-0.5250272264295128
1999-06-14,-0.5252887052817222
1999-06-15,-0.5255290990648536
1999-06-16,-0.5257501203756952
1999-06-17,-0.5259533408023709
1999-06-18,-0.5261402028283638
1999-06-21,-0.5263120306865103
1999-06-22,-0.5264700402624116
1999-06-23,-0.5266153481362894
1999-06-24,-0.5267489798431182
1999-06-25,-0.5268718774227394
1999-06-28,-0.5269849063244819
1999-06-29,-0.5270888617244203
1999-06-30,-0.5271844743077307
1999-07-01,-0.5280876685724878
1999-07-02,-0.528106721541454
1999-07-05,-0.5281242536318468
1999-07-06,-0.5281403860418334
1999-07-07,-0.5281552303025943
1999-07-08,-0.528168889090862
1999-07-09,-0.5281814569268349
1999-07-12,-0.5281930208178564
1999-07-13,-0.5282036608519589
1999-07-14,-0.5282134507450733
1999-07-15,-0.5282224583454318
1999-07-16,-0.5282307460984441
1999-07-19,-0.5282383714750799
1999-07-20,-0.5282453873665686
1999-07-21,-0.5282518424480263
1999-07-22,-0.5282577815134117
1999-07-23,-0.5282632457840469
1999-07-26,-0.5282682731927565
1999-07-27,-0.5282728986455335
1999-07-28,-0.5282771542624898
1999-07-29,-0.528281069599712
1999-07-30,-0.5282846718535272
1999-08-02,-0.5282879860485576
1999-08-03,-0.5185988877802472
1999-08-04,-0.5192720300446654
1999-08-05,-0.5198909695007057
1999-08-06,-0.5204600955478146
1999-08-09,-0.5209834400286264
1999-08-10,-0.5214647048395558
1999-08-11,-0.5219072895113445
1999-08-12,-0.5223143163902246
1999-08-13,-0.5226886536437771
1999-08-16,-0.5230329362921275
1999-08-17,-0.52334958544455
