date,ITA_banking_system_f1,ITA_banking_system_f2
1999-02-01,-1.0042561675199435,1.012906188598162
1999-02-02,-0.9990785011584624,0.9985948125572227
1999-02-03,-0.9990785011584624,0.9985948107195168
1999-02-04,-0.9990785011584624,0.9985948107195166
1999-02-05,-0.9990785011584624,0.9985948107195166
1999-02-08,-0.9990785011584624,0.9985948107195166
1999-02-09,-0.9990785011584624,0.9985948107195166
1999-02-10,-0.9990785011584624,0.9985948107195166
1999-02-11,-0.9990785011584624,0.9985948107195166
1999-02-12,-0.9990785011584624,0.9985948107195166
1999-02-15,-0.9990785011584624,0.9985948107195166
1999-02-16,-0.9990785011584624,0.9985948107195166
1999-02-17,-0.9990785011584624,0.9985948107195166
1999-02-18,-0.9990785011584624,0.9985948107195166
1999-02-19,-0.9990785011584624,0.9985948107195166
1999-02-22,-0.9990785011584624,0.9985948107195166
1999-02-23,-0.9990785011584624,0.9985948107195166
1999-02-24,-0.9990785011584624,0.9985948107195166
1999-02-25,-0.9990785011584624,0.9985948107195166
1999-02-26,-0.9990785011584624,0.9985948107195166
1999-03-01,-0.9916122860013239,0.9166801912048845
1999-03-02,-0.9990645918448192,0.998333097066567
1999-03-03,-0.9990645918448192,0.9983331092510388
1999-03-04,-0.9990645918448192,0.9983331092510405
1999-03-05,-0.9990645918448192,0.9983331092510405
1999-03-08,-0.9990645918448192,0.9983331092510405
1999-03-09,-0.9990645918448192,0.9983331092510405
1999-03-10,-0.9990645918448192,0.9983331092510405
1999-03-11,-0.9990645918448192,0.9983331092510405
1999-03-12,-0.9990645918448192,0.9983331092510405
1999-03-15,-0.9990645918448192,0.9983331092510405
1999-03-16,-0.9990645918448192,0.9983331092510405
1999-03-17,-0.9990645918448192,0.9983331092510405
1999-03-18,-0.9990645918448192,0.9983331092510405
1999-03-19,-0.9990645918448192,0.9983331092510405
1999-03-22,-0.9990645918448192,0.9983331092510405
1999-03-23,-0.9990645918448192,0.9983331092510405
1999-03-24,-0.9990645918448192,0.9983331092510405
1999-03-25,-0.9990645918448192,0.9983331092510405
1999-03-26,-0.9990645918448192,0.9983331092510405
1999-03-29,-0.9990645918448192,0.9983331092510405
1999-03-30,-0.9990645918448192,0.9983331092510405
1999-03-31,-0.9662147810665458,1.1647661637713467
1999-04-01,-0.9990000027426579,0.998774644212686
1999-04-02,-0.9990000027426579,0.9987746268720714
1999-04-05,-0.9990000027426579,0.9987746268720691
1999-04-06,-0.9990000027426579,0.9987746268720691
1999-04-07,-0.9990000027426579,0.9987746268720691
1999-04-08,-0.9990000027426579,0.9987746268720691
1999-04-09,-0.9990000027426579,0.9987746268720691
1999-04-12,-0.9990000027426579,0.9987746268720691
1999-04-13,-0.9990000027426579,0.9987746268720691
1999-04-14,-0.9990000027426579,0.9987746268720691
1999-04-15,-0.9990000027426579,0.9987746268720691
1999-04-16,-0.9990000027426579,0.9987746268720691
1999-04-19,-0.9990000027426579,0.9987746268720691
1999-04-20,-0.9990000027426579,0.9987746268720691
1999-04-21,-0.9990000027426579,0.9987746268720691
1999-04-22,-0.9990000027426579,0.9987746268720691
1999-04-23,-0.9990000027426579,0.9987746268720691
1999-04-26,-0.9990000027426579,0.9987746268720691
1999-04-27,-0.9990000027426579,0.9987746268720691
1999-04-28,-0.9990000027426579,0.9987746268720691
1999-04-29,-0.9990000027426579,0.9987746268720691
1999-04-30,-0.8824729056342034,0.8244472923558188
1999-05-03,-0.9987190159067856,0.9982031474832533
1999-05-04,-0.9987190159067856,0.9982031779874424
1999-05-05,-0.9987190159067856,0.9982031779874465
1999-05-06,-0.9987190159067856,0.9982031779874465
1999-05-07,-0.9987190159067856,0.9982031779874465
1999-05-10,-0.9987190159067856,0.9982031779874465
1999-05-11,-0.9987190159067856,0.9982031779874465
1999-05-12,-0.9987190159067856,0.9982031779874465
1999-05-13,-0.9987190159067856,0.9982031779874465
1999-05-14,-0.9987190159067856,0.9982031779874465
1999-05-17,-0.9987190159067856,0.9982031779874465
1999-05-18,-0.9987190159067856,0.9982031779874465
1999-05-19,-0.9987190159067856,0.9982031779874465
1999-05-20,-0.9987190159067856,0.9982031779874465
1999-05-21,-0.9987190159067856,0.9982031779874465
1999-05-24,-0.9987190159067856,0.9982031779874465
1999-05-25,-0.9987190159067856,0.9982031779874465
1999-05-26,-0.9987190159067856,0.9982031779874465
1999-05-27,-0.9987190159067856,0.9982031779874465
1999-05-28,-0.9987190159067856,0.9982031779874465
1999-05-31,-0.9681236037906653,0.756592746761055
1999-06-01,-0.9986369392674499,0.9968785218455375
1999-06-02,-0.9986369392674499,0.9968785699702477
1999-06-03,-0.9986369392674499,0.996878569970254
1999-06-04,-0.9986369392674499,0.996878569970254
1999-06-07,-0.9986369392674499,0.996878569970254
1999-06-08,-0.9986369392674499,0.996878569970254
1999-06-09,-0.9986369392674499,0.996878569970254
1999-06-10,-0.9986369392674499,0.996878569970254
1999-06-11,-0.9986369392674499,0.996878569970254
1999-06-14,-0.9986369392674499,0.996878569970254
1999-06-15,-0.9986369392674499,0.996878569970254
1999-06-16,-0.9986369392674499,0.996878569970254
1999-06-17,-0.9986369392674499,0.996878569970254
1999-06-18,-0.9986369392674499,0.996878569970254
1999-06-21,-0.9986369392674499,0.996878569970254
1999-06-22,-0.9986369392674499,0.996878569970254
1999-06-23,-0.9986369392674499,0.996878569970254
1999-06-24,-0.9986369392674499,0.996878569970254
1999-06-25,-0.9986369392674499,0.996878569970254
1999-06-28,-0.9986369392674499,0.996878569970254
1999-06-29,-0.9986369392674499,0.996878569970254
1999-06-30,-1.0196993929690843,1.0184754226492263
1999-07-01,-0.9986925580153967,0.9970089625945637
1999-07-02,-0.9986925580153967,0.9970089598670854
1999-07-05,-0.9986925580153967,0.9970089598670849
1999-07-06,-0.9986925580153967,0.9970089598670849
1999-07-07,-0.9986925580153967,0.9970089598670849
1999-07-08,-0.9986925580153967,0.9970089598670849
1999-07-09,-0.9986925580153967,0.9970089598670849
1999-07-12,-0.9986925580153967,0.9970089598670849
