date,USA_macro_f1__USA_macro_f2
1999-02-01,0.03531232039257477
1999-02-02,0.21828376050767195
1999-02-03,0.36133531873314423
1999-02-04,0.4729077370019998
1999-02-05,0.559929453878869
1999-02-08,0.6278034736308327
1999-02-09,0.680743418783102
1999-02-10,0.7220354757030418
1999-02-11,0.7542426019561729
1999-02-12,0.7793637410192067
1999-02-15,0.7989579689750226
1999-02-16,0.8142413041114962
1999-02-17,0.8261622032923611
1999-02-18,0.8354604399169394
1999-02-19,0.8427130231146331
1999-02-22,0.8483700112919612
1999-02-23,0.8527824446083827
1999-02-24,0.8562241310295691
1999-02-25,0.858908638666925
1999-02-26,0.8610025493230433
1999-03-01,0.8626357959626964
1999-03-02,0.8634737673418954
1999-03-03,0.864563294193286
1999-03-04,0.8654130427691354
1999-03-05,0.8660757989876192
1999-03-08,0.8665927200709007
1999-03-09,0.8669959010823325
1999-03-10,0.8673103716633664
1999-03-11,0.8675556522357928
1999-03-12,0.8677469671060795
1999-03-15,0.8678961902539819
1999-03-16,0.868012582790641
1999-03-17,0.8681033680224443
1999-03-18,0.8681741799088099
1999-03-19,0.8682294128038589
1999-03-22,0.8682724942214741
1999-03-23,0.8683060975717861
1999-03-24,0.8683323080833428
1999-03-25,0.8683527522149187
1999-03-26,0.8683686985921657
1999-03-29,0.868381136735409
1999-03-30,0.8683908384656194
1999-03-31,0.8683984058000218
1999-04-01,0.8693349897876549
1999-04-02,0.8690914386446094
1999-04-05,0.8689183156968039
1999-04-06,0.8687938028669886
1999-04-07,0.8687032189183641
1999-04-08,0.8686366049817091
1999-04-09,0.868587136405677
1999-04-12,0.8685500811390765
1999-04-13,0.8685221162802784
1999-04-14,0.8685008779992379
1999-04-15,0.8684846632127459
1999-04-16,0.8684722300665664
1999-04-19,0.8684626630253424
1999-04-20,0.8684552805011212
1999-04-21,0.8684495707499195
1999-04-22,0.8684451467647419
1999-04-23,0.86844171409777
1999-04-26,0.8684390476038312
1999-04-27,0.8684369744275278
1999-04-28,0.868435361422078
1999-04-29,0.8684341057565901
1999-04-30,0.8684331278463189
1999-05-03,0.8678190573203984
1999-05-04,0.8679532658587156
1999-05-05,0.86805792094343
1999-05-06,0.8681395319498684
1999-05-07,0.8682031761670376
1999-05-10,0.868252811020799
1999-05-11,0.8682915215046547
1999-05-12,0.8683217127913452
1999-05-13,0.8683452602195427
1999-05-14,0.868363626123488
1999-05-17,0.8683779508591601
1999-05-18,0.868389123741572
1999-05-19,0.8683978383366484
1999-05-20,0.8684046355646541
1999-05-21,0.8684099373059273
1999-05-24,0.8684140726041799
1999-05-25,0.8684172980994403
1999-05-26,0.8684198139623028
1999-05-27,0.868421776320531
1999-05-28,0.8684233069505207
1999-05-31,0.868424500835848
1999-06-01,0.8666281727095307
1999-06-02,0.8670257510394311
1999-06-03,0.8673350600089531
1999-06-04,0.8675758194612533
1999-06-07,0.867763304819776
1999-06-08,0.8679093557352308
1999-06-09,0.8680231608565706
1999-06-10,0.8681118589290485
1999-06-11,0.8681810007821501
1999-06-14,0.8682349054292803
1999-06-15,0.8682769352067403
1999-06-16,0.8683097087740161
1999-06-17,0.8683352662687871
1999-06-18,0.8683551975252466
1999-06-21,0.8683707417162927
1999-06-22,0.8683828648497782
1999-06-23,0.8683923200785698
1999-06-24,0.8683996946588685
1999-06-25,0.8684054465268022
1999-06-28,0.8684099327971622
1999-06-29,0.8684134319735306
1999-06-30,0.8684161612606776
1999-07-01,0.8703908060313067
1999-07-02,0.8699552942960745
1999-07-05,0.8696170615937663
1999-07-06,0.8693541937705725
1999-07-07,0.869149763869669
1999-07-08,0.8689906908883731
1999-07-09,0.8688668529017644
1999-07-12,0.8687704076983553
1999-07-13,0.86869527221728
1999-07-14,0.8686367230921375
1999-07-15,0.8685910895250164
1999-07-16,0.8685555166534545
1999-07-19,0.8685277828624204
1999-07-20,0.8685061584862553
1999-07-21,0.8684892963501522
1999-07-22,0.8684761468630943
1999-07-23,0.8684658920823555
1999-07-26,0.8684578944641879
1999-07-27,0.8684516570004138
1999-07-28,0.8684467921931521
1999-07-29,0.8684429978968944
1999-07-30,0.8684400385008885
1999-08-02,0.8684377302670278
1999-08-03,0.8678040715255707
1999-08-04,0.8679420717369111
1999-08-05,0.8680495146192391
1999-08-06,0.8681331941627219
1999-08-09,0.8681983877152485
1999-08-10,0.8682491921952293
1999-08-11,0.8682887914222654
1999-08-12,0.868319661626632
1999-08-13,0.8683437299258498
1999-08-16,0.8683624968331899
1999-08-17,0.8683771311452625
1999-08-18,0.8683885435483013
1999-08-19,0.8683974437845128
1999-08-20,0.8684043850920388
1999-08-23,0.8684097987771064
1999-08-24,0.8684140211249658
1999-08-25,0.8684173143567732
1999-08-26,0.8684198829554987
1999-08-27,0.8684218863876839
1999-08-30,0.868423449018842
1999-08-31,0.8684246678428588
1999-09-01,0.8701701939454849
