date,DCOILBRENTEU_ITACPIALLMINMEI,DCOILBRENTEU_ITA_FCI,DCOILBRENTEU_ITA_beta0,DCOILBRENTEU_ITA_beta1,DCOILBRENTEU_ITA_beta2,DCOILBRENTEU_NAEXKP01ITQ661S,ITACPIALLMINMEI_ITA_FCI,ITACPIALLMINMEI_ITA_beta0,ITACPIALLMINMEI_ITA_beta1,ITACPIALLMINMEI_ITA_beta2,ITACPIALLMINMEI_NAEXKP01ITQ661S,ITA_FCI_ITA_beta0,ITA_FCI_ITA_beta1,ITA_FCI_ITA_beta2,ITA_FCI_NAEXKP01ITQ661S,ITA_beta0_ITA_beta1,ITA_beta0_ITA_beta2,ITA_beta0_NAEXKP01ITQ661S,ITA_beta1_ITA_beta2,ITA_beta1_NAEXKP01ITQ661S,ITA_beta2_NAEXKP01ITQ661S
2022-12-31,0.2932463184939035,0.9215192969066867,0.2862227712951642,0.2397698848325671,0.20698989133536505,0.28314136110038124,0.376653054656773,0.3653100552041769,0.2243622161147489,0.19654474581910847,0.6443562859383323,0.3753345121757912,0.15006518780655195,0.11040945175679412,0.4529822363028051,0.13129210432614616,0.07553608076450617,0.3898374609121516,0.9743413517520827,0.013000094217077403,-0.03900816321402741
2023-01-31,0.29279139104803803,0.9195614088596608,0.2712600971728869,0.2252080576123618,0.19459870152601955,0.26819482983637627,0.3731828410163833,0.3712008295819022,0.2303077702237868,0.20283187545833561,0.6434647105555595,0.3546275758445893,0.12614449581094425,0.08934991798829013,0.42618400549429236,0.14387989872501192,0.08852139690744577,0.39581547583518684,0.9751842831578943,0.046933435715315136,-0.005766970050674703
2023-02-28,0.30132628248948334,0.9198723798016015,0.2548039729349457,0.20458512530329706,0.17446650638027622,0.23113307198202812,0.38065856159918404,0.36671194575738314,0.22141015138105272,0.19346664493344895,0.6256458870792773,0.335950038171689,0.10380240457614155,0.06753135509422059,0.3833827665783828,0.15148954955345004,0.0976014753692829,0.39981571098497376,0.9756461903038867,0.06796579994613003,0.018440243464361895
2023-03-31,0.2950406339050291,0.9205195635758459,0.2103799201102839,0.18959120211905242,0.15969803859928525,0.19057887071708868,0.3765449892322973,0.34026518199452094,0.21901287091262678,0.19048166665603636,0.5978476480402489,0.28802591723451226,0.0885114160837304,0.05274172417978747,0.34194051662016295,0.18190502877472284,0.1285004876209921,0.42812473558807174,0.9760767513608055,0.09800108228884163,0.047327977758699374
2023-04-30,0.2052654077621693,0.9206661962392327,0.13257559425271054,0.17041949144146007,0.14943317190881877,0.1915869437371786,0.28870125608585484,0.438243446965342,0.2700373824172578,0.23425681621636368,0.504756819652237,0.21124263854515374,0.07298123408813684,0.04468056264289005,0.34243092816283643,0.2324002419549924,0.17237677131561538,0.35019500698451667,0.9761593509902312,0.08545001581791525,0.04126963412896224
2023-05-31,0.0954120659396443,0.9207506086176278,0.13021651514614171,0.1708475754954724,0.14973318292575166,0.192645000169424,0.14409788619279346,0.3170270860528718,0.23214904381464252,0.22444471436574356,0.32022491603022957,0.20875237232378258,0.0727926453408019,0.043898934004709025,0.3443060555976004,0.2349735003110031,0.17605353186153475,0.34730883758006165,0.9761800485102843,0.08674723320147198,0.042760045693520224
2023-06-30,0.053265812004999524,0.9196985053458466,0.126484334417628,0.17532404248768116,0.15730319147715213,0.18691266976517318,0.09096547582596844,0.24273570403008016,0.24488371837396347,0.24687216982144117,0.2285698553177153,0.20583232068643115,0.07632494034310072,0.05038725948413731,0.3400086382952173,0.23343750162355212,0.17578858879643558,0.34736770377645915,0.9765756763969988,0.08488942904444538,0.042535482486699035
2023-07-31,0.05335067808288655,0.9181619065224478,0.10446635072252917,0.17343234883311334,0.16253338019040556,0.17837168582596452,0.0900689573831171,0.2260738813170033,0.22370999999238278,0.22733156808696514,0.23487632783227141,0.18716564349379122,0.07652029324903471,0.05712886863480485,0.3322986167249675,0.25454467392649194,0.20446653577976087,0.32417139115454213,0.9782345167284211,0.07100782350550441,0.033630922474662005
2023-08-31,0.05177268508000448,0.9177878103350402,0.08579732062347063,0.17251287841151614,0.16471578037203904,0.1693233428249279,0.08743118376753256,0.20929769398323309,0.19354816220011767,0.1969739000161451,0.24074063793623365,0.17623322033006078,0.07946148194071978,0.06260758123786683,0.3251772564355141,0.2831906770665176,0.2382331679388413,0.3011568799825926,0.979647602837004,0.051753992688062064,0.016920521787593547
2023-09-30,0.055176395050578975,0.9167456865564114,0.07029128075897162,0.16233043903593034,0.15474153223718876,0.16289923220309244,0.090307825532278,0.18855480183361684,0.15577355228516881,0.15266157905964856,0.2489158852642261,0.1605607441033158,0.07540534155916535,0.060917147773560346,0.3182650465989049,0.321269825581274,0.28525530350861666,0.2742792251403043,0.9809724722157175,0.02754384661931629,-0.007268304916846676
2023-10-31,0.04095608287348181,0.9163616790443826,0.043867176140706406,0.13355780390705355,0.1289634841330229,0.15917117856370694,0.07451775724984708,0.25874058180743864,0.24761867233048732,0.24775268098283734,0.21537093287193856,0.12715549671312176,0.05370001270823886,0.04418710423674239,0.3136387664572559,0.4085583336088472,0.3837453670214716,0.22621625577019253,0.9847173470448,-0.00763608097850271,-0.03731326283804562
2023-11-30,0.05948629086321842,0.9176481671681614,0.07182036818666462,0.17865730100679558,0.17256282923655702,,0.0931736095807765,0.28731792837620357,0.3160618683346031,0.3161326358274985,,0.15389988347022315,0.12007225219277202,0.10582980475540782,,0.48967010121808846,0.4683215957930612,,0.9854662986509888,,
2023-12-31,0.08821233809746139,0.915307962560854,0.09988996906173664,0.17332506765892716,0.16502392638331828,,0.1295656541223739,0.33385711302369875,0.4025041876677417,0.40022760053029155,,0.18749271444968132,0.12862416491557058,0.11128459807285178,,0.5431895237955501,0.5247849674069862,,0.9869680784641236,,
2024-01-31,0.09110226662783939,0.9136480726477261,0.09105951630552113,0.17053632780008207,0.15224593289209504,,0.1306229934504389,0.38729043285341874,0.4162183001817549,0.4280259785202571,,0.17426921119376115,0.12561223716490727,0.1005592084748268,,0.544537975398911,0.5473570955587197,,0.9858422073506715,,
2024-02-29,0.09795554575221874,0.9138436605151302,0.10477327393662603,0.17454697299578684,0.14861222023025206,,0.13149191117922499,0.3909689868058794,0.41812802739681043,0.43962699259789456,,0.1810082353703748,0.12648373098146432,0.09523825404302357,,0.5467405850200706,0.5568795603449032,,0.9839142828311208,,
2024-03-31,0.09180435504007495,0.9143717006251336,0.10389798160325663,0.16125730828959922,0.13232027740220004,,0.12566856366530565,0.3854911429477956,0.4224280038732173,0.4442845625429053,,0.18020117067486494,0.11533992051372932,0.08176364953500481,,0.550054090288586,0.5594164326317612,,0.9837960081114625,,
2024-04-30,0.09996063080553509,0.9143871009714034,0.09587535603742689,0.1296010754321502,0.10009616260434913,,0.13068361706538612,0.38249735555923614,0.38814317461120273,0.40715053232999837,,0.17212185467905236,0.0902587384079215,0.05667115233917991,,0.5322162823084541,0.5408275265931244,,0.9843652431356554,,
2024-05-31,0.10957840192274874,0.9152928496861888,0.08717573165332586,0.08669220765413008,0.06150312492942607,,0.14066615953444828,0.3764313902372751,0.33763119003263004,0.3602183010292519,,0.16206909309657455,0.045258166628559804,0.016211690347920343,,0.5121872751975043,0.5234741071163045,,0.9852439079670771,,
2024-06-30,0.10415626602260543,0.9147371766359375,0.07417432350479396,0.06220634615564095,0.04209208436575904,,0.13570101348678493,0.371176825151439,0.3251169961130077,0.35050884321568043,,0.14076896955718432,0.008063595879055824,-0.013396289220976423,,0.5269198549657099,0.5370131145216586,,0.9847694371230008,,
2024-07-31,0.09391329762424336,0.9162732594519959,0.0713098750163884,0.06298119390986134,0.04115022317703051,,0.13296029955113636,0.36982208736848426,0.313849214808691,0.3403997469854841,,0.13989470637820997,0.009444701621006977,-0.012674295431502905,,0.5180460664188495,0.5307961639829729,,0.9846158032632135,,
2024-08-31,0.08075990708580075,0.914059990894098,0.056444787104977155,0.04791785913302228,0.023882662541577455,,0.11865229446479233,0.3625261586538358,0.30677853394505816,0.33223933812207224,,0.12412764915242865,-0.009624342490493853,-0.0333920216280495,,0.5124766500318013,0.5243833867532088,,0.9844582132626079,,
2024-09-30,0.06004767747497226,0.913511506533531,0.034784702678247806,0.03330254242564722,0.006082677078951557,,0.09851454221605162,0.36048097980401983,0.2950209249349687,0.31876620027570035,,0.10420374301804079,-0.027303828458882618,-0.055212649957857796,,0.5045128191937185,0.5160858066827549,,0.9845232700096691,,
2024-10-31,0.0630322742202702,0.9112072305434905,0.03739454206078738,0.01240493264641126,-0.020499662873075333,,0.09972315778092636,0.3625489716490456,0.29742942083566903,0.3210196982103455,,0.1045627219336786,-0.04847925157919693,-0.08098538811639065,,0.5073789107772311,0.518705128306171,,0.9839827453926957,,
2024-11-30,0.06511306431893495,0.910069046161941,0.01727147916843782,-0.019137821333111156,-0.05620700524658143,,0.10304901356833647,0.3530360848543308,0.2830914910190614,0.30419547333558544,,0.08553729082986374,-0.08100535678332713,-0.11779841799157642,,0.4976696342151534,0.5087729989127846,,0.9833703016470172,,
2024-12-31,0.07230091595061594,0.9109603053214597,-0.004322161343222664,-0.06003095898817338,-0.09955220064782862,,0.10940807756508908,0.33873547294445655,0.25013871298075663,0.269499150076921,,0.061125948702356735,-0.12712396916716387,-0.16669288015920328,,0.479814820725578,0.4900052638442849,,0.9831214759777305,,
2025-01-31,0.07941667565441353,0.9123988616710011,-0.015499253467427702,-0.11318625277341508,-0.15352772798930753,,0.11580678699735832,0.3308684347894769,0.2046813073058598,0.22269619800860974,,0.049572568132968696,-0.17916990262074786,-0.21981837809153407,,0.4411083598754226,0.44953272314651854,,0.9838976785467567,,
2025-02-28,0.08326187035283293,0.9138450526782325,-0.006377398200781144,-0.16079821093532193,-0.19626975181314096,,0.11932125551766604,0.328814674688341,0.16267065776100306,0.1841396054036037,,0.05733147793853276,-0.217762577408073,-0.25543962785476554,,0.38125951252051826,0.3998571383402088,,0.9841910592062953,,
2025-03-31,0.09227015262888073,0.91473641633728,0.0001192651168479887,-0.17241719796838006,-0.2083037188082559,,0.13054296365018422,0.3386889108403922,0.14205694276199896,0.1614997540533564,,0.0632443258578072,-0.22818022196754276,-0.2661192296408134,,0.3674838184705598,0.38405286744522094,,0.9844345670391921,,
2025-04-30,0.15622371725009887,0.8972912960434889,-0.03719553895069418,-0.18556783299295923,-0.2166935135227979,,0.1951293117600183,0.3558564672695756,0.13224094443278117,0.14667222941913813,,0.034003708286825925,-0.24527032645433755,-0.2785660666654928,,0.35661888290630156,0.37023850753681575,,0.9842896388716245,,
2025-05-31,0.1940546381369641,0.9347757553650223,-0.01470871948877845,-0.20235508077995173,-0.22696255891300396,,0.1979463966967301,0.3662344941855028,0.12040389189126344,0.1278456920442165,,0.03769401868239591,-0.24615833239282325,-0.27835425655214335,,0.33108036309016414,0.3352431785048456,,0.984281153111458,,
2025-06-30,0.21478933341948991,0.9493754634636536,0.01812148752246857,-0.21249269205220414,-0.23749583397168406,,0.19964842614912148,0.37064744140262235,0.09896812181535392,0.10554745955809582,,0.038231486810193414,-0.25080948839696376,-0.28254548599046,,0.30425497039315985,0.3074419165842315,,0.9846524634955194,,
