,M1SL,lme_proxy_equal,MYAGM2EZM196N,EUR3MTD156N,GOLDAMGBD228NLBM,IRLTLT01USM156N,USD3MTD156N,ECBESTRVOLWGTTRMDMNRT,IRLTLT01FRM156N,MYAGM1EZM196N,MORTGAGE30US,CSUSHPISA,IRLTLT01DEM156N,IRLTLT01ESM156N,IRLTLT01ITM156N,IBEX_35
1990-02-02,,,,,,,2.2951241268547706,,,,,,,,,
1990-02-05,0.12725897659130145,0.7842729554967419,0.10672222801533697,,,0.10232448364704123,2.310152565688667,,0.09532373920060686,0.18397870393381452,0.12461276628072337,0.10416205360193034,0.0879356883183414,0.07726918397112897,,
1990-02-06,0.15486987958504636,0.6331631722035929,0.1262486825235454,,,0.13747646111153125,2.3106185643817656,,0.12873841195801777,0.19712483875107106,0.12461276628072337,0.13873247208939862,0.11891311758411885,0.08981683252204492,,
1990-02-07,0.1749458122115671,0.5137385788658864,0.13806810622417898,,,0.1614460688742516,2.3106330610800736,,0.15145130456029826,0.20764569540779054,0.12461276628072337,0.16243189158315086,0.13995294619655338,0.09497729356630775,,
1990-02-08,0.19035280711586924,0.4199279365786022,0.14563050883446957,,,0.17931851711652355,2.3106335121015857,,0.16836516489947842,0.2161862337773192,0.12461276628072337,0.18014140808220214,0.15561603427117696,0.09723398414705738,,
1990-02-09,0.2025293115784448,0.34688497334635504,0.15060417987647257,,,0.19321460450209346,2.310633526133818,,0.18150691497970278,0.22318888323624672,0.12461276628072337,0.19392708238668674,0.16778392250004756,0.09824330394467555,,
1990-02-12,0.21233102290822722,0.2907094402509845,0.1539267754717514,,,0.20428441762192026,2.30183067750654,,0.1919713569889958,0.2289728128770991,0.12461276628072337,0.20491701174770954,0.17747189917740142,0.09869898432801401,,
1990-02-13,0.22031988867087587,0.24820909146918316,0.1561676161413785,,,0.21324241414366854,2.2883524627266714,,0.20043704090095668,0.23377666641041808,0.12461276628072337,0.21381477933276585,0.18530887942445104,0.09890555877693301,,
1990-02-14,0.226889367072228,0.21670501176726162,0.15768806164890417,,,0.2205708514525631,2.221938586234525,,0.20736130788294807,0.2377836482412473,0.12461276628072337,0.22109652031409613,0.19171859774177083,0.09899937784526312,,
1990-02-15,0.23232741272814092,0.1938939457076201,0.15872378572711976,,,0.22661376355617538,2.2330463001959657,,0.21307008460234989,0.24113723673859283,0.12461276628072337,0.22710250111744998,0.19700295596162348,0.09904202263426812,,
1990-02-16,0.23685160385205398,0.177779095632942,0.15943116784890035,,,0.23162631663369304,2.2774216588394416,,0.21780493005473828,0.24395154227280477,0.12461276628072337,0.23208541428702759,0.20138566732648033,0.09906141381102129,,
1990-02-19,0.24063029621865556,0.16665922396125377,0.15991514718488792,,,0.2358032238389879,2.269985418069611,,0.221750073662427,0.24631842157527026,0.12461276628072337,0.23623826745282847,0.2050373283073331,0.09907023275412817,,
1990-02-20,0.24379614042805803,0.1591415580601793,0.1602466713195816,,,0.2392962781074805,2.2697536700972183,,0.22504907607111566,0.24831253122401456,0.12461276628072337,0.23971163211408217,0.2080908627139952,0.09907424384623112,,
1990-02-21,0.24645513571957867,0.15414211896349783,0.160473947418793,,,0.24222577238568266,2.3093725745525697,,0.22781566976605924,0.2499950184805492,0.12461276628072337,0.24262489979024737,0.21065156804271276,0.09907606826301814,,
1990-02-22,0.24869292990001488,0.15085827467299787,0.16062984205641398,,,0.24468826797749468,2.2973902169442315,,0.230141126765468,0.2514162802047058,0.12461276628072337,0.24507395029162832,0.21280394191974608,0.09907689809937385,,
1990-02-23,0.2505793425703659,0.14872033195132384,0.16073681445971152,,,0.2467620688276748,2.2882136267218116,,0.23209944687808307,0.25261806573525175,0.12461276628072337,0.24713656216323404,0.21461648838719807,0.09907727555336945,,
1990-02-26,0.2521716983180873,0.14733690866552027,0.1608102360854873,,,0.24851119334842603,2.2659226272697213,,0.23375111978664415,0.2536351062887224,0.12461276628072337,0.24887634222085636,0.21614520251456318,0.09907744724022195,,
1990-02-27,0.25351733701231427,0.1464453928624565,0.16086063866306985,,,0.2499883269988856,2.278431739615964,,0.23514592033001194,0.25449639515604594,0.12461276628072337,0.25034564919865887,0.21743615920566056,0.09907752533297018,,
1990-02-28,0.2546555392859621,0.14587243421391205,0.1608952432724871,,,0.25123706233258714,2.287623790354018,,0.23632502833435956,0.2552262054569504,0.12461276628072337,0.25158781344660425,0.21852747624989866,0.09907756085392844,,
1990-03-01,0.25561902645098955,0.14550485852196915,0.16091900352981325,,,0.2522936278728494,2.3055181788357624,,0.2373226641330643,0.25584490738688737,0.12461276628072337,0.2526388511426279,0.21945082875278596,0.0990775770108559,,
1990-03-02,0.2827008894752281,1.765069969834113,0.17988523580980595,,,0.2560383653386262,2.3104745479834263,,0.23819130380729983,0.34815783541556017,0.12461276628072337,0.25954936220007635,0.22136251861236497,0.11371148695991969,,
