date,ESP_real_estate_f1__ESP_real_estate_f2
2000-01-31,0.08402092017530363
2000-02-01,-0.2100507109608833
2000-02-02,-0.42562918524390203
2000-02-03,-0.5716786706472148
2000-02-04,-0.6707413880569885
2000-02-07,-0.7379883814359447
2000-02-08,-0.7836629655284203
2000-02-09,-0.8146970300590378
2000-02-10,-0.8357887978178552
2000-02-11,-0.8501259279624915
2000-02-14,-0.8598727356719017
2000-02-15,-0.8664994337682216
2000-02-16,-0.8710050635721394
2000-02-17,-0.8740686478148986
2000-02-18,-0.8761517713587728
2000-02-21,-0.8775682421551148
2000-02-22,-0.8785314172679923
2000-02-23,-0.879186364483613
2000-02-24,-0.879631722909734
2000-02-25,-0.8799345638795665
2000-02-28,-0.8801404943722251
2000-02-29,-0.880280526413575
2000-03-01,-0.8823175679009823
2000-03-02,-0.8817025321872923
2000-03-03,-0.8813496621572963
2000-03-06,-0.8811425609163845
2000-03-07,-0.8810177367173592
2000-03-08,-0.8809405259749171
2000-03-09,-0.8808916567185223
2000-03-10,-0.8808601341989116
2000-03-13,-0.8808394979407468
2000-03-14,-0.8808258376350703
2000-03-15,-0.8808167217118043
2000-03-16,-0.8808106032072145
2000-03-17,-0.8808064798576343
2000-03-20,-0.8808036932263626
2000-03-21,-0.8808018063016274
2000-03-22,-0.8808005268882275
2000-03-23,-0.8807996585971427
2000-03-24,-0.8807990689504579
2000-03-27,-0.8807986683568503
2000-03-28,-0.8807983961226464
2000-03-29,-0.8807982110818309
2000-03-30,-0.8807980852904065
2000-03-31,-0.8807979997690751
2000-04-03,-0.8819389358740539
2000-04-04,-0.8815813295779341
2000-04-05,-0.8813459292810251
2000-04-06,-0.8811896437546679
2000-04-07,-0.8810851581459958
2000-04-10,-0.8810149470152071
2000-04-11,-0.8809675952896194
2000-04-12,-0.8809355785335573
2000-04-13,-0.8809138918829572
2000-04-14,-0.8808991842736813
2000-04-17,-0.8808892013203711
2000-04-18,-0.8808824213525209
2000-04-19,-0.8808778148830346
2000-04-20,-0.8808746842937099
2000-04-21,-0.880872556331189
2000-04-24,-0.8808711097050209
2000-04-25,-0.8808701261792677
2000-04-26,-0.880869457465312
2000-04-27,-0.8808690027786626
2000-04-28,-0.8808686936098379
2000-05-01,-0.880868483383498
2000-05-02,-0.8824128362207733
2000-05-03,-0.8819130031789596
2000-05-04,-0.8815906616077266
2000-05-05,-0.881380090439124
2000-05-08,-0.8812410170117264
2000-05-09,-0.8811483914521302
2000-05-10,-0.8810863185031356
2000-05-11,-0.8810445350706383
2000-05-12,-0.8810163207583106
2000-05-15,-0.8809972272106278
2000-05-16,-0.8809842863645893
2000-05-17,-0.8809755064107089
2000-05-18,-0.8809695452234632
2000-05-19,-0.8809654958675907
2000-05-22,-0.8809627442739991
2000-05-23,-0.8809608741017829
2000-05-24,-0.8809596028068086
2000-05-25,-0.8809587385218411
2000-05-26,-0.880958150898787
2000-05-29,-0.8809577513572404
2000-05-30,-0.8809574796885911
2000-05-31,-0.880957294963055
2000-06-01,-0.8826240634493199
2000-06-02,-0.8820771138280975
2000-06-05,-0.8817253752133734
2000-06-06,-0.8814961563450529
2000-06-07,-0.881345060000416
2000-06-08,-0.881244574970157
2000-06-09,-0.8811773076591333
2000-06-12,-0.8811320627098058
2000-06-13,-0.8811015276340822
2000-06-14,-0.8810808713851402
2000-06-15,-0.8810668750719333
2000-06-16,-0.8810573807285846
2000-06-19,-0.8810509352996571
2000-06-20,-0.8810465573743941
2000-06-21,-0.8810435826847036
2000-06-22,-0.8810415609604251
2000-06-23,-0.8810401866810119
2000-06-26,-0.881039252399482
2000-06-27,-0.8810386171939832
2000-06-28,-0.8810381853034264
2000-06-29,-0.8810378916407208
2000-06-30,-0.8810376919607457
2000-07-03,-0.8828066035963456
2000-07-04,-0.8822208966854769
2000-07-05,-0.881844114548616
2000-07-06,-0.8815985565400511
2000-07-07,-0.8814366949622541
2000-07-10,-0.8813290578867358
2000-07-11,-0.8812570078091523
2000-07-12,-0.8812085487585589
2000-07-13,-0.8811758460359204
2000-07-14,-0.8811537241750916
2000-07-17,-0.8811387351536687
2000-07-18,-0.8811285675851266
2000-07-19,-0.8811216652060387
2000-07-20,-0.881116976945497
2000-07-21,-0.881113791408914
2000-07-24,-0.8811116263926405
2000-07-25,-0.8811101547135328
2000-07-26,-0.881109154218219
2000-07-27,-0.8811084739956967
2000-07-28,-0.8811080114974388
2000-07-31,-0.8811076970232976
2000-08-01,-0.8831689655177616
2000-08-02,-0.8824708060980184
2000-08-03,-0.8820265997451179
2000-08-04,-0.8817398504974236
2000-08-07,-0.8815522835626917
2000-08-08,-0.8814282825599702
2000-08-09,-0.8813456372103055
2000-08-10,-0.8812902247107289
2000-08-11,-0.881252911538502
2000-08-14,-0.8812277096210546
2000-08-15,-0.8812106517855015
2000-08-16,-0.8811990893259959
2000-08-17,-0.8811912439420687
2000-08-18,-0.8811859169967324
2000-08-21,-0.881182298339396
2000-08-22,-0.8811798393495642
2000-08-23,-0.8811781680223411
2000-08-24,-0.8811770318838253
2000-08-25,-0.8811762594783221
2000-08-28,-0.8811757343208224
2000-08-29,-0.8811753772500635
2000-08-30,-0.8811751344588589
