date,ITA_public_finance_f1__ITA_public_finance_f2
1999-02-01,0.10755299671901376
1999-02-02,-0.11045774471355407
1999-02-03,-0.27078087914434956
1999-02-04,-0.39661296436614163
1999-02-05,-0.495241510634579
1999-02-08,-0.5724658869300654
1999-02-09,-0.6328809676561136
1999-02-10,-0.6801148194264265
1999-02-11,-0.7170244537871391
1999-02-12,-0.7458549883192884
1999-02-15,-0.768367814932055
1999-02-16,-0.7859430590034485
1999-02-17,-0.7996610306111908
1999-02-18,-0.8103666985690193
1999-02-19,-0.8187205577970078
1999-02-22,-0.8252386594228774
1999-02-23,-0.8303240503734188
1999-02-24,-0.8342914282175148
1999-02-25,-0.8373864524550099
1999-02-26,-0.8398008564108276
1999-03-01,-0.8416842644269484
1999-03-02,-0.5166361645977927
1999-03-03,-0.20212954283927528
1999-03-04,0.04000684362188057
1999-03-05,0.22702387649370753
1999-03-08,0.37181036409909646
1999-03-09,0.48410017421789286
1999-03-10,0.5713027299294192
1999-03-11,0.6390911617498902
1999-03-12,0.6918282220553246
1999-03-15,0.7328800357515729
1999-03-16,0.7648502759847478
1999-03-17,0.7897567132498048
1999-03-18,0.8091653502122228
1999-03-19,0.8242929387097638
1999-03-22,0.8360856910813216
1999-03-23,0.845279927653178
1999-03-24,0.8524489338023302
1999-03-25,0.8580392390689104
1999-03-26,0.8623987524444889
1999-03-29,0.8657986097778211
1999-03-30,0.8684501553830446
1999-03-31,0.8705181517278127
1999-04-01,0.86702015728252
1999-04-02,0.8693263765752709
1999-04-05,0.8711395369704708
1999-04-06,0.8725622597954319
1999-04-07,0.8736770158532264
1999-04-08,0.8745495348367398
1999-04-09,0.8752319061090761
1999-04-12,0.8757652433336115
1999-04-13,0.8761819026911204
1999-04-14,0.876507293727896
1999-04-15,0.8767613388746476
1999-04-16,0.8769596395836246
1999-04-19,0.8771144023523815
1999-04-20,0.8772351708258013
1999-04-21,0.8773294027082991
1999-04-22,0.8774029232852005
1999-04-23,0.8774602812967218
1999-04-26,0.8775050278043616
1999-04-27,0.8775399344837517
1999-04-28,0.8775671643636863
1999-04-29,0.877588405287846
1999-04-30,0.8776049741880009
1999-05-03,0.8621815102625534
1999-05-04,0.864266194984601
1999-05-05,0.8663775347885435
1999-05-06,0.8683487792714062
1999-05-07,0.8700993693542851
1999-05-10,0.8716026358595143
1999-05-11,0.8728632406477307
1999-05-12,0.8739022170711277
1999-05-13,0.8747475724137311
1999-05-14,0.8754287401330803
1999-05-17,0.8759735651306177
1999-05-18,0.876406875486995
1999-05-19,0.8767499961409878
1999-05-20,0.877020785601087
1999-05-21,0.8772339350146011
1999-05-24,0.8774013746280023
1999-05-25,0.8775327004692333
1999-05-26,0.8776355759613832
1999-05-27,0.8777160880588554
1999-05-28,0.8777790516130001
1999-05-31,0.8778282631855543
1999-06-01,0.8149665763408084
1999-06-02,0.822611901792781
1999-06-03,0.8305124138467767
1999-06-04,0.8380717080067887
1999-06-07,0.8449487050035305
1999-06-08,0.8509847713413546
1999-06-09,0.8561436076820167
1999-06-10,0.8604642841051122
1999-06-11,0.8640268522749263
1999-06-14,0.8669288576335367
1999-06-15,0.8692704802257304
1999-06-16,0.8711459874002216
1999-06-17,0.87263948664192
1999-06-18,0.8738234110682876
1999-06-21,0.874758611518854
1999-06-22,0.8754952985572355
1999-06-23,0.8760743561650833
1999-06-24,0.8765287438402378
1999-06-25,0.876884832477045
1999-06-28,0.8771635999836588
1999-06-29,0.8773816603976973
1999-06-30,0.8775521268203412
1999-07-01,0.8759821459183018
1999-07-02,0.8763165263972175
1999-07-05,0.876632787595343
1999-07-06,0.8769138876590358
1999-07-07,0.8771544222967967
1999-07-08,0.8773551492977051
1999-07-09,0.8775197728343666
1999-07-12,0.8776531196050682
1999-07-13,0.8777601545329866
