date,FRA_real_estate_f1__FRA_real_estate_f2
2000-01-31,-0.2814059136038988
2000-02-01,-0.4182083188712141
2000-02-02,-0.5245985228252332
2000-02-03,-0.6076002769752648
2000-02-04,-0.6723524409167068
2000-02-07,-0.7228656867515219
2000-02-08,-0.7622699989682092
2000-02-09,-0.7930077766295499
2000-02-10,-0.8169847059315698
2000-02-11,-0.8356875959493275
2000-02-14,-0.8502763849564531
2000-02-15,-0.861655962821092
2000-02-16,-0.8705322274368495
2000-02-17,-0.8774558300051184
2000-02-18,-0.882856309287911
2000-02-21,-0.8870687241878513
2000-02-22,-0.8903544319395923
2000-02-23,-0.8929172980028122
2000-02-24,-0.8949163415422355
2000-02-25,-0.8964755999724665
2000-02-28,-0.897691823952247
2000-02-29,-0.8986404798734615
2000-03-01,-0.899279653128874
2000-03-02,-0.8998794718140007
2000-03-03,-0.9003472604559523
2000-03-06,-0.9007119715948492
2000-03-07,-0.9009963456767218
2000-03-08,-0.9012180962202492
2000-03-09,-0.9013910243557812
2000-03-10,-0.9015258855874335
2000-03-13,-0.901631063505042
2000-03-14,-0.9017130938390162
2000-03-15,-0.9017770723477484
2000-03-16,-0.9018269724376666
2000-03-17,-0.9018658925833272
2000-03-20,-0.9018962491183133
2000-03-21,-0.9019199264924311
2000-03-22,-0.9019383943995014
2000-03-23,-0.9019527990927138
2000-03-24,-0.9019640345836282
2000-03-27,-0.9019727981609724
2000-03-28,-0.9019796336853034
2000-03-29,-0.9019849653527476
2000-03-30,-0.9019891240270081
2000-03-31,-0.9019923677760626
2000-04-03,-0.9017913363627195
2000-04-04,-0.9018373818327831
2000-04-05,-0.9018734885742591
2000-04-06,-0.9019018511136496
2000-04-07,-0.901924095401615
2000-04-10,-0.9019415197314907
2000-04-11,-0.9019551555303761
2000-04-12,-0.9019658186889749
2000-04-13,-0.901974152505775
2000-04-14,-0.9019806629450688
2000-04-17,-0.9019857472049011
2000-04-18,-0.9019897166466513
2000-04-19,-0.9019928150723497
2000-04-20,-0.9019952332190834
2000-04-21,-0.901997120209237
2000-04-24,-0.9019985925695346
2000-04-25,-0.9019997413192844
2000-04-26,-0.9020006375316619
2000-04-27,-0.9020013366912458
2000-04-28,-0.9020018821048905
2000-05-01,-0.9020023075695036
2000-05-02,-0.902400606479941
2000-05-03,-0.9023093528856566
2000-05-04,-0.9022396743629549
2000-05-05,-0.9021862922264362
2000-05-08,-0.9021452470205626
2000-05-09,-0.9021135944427539
2000-05-10,-0.9020891270376382
2000-05-11,-0.9020701777408601
2000-05-12,-0.9020554798110549
2000-05-15,-0.9020440657367584
2000-05-16,-0.902035193418682
2000-05-17,-0.9020282916888296
2000-05-18,-0.9020229197156981
2000-05-19,-0.9020187365041721
2000-05-22,-0.9020154778171845
2000-05-23,-0.9020129386093899
2000-05-24,-0.9020109595907799
2000-05-25,-0.9020094169081403
2000-05-26,-0.9020082141952377
2000-05-29,-0.9020072764320777
2000-05-30,-0.9020065451917361
2000-05-31,-0.90200597495519
2000-06-01,-0.9021925494823999
2000-06-02,-0.9021514188426665
2000-06-05,-0.9021189760560365
2000-06-06,-0.9020936736210706
2000-06-07,-0.9020739410691416
2000-06-08,-0.9020585517417703
2000-06-09,-0.90204654933058
2000-06-12,-0.9020371882241329
2000-06-13,-0.9020298870353702
2000-06-14,-0.9020241923987727
2000-06-15,-0.9020197507604946
2000-06-16,-0.9020162863921325
2000-06-19,-0.9020135842521927
2000-06-20,-0.9020114766246129
2000-06-21,-0.9020098327008342
2000-06-22,-0.9020085504562827
2000-06-23,-0.9020075503155264
2000-06-26,-0.9020067702120205
2000-06-27,-0.9020061617352675
2000-06-28,-0.902005687125946
2000-06-29,-0.9020053169323201
2000-06-30,-0.9020050281823674
2000-07-03,-0.9022233699804358
2000-07-04,-0.9021759219748726
2000-07-05,-0.902138195508984
2000-07-06,-0.9021087336990479
2000-07-07,-0.9020857348209971
2000-07-10,-0.9020677843506589
2000-07-11,-0.9020537760791103
2000-07-12,-0.9020428454265418
2000-07-13,-0.9020343169626841
2000-07-14,-0.9020276632075998
2000-07-17,-0.90202247233467
2000-07-18,-0.9020184228803854
2000-07-19,-0.902015263957939
2000-07-20,-0.9020127997872512
2000-07-21,-0.9020108776061165
2000-07-24,-0.9020093782273384
2000-07-25,-0.9020082086650447
2000-07-26,-0.9020072963781886
2000-07-27,-0.9020065847774267
2000-07-28,-0.9020060297186243
2000-07-31,-0.9020055967666606
2000-08-01,-0.9026935540257227
2000-08-02,-0.9025407461794172
2000-08-03,-0.9024213838504203
2000-08-04,-0.9023287908126576
2000-08-07,-0.9022568867721669
2000-08-08,-0.9022009974793891
2000-08-09,-0.9021575239702048
2000-08-10,-0.9021236881964186
2000-08-11,-0.9020973412759419
2000-08-14,-0.9020768181559254
2000-08-15,-0.9020608268939815
2000-08-16,-0.9020483639405258
2000-08-17,-0.9020386490750891
2000-08-18,-0.9020310752827277
2000-08-21,-0.9020251700423114
2000-08-22,-0.9020205653672305
2000-08-23,-0.9020169745815014
2000-08-24,-0.9020141742933615
2000-08-25,-0.9020119903885516
2000-08-28,-0.9020102871379528
2000-08-29,-0.9020089587215903
2000-08-30,-0.9020079226295725
2000-08-31,-0.9020071145222724
2000-09-01,-0.9020512311994792
2000-09-04,-0.902040989593192
2000-09-05,-0.9020329092967568
2000-09-06,-0.9020266062386698
2000-09-07,-0.9020216899747159
2000-09-08,-0.9020178553664127
2000-09-11,-0.9020148644200038
2000-09-12,-0.9020125315116898
2000-09-13,-0.9020107118618754
2000-09-14,-0.9020092925467543
2000-09-15,-0.9020081854883902
2000-09-18,-0.9020073219876121
2000-09-19,-0.9020066484600678
2000-09-20,-0.9020061231105834
2000-09-21,-0.9020057133393086
2000-09-22,-0.9020053937186021
2000-09-25,-0.9020051444150557
2000-09-26,-0.9020049499587077
2000-09-27,-0.9020047982830504
2000-09-28,-0.9020046799762468
2000-09-29,-0.9020045876970914
2000-10-02,-0.9020045157194608
2000-10-03,-0.9015997637853643
2000-10-04,-0.9016869527245485
2000-10-05,-0.9017557226818856
2000-10-06,-0.9018097649845624
2000-10-09,-0.9018521607820323
2000-10-10,-0.9018853766448571
2000-10-11,-0.9019113742629161
2000-10-12,-0.9019317065692953
2000-10-13,-0.9019475986575032
2000-10-16,-0.9019600144643664
2000-10-17,-0.9019697109323319
2000-10-18,-0.901977281554098
2000-10-19,-0.9019831911225146
2000-10-20,-0.9019878033109634
2000-10-23,-0.9019914024742743
2000-10-24,-0.9019942108283089
2000-10-25,-0.9019964019561795
2000-10-26,-0.9019981114075745
2000-10-27,-0.9019994450053973
2000-10-30,-0.9020004853487499
2000-10-31,-0.9020012968997283
2000-11-01,-0.9023863787636661
2000-11-02,-0.9022998653056064
2000-11-03,-0.902233221547686
2000-11-06,-0.9021818664989504
2000-11-07,-0.9021421943450436
2000-11-08,-0.9021114853588017
2000-11-09,-0.9020876760701432
2000-11-10,-0.902069192536942
2000-11-13,-0.9020548288760412
2000-11-14,-0.9020436578303348
2000-11-15,-0.9020349642855091
2000-11-16,-0.9020281954253738
2000-11-17,-0.9020229230868998
2000-11-20,-0.9020188151524196
2000-11-21,-0.9020156136972438
2000-11-22,-0.9020131182267395
2000-11-23,-0.9020111727732798
2000-11-24,-0.9020096559367631
2000-11-27,-0.9020084731801531
2000-11-28,-0.9020075508589525
2000-11-29,-0.9020068315879144
2000-11-30,-0.902006270641529
2000-12-01,-0.9019161286081253
2000-12-04,-0.9019353290911021
2000-12-05,-0.9019504931536299
2000-12-06,-0.9019623222945218
2000-12-07,-0.9019715489630777
2000-12-08,-0.9019787457193579
2000-12-11,-0.9019843591599134
2000-12-12,-0.9019887376243904
2000-12-13,-0.9019921528140628
2000-12-14,-0.9019948166536014
2000-12-15,-0.901996894442771
2000-12-18,-0.9019985151144447
2000-12-19,-0.9019997792356597
2000-12-20,-0.9020007652483124
2000-12-21,-0.9020015343368288
2000-12-22,-0.9020021342248926
2000-12-25,-0.9020026021368656
2000-12-26,-0.9020029671076736
2000-12-27,-0.9020032517845071
2000-12-28,-0.9020034738321383
2000-12-29,-0.9020036470290639
2001-01-01,-0.9020037821224932
2001-01-02,-0.9023902078926682
2001-01-03,-0.9023040341461281
2001-01-04,-0.9022371089308734
2001-01-05,-0.9021852932135453
2001-01-08,-0.9021451147301685
2001-01-09,-0.9021139209171107
2001-01-10,-0.9020896785576751
2001-01-11,-0.902070823721203
2001-01-12,-0.9020561500082811
2001-01-15,-0.9020447246657
2001-01-16,-0.902035825179819
2001-01-17,-0.9020288910629667
2001-01-18,-0.9020234870093292
2001-01-19,-0.902019274623257
2001-01-22,-0.9020159906526409
2001-01-23,-0.9020134301851608
2001-01-24,-0.9020114336476525
2001-01-25,-0.9020098767304383
2001-01-26,-0.9020086625678054
2001-01-29,-0.9020077156628499
2001-01-30,-0.9020069771635167
2001-01-31,-0.9020064011868373
2001-02-01,-0.9021001891173601
2001-02-02,-0.9020789670097142
2001-02-05,-0.9020624626203559
2001-02-06,-0.9020496264385381
2001-02-07,-0.9020396369599338
2001-02-08,-0.902031859020909
2001-02-09,-0.9020258006660864
2001-02-12,-0.9020210802873602
2001-02-13,-0.9020174015204845
2001-02-14,-0.9020145339872185
2001-02-15,-0.9020122984711487
2001-02-16,-0.9020105554749042
2001-02-19,-0.9020091963679732
2001-02-20,-0.9020081365265761
2001-02-21,-0.9020073100099247
2001-02-22,-0.9020066654242361
2001-02-23,-0.9020061627067298
2001-02-26,-0.9020057706232754
2001-02-27,-0.9020054648202855
2001-02-28,-0.902005226307464
2001-03-01,-0.9017393642562503
2001-03-02,-0.9017970827808399
2001-03-05,-0.9018426772778853
2001-03-06,-0.9018782425798783
2001-03-07,-0.9019059820798189
2001-03-08,-0.9019276179759909
2001-03-09,-0.9019444934057292
2001-03-12,-0.9019576558869792
2001-03-13,-0.9019679224023704
2001-03-14,-0.9019759301475239
2001-03-15,-0.9019821761034198
2001-03-16,-0.9019870478956342
2001-03-19,-0.9019908478599984
2001-03-20,-0.9019938118109675
2001-03-21,-0.9019961236791826
2001-03-22,-0.9019979269276742
2001-03-23,-0.9019993334558257
2001-03-26,-0.902000430544046
2001-03-27,-0.9020012862703615
2001-03-28,-0.9020019537351949
2001-03-29,-0.9020024743566001
2001-03-30,-0.9020028804404824
2001-04-02,-0.9020031971853332
2001-04-03,-0.9015142972422919
2001-04-04,-0.9016206702645618
2001-04-05,-0.9017046417058832
2001-04-06,-0.9017703036336895
2001-04-09,-0.9018216160379212
2001-04-10,-0.9018616977684721
2001-04-11,-0.901892996650538
2001-04-12,-0.9019174310614066
2001-04-13,-0.9019365028050834
2001-04-16,-0.9019513865924925
2001-04-17,-0.9019630006967625
2001-04-18,-0.9019720625814077
2001-04-19,-0.9019791326017718
2001-04-20,-0.901984648280168
2001-04-23,-0.9019889511541763
2001-04-24,-0.9019923077871481
2001-04-25,-0.9019949261981174
2001-04-26,-0.9019969687024391
2001-04-27,-0.9019985619428412
2001-04-30,-0.9019998047229713
2001-05-01,-0.9019157382283688
2001-05-02,-0.9019350005833733
2001-05-03,-0.9019499107669663
2001-05-04,-0.9019616619853362
2001-05-07,-0.9019709029393338
2001-05-08,-0.90197815648823
2001-05-09,-0.9019838419846015
2001-05-10,-0.9019882935327359
2001-05-11,-0.9019917759939139
2001-05-14,-0.9019944985494897
2001-05-15,-0.9019966259353512
2001-05-16,-0.9019982876028616
2001-05-17,-0.9019995851062923
2001-05-18,-0.9020005980120629
2001-05-21,-0.9020013885973381
2001-05-22,-0.902002005569295
2001-05-23,-0.9020024869992012
2001-05-24,-0.9020028626311054
2001-05-25,-0.9020031556948377
2001-05-28,-0.9020033843275919
2001-05-29,-0.9020035626872809
2001-05-30,-0.9020037018237058
2001-05-31,-0.9020038103597428
2001-06-01,-0.9017265961484788
2001-06-04,-0.9017870508615189
2001-06-05,-0.9018347965392528
2001-06-06,-0.901872045056073
2001-06-07,-0.9019011006344384
2001-06-08,-0.9019237649923466
2001-06-11,-0.9019414437866666
2001-06-12,-0.9019552335987493
2001-06-13,-0.9019659898610125
2001-06-14,-0.9019743798691149
2001-06-15,-0.9019809241482606
2001-06-18,-0.9019860287286766
2001-06-19,-0.9019900103261937
2001-06-20,-0.9019931159864684
2001-06-21,-0.901995538409469
2001-06-22,-0.9019974279037638
2001-06-25,-0.9019989017115739
2001-06-26,-0.9020000512827391
2001-06-27,-0.9020009479486675
2001-06-28,-0.9020016473481648
2001-06-29,-0.9020021928796756
2001-07-02,-0.9020026183940846
2001-07-03,-0.9005239779645834
2001-07-04,-0.900843111122732
2001-07-05,-0.9010959883413021
2001-07-06,-0.9012942365432368
2001-07-09,-0.9014494574001992
2001-07-10,-0.9015708800935078
2001-07-11,-0.901665799796324
2001-07-12,-0.9017399634210114
2001-07-13,-0.9017978871465072
2001-07-16,-0.9018431136081527
2001-07-17,-0.9018784180423944
2001-07-18,-0.9019059723300883
2001-07-19,-0.9019274748727284
2001-07-20,-0.9019442530397018
2001-07-23,-0.9019573437608798
2001-07-24,-0.9019675567991063
2001-07-25,-0.9019755243496368
2001-07-26,-0.90198173987663
2001-07-27,-0.9019865884956151
2001-07-30,-0.9019903707262795
2001-07-31,-0.901993321052644
2001-08-01,-0.9017267239219376
2001-08-02,-0.9017812316144451
2001-08-03,-0.9018274956065364
2001-08-06,-0.9018646448721178
2001-08-07,-0.9018942584220722
2001-08-08,-0.9019177439315648
2001-08-09,-0.9019362977455765
2001-08-10,-0.9019509126231455
2001-08-13,-0.9019623991010423
2001-08-14,-0.9019714113741446
2001-08-15,-0.9019784730664794
2001-08-16,-0.9019840007194548
2001-08-17,-0.9019883241681764
2001-08-20,-0.9019917036831473
2001-08-21,-0.9019943440990574
2001-08-22,-0.9019964062960243
2001-08-23,-0.9019980164350536
2001-08-24,-0.9019992733319788
2001-08-27,-0.9020002543126798
2001-08-28,-0.9020010198431183
2001-08-29,-0.9020016171790612
