date,ITA_macro_f1__ITA_macro_f2
1999-02-01,0.43107269322999475
1999-02-02,0.16897925561069713
1999-02-03,-0.046724696198750505
1999-02-04,-0.21439580744843922
1999-02-05,-0.34482971008569135
1999-02-08,-0.4463564434253617
1999-02-09,-0.5254189359618227
1999-02-10,-0.5870097892807845
1999-02-11,-0.635003356398181
1999-02-12,-0.6724096006849875
1999-02-15,-0.7015690016942371
1999-02-16,-0.724302710298339
1999-02-17,-0.7420285391925344
1999-02-18,-0.7558507514809919
1999-02-19,-0.7666296814073007
1999-02-22,-0.7750357872603465
1999-02-23,-0.7815916601630482
1999-02-24,-0.78670469834144
1999-02-25,-0.7906925368081323
1999-02-26,-0.793802848332091
1999-03-01,-0.7962287674136806
1999-03-02,-0.7981217631405009
1999-03-03,-0.7995972131723672
1999-03-04,-0.800748098530957
1999-03-05,-0.8016458098560985
1999-03-08,-0.8023460371604739
1999-03-09,-0.8028922219089958
1999-03-10,-0.8033182504311532
1999-03-11,-0.8036505552727108
1999-03-12,-0.8039097545523225
1999-03-15,-0.8041119308454009
1999-03-16,-0.8042696288272677
1999-03-17,-0.8043926335042618
1999-03-18,-0.804488577276308
1999-03-19,-0.8045634134714272
1999-03-22,-0.8046217857182362
1999-03-23,-0.8046673160659147
1999-03-24,-0.8047028297234533
1999-03-25,-0.8047305303596715
1999-03-26,-0.8047521368392658
1999-03-29,-0.80476898987813
1999-03-30,-0.8047821352352178
1999-03-31,-0.8047923886026048
1999-04-01,-0.8072959409106565
1999-04-02,-0.8061022304491565
1999-04-05,-0.8053867082960278
1999-04-06,-0.8049786065221955
1999-04-07,-0.8047618032096137
1999-04-08,-0.8046598868975064
1999-04-09,-0.8046240815533332
1999-04-12,-0.8046241636971114
1999-04-13,-0.8046419860009549
1999-04-14,-0.8046670467032975
1999-04-15,-0.804693557775733
1999-04-16,-0.8047185581487167
1999-04-19,-0.8047407289768448
1999-04-20,-0.8047596668468917
1999-04-21,-0.8047754485234876
1999-04-22,-0.8047883773743464
1999-04-23,-0.8047988407514415
1999-04-26,-0.8048072337350958
1999-04-27,-0.8048139216334579
1999-04-28,-0.8048192244401
1999-04-29,-0.8048234132129499
1999-04-30,-0.8048267125003609
1999-05-03,-0.8052155293481753
1999-05-04,-0.8051164538374311
1999-05-05,-0.805045511855358
1999-05-06,-0.8049940600840123
1999-05-07,-0.8049563033965158
1999-05-10,-0.8049283049355214
1999-05-11,-0.8049073524418248
1999-05-12,-0.8048915501879447
1999-05-13,-0.804879554085463
1999-05-14,-0.8048703980219739
1999-05-17,-0.8048633786775868
1999-05-18,-0.8048579781246418
1999-05-19,-0.8048538110777005
1999-05-20,-0.8048505884107956
1999-05-21,-0.8048480915492913
1999-05-24,-0.8048461542341865
1999-05-25,-0.8048446493587675
1999-05-26,-0.8048434793476977
1999-05-27,-0.8048425690466452
1999-05-28,-0.8048418604161599
1999-05-31,-0.8048413085390353
1999-06-01,-0.804733777672282
1999-06-02,-0.8047568633544006
1999-06-03,-0.8047749272123071
1999-06-04,-0.8047890516834834
1999-06-07,-0.8048000898426924
1999-06-08,-0.8048087124179552
1999-06-09,-0.8048154458158783
1999-06-10,-0.8048207026022006
1999-06-11,-0.8048248057749596
1999-06-14,-0.8048280080002642
1999-06-15,-0.8048305068001288
1999-06-16,-0.8048324565107754
1999-06-17,-0.8048339776780696
1999-06-18,-0.8048351644272788
1999-06-21,-0.8048360902366113
1999-06-22,-0.8048368124558559
1999-06-23,-0.8048373758402129
1999-06-24,-0.8048378153123337
1999-06-25,-0.8048381581201486
1999-06-28,-0.8048384255220642
1999-06-29,-0.8048386341026866
1999-06-30,-0.8048387967998595
1999-07-01,-0.7945053331390833
1999-07-02,-0.7967868909314865
1999-07-05,-0.7985636957460688
1999-07-06,-0.7999474477525331
1999-07-07,-0.8010252672990859
1999-07-08,-0.8018649624455656
1999-07-09,-0.8025192742653205
1999-07-12,-0.8030292236796058
1999-07-13,-0.8034267240758061
1999-07-14,-0.803736612184928
1999-07-15,-0.8039782243686503
1999-07-16,-0.8041666198101571
1999-07-19,-0.8043135300596915
1999-07-20,-0.8044280965975605
1999-07-21,-0.8045174441121058
1999-07-22,-0.8045871263595632
1999-07-23,-0.8046414731144235
1999-07-26,-0.8046838602770161
1999-07-27,-0.8047169202380313
1999-07-28,-0.8047427057652873
1999-07-29,-0.804762817713667
1999-07-30,-0.8047785045640721
1999-08-02,-0.8047907400179366
1999-08-03,-0.8024990610943988
1999-08-04,-0.8030099199426254
1999-08-05,-0.8034093832611
1999-08-06,-0.8037215479355727
1999-08-09,-0.8039653814051687
1999-08-10,-0.8041557767997327
1999-08-11,-0.8043044079190733
1999-08-12,-0.80442041380841
1999-08-13,-0.8045109426887577
1999-08-16,-0.8045815819143836
1999-08-17,-0.8046366966316705
1999-08-18,-0.8046796958563764
1999-08-19,-0.8047132411468501
