date,USA_public_finance_f1__USA_public_finance_f2
1999-02-01,-0.35038629579496333
1999-02-02,-0.4779092333048864
1999-02-03,-0.5725596060410733
1999-02-04,-0.6466637342023007
1999-02-05,-0.7046352317491722
1999-02-08,-0.7499574806345339
1999-02-09,-0.7853728206404763
1999-02-10,-0.8130359125800044
1999-02-11,-0.834637021049964
1999-02-12,-0.8515004665009234
1999-02-15,-0.8646628435406591
1999-02-16,-0.8749349137945055
1999-02-17,-0.8829504265956074
1999-02-18,-0.8892045337420389
1999-02-19,-0.8940839582554522
1999-02-22,-0.8978906516784365
1999-02-23,-0.900860323597253
1999-02-24,-0.9031769415908122
1999-02-25,-0.9049840698209307
1999-02-26,-0.9063937305898256
1999-03-01,-0.9074933269934409
1999-03-02,-0.90344833023774
1999-03-03,-0.9050747285108826
1999-03-04,-0.9063910693435966
1999-03-05,-0.907446466746296
1999-03-08,-0.9082869279020244
1999-03-09,-0.9089529008620836
1999-03-10,-0.909478657255492
1999-03-11,-0.909892561015296
1999-03-12,-0.9102177180092901
1999-03-15,-0.9104727432426059
1999-03-16,-0.9106725145322976
1999-03-17,-0.9108288533724535
1999-03-18,-0.9109511119229109
1999-03-19,-0.9110466645714753
1999-03-22,-0.9111213117199127
1999-03-23,-0.9111796070622523
1999-03-24,-0.9112251203294862
1999-03-25,-0.9112606467591372
1999-03-26,-0.9112883732299057
1999-03-29,-0.9113100095155474
1999-03-30,-0.9113268916766807
1999-03-31,-0.911340063322438
1999-04-01,-0.9025513414361435
1999-04-02,-0.9044686891418492
1999-04-05,-0.9059746359123088
1999-04-06,-0.907154405418604
1999-04-07,-0.9080772223242805
1999-04-08,-0.908798366222975
1999-04-09,-0.9093615727149733
1999-04-12,-0.9098012603836027
1999-04-13,-0.910144429888406
1999-04-14,-0.9104122215083004
1999-04-15,-0.9106211668191833
1999-04-16,-0.9107841831779719
1999-04-19,-0.9109113586001927
1999-04-20,-0.9110105687007516
1999-04-21,-0.9110879604014883
1999-04-22,-0.9111483305616461
1999-04-23,-0.9111954220411874
1999-04-26,-0.9112321550366437
1999-04-27,-0.911260807752284
1999-04-28,-0.9112831574545719
1999-04-29,-0.9113005905702998
1999-04-30,-0.9113141886072611
1999-05-03,-0.8961892049939615
1999-05-04,-0.8993388137091182
1999-05-05,-0.90186952990207
1999-05-06,-0.9038854463897259
1999-05-07,-0.9054820363066526
1999-05-10,-0.9067414795683549
1999-05-11,-0.9077321512230302
1999-05-12,-0.908509802609148
1999-05-13,-0.9091193104045636
1999-05-14,-0.9095964879232202
1999-05-17,-0.9099697453609653
1999-05-18,-0.9102615244651188
1999-05-19,-0.9104894976760838
1999-05-20,-0.910667549970623
1999-05-21,-0.9108065719790374
1999-05-24,-0.9109150947421352
1999-05-25,-0.9109997944132543
1999-05-26,-0.9110658916589249
1999-05-27,-0.9111174666313404
1999-05-28,-0.9111577067171358
1999-05-31,-0.9111891010303045
1999-06-01,-0.893767606475392
