date,ESP_public_finance_f1__ESP_public_finance_f2
1999-02-01,0.1942635313274596
1999-02-02,-0.0861581765430771
1999-02-03,-0.34256718293258565
1999-02-04,-0.5133915545603527
1999-02-05,-0.628055693629222
1999-02-08,-0.7053756248438476
1999-02-09,-0.7576639100114405
1999-02-10,-0.7930898567911725
1999-02-11,-0.8171204726194317
1999-02-12,-0.83343434133323
1999-02-15,-0.8445154148547623
1999-02-16,-0.8520448616228838
1999-02-17,-0.8571622658326282
1999-02-18,-0.8606408911281812
1999-02-19,-0.8630057969712356
1999-02-22,-0.8646136738740318
1999-02-23,-0.8657069099644489
1999-02-24,-0.8664502546073711
1999-02-25,-0.8669557028898666
1999-02-26,-0.8672993955067569
1999-03-01,-0.8675331007291189
1999-03-02,-0.12006224678118894
1999-03-03,0.1566654010225239
1999-03-04,0.3663589011862592
1999-03-05,0.5229756407843845
1999-03-08,0.6378254896737897
1999-03-09,0.7205670986937693
1999-03-10,0.7792834910712673
1999-03-11,0.8204564714963686
1999-03-12,0.8490695052929356
1999-03-15,0.8688242980022272
1999-03-16,0.8823997531502898
1999-03-17,0.8916982590278428
1999-03-18,0.898052779201998
1999-03-19,0.9023885828286081
1999-03-22,0.9053437866227546
1999-03-23,0.9073565101744119
1999-03-24,0.9087266390458053
1999-03-25,0.9096590106429763
1999-03-26,0.9102933397700448
1999-03-29,0.910724829845042
1999-03-30,0.91101831063954
1999-03-31,0.911217908732799
1999-04-01,0.9111612691286789
1999-04-02,0.9113145465700381
1999-04-05,0.9114185608696219
1999-04-06,0.9114891916971251
1999-04-07,0.9115371749891983
1999-04-08,0.9115697825199927
1999-04-09,0.9115919458783156
1999-04-12,0.911607012443195
1999-04-13,0.9116172556138138
1999-04-14,0.9116242199987794
1999-04-15,0.9116289553293944
1999-04-16,0.9116321751441072
1999-04-19,0.9116343645199385
1999-04-20,0.9116358532494111
1999-04-21,0.9116368655636642
1999-04-22,0.9116375539269581
1999-04-23,0.91163802200897
1999-04-26,0.9116383403022635
1999-04-27,0.9116385567404572
1999-04-28,0.9116387039177837
1999-04-29,0.9116388039980202
1999-04-30,0.911638872052389
1999-05-03,0.904763472980601
1999-05-04,0.9059114175509096
1999-05-05,0.9072383703801585
1999-05-06,0.9084154258304925
1999-05-07,0.9093506810506563
1999-05-10,0.9100516850191743
1999-05-11,0.910559327525567
1999-05-12,0.9109191311845252
1999-05-13,0.911170645760715
1999-05-14,0.9113448722667986
1999-05-17,0.9114648339294719
1999-05-18,0.9115470987461132
1999-05-19,0.9116033592219984
1999-05-20,0.911641764784068
1999-05-21,0.9116679492874553
1999-05-24,0.9116857865481051
1999-05-25,0.9116979305926378
1999-05-26,0.9117061953426504
1999-05-27,0.9117118185151397
1999-05-28,0.9117156437240074
1999-05-31,0.9117182455361135
1999-06-01,0.8521466265813098
1999-06-02,0.8615297030477783
1999-06-03,0.8722870904655504
1999-06-04,0.8821210223773763
1999-06-07,0.8901873095549016
1999-06-08,0.8963953202941037
1999-06-09,0.900982730480539
1999-06-10,0.9042826066486445
1999-06-11,0.906613788555475
1999-06-14,0.9082406201705157
1999-06-15,0.9093665316624252
1999-06-16,0.9101413796630008
1999-06-17,0.9106725864112031
1999-06-18,0.9110358135931746
1999-06-21,0.9112837401756351
1999-06-22,0.9114527625553484
1999-06-23,0.9115678980522662
1999-06-24,0.9116462828994404
1999-06-25,0.9116996274823899
1999-06-28,0.9117359216261943
1999-06-29,0.9117606108048244
1999-06-30,0.9117774036757079
1999-07-01,0.9018493654551853
1999-07-02,0.9040206425771347
1999-07-05,0.9060339882117149
1999-07-06,0.9076588541663102
1999-07-07,0.9088847911467142
1999-07-08,0.9097753429899569
1999-07-09,0.9104075539655316
1999-07-12,0.9108498780613112
1999-07-13,0.9111564353891698
1999-07-14,0.911367576355815
1999-07-15,0.9115123957405731
1999-07-16,0.9116114489751433
1999-07-19,0.9116790718549398
1999-07-20,0.9117251788133195
1999-07-21,0.9117565886247081
1999-07-22,0.9117779736908025
1999-07-23,0.911792527737023
1999-07-26,0.9118024301267224
1999-07-27,0.9118091663560158
1999-07-28,0.9118137481941105
1999-07-29,0.9118168643984672
1999-07-30,0.9118189836728218
1999-08-02,0.9118204248968017
1999-08-03,0.9116221038006871
1999-08-04,0.9116826679711443
1999-08-05,0.911725781599177
1999-08-06,0.9117559873885419
1999-08-09,0.9117769369522313
1999-08-10,0.9117913716795786
1999-08-11,0.9118012745748385
1999-08-12,0.9118080488615034
1999-08-13,0.9118126740054543
1999-08-16,0.9118158277122006
1999-08-17,0.9118179762113421
1999-08-18,0.9118194390293832
1999-08-19,0.9118204345952454
1999-08-20,0.9118211119725286
1999-08-23,0.9118215727703429
1999-08-24,0.9118218861965208
1999-08-25,0.9118220993649069
1999-08-26,0.9118222443371824
1999-08-27,0.9118223429265017
1999-08-30,0.9118224099709856
1999-08-31,0.9118224555629456
1999-09-01,0.9111287811146731
1999-09-02,0.9112986883598395
1999-09-03,0.9114424570109649
1999-09-06,0.9115532449235905
1999-09-07,0.9116345952980588
1999-09-08,0.9116926922744607
1999-09-09,0.9117334823654121
1999-09-10,0.9117618131868097
1999-09-13,0.9117813525315042
1999-09-14,0.9117947661350421
1999-09-15,0.9118039460296803
1999-09-16,0.9118102154701215
1999-09-17,0.9118144912235817
1999-09-20,0.9118174045300547
1999-09-21,0.9118193882566545
1999-09-22,0.9118207384284831
1999-09-23,0.9118216571172177
1999-09-24,0.9118222820897034
1999-09-27,0.9118227071929337
1999-09-28,0.911822996319379
1999-09-29,0.9118231929512788
1999-09-30,0.9118233266728917
1999-10-01,0.9112312404727017
1999-10-04,0.9113703973513275
1999-10-05,0.9114918503717768
1999-10-06,0.9115868397731761
1999-10-07,0.9116571667280914
1999-10-08,0.9117076406192476
1999-10-11,0.9117431890001111
1999-10-12,0.9117679288811829
1999-10-13,0.9117850141752438
1999-10-14,0.9117967534028664
1999-10-15,0.9118047921306452
1999-10-18,0.911810284382189
1999-10-19,0.911814031095431
1999-10-20,0.9118165843998242
1999-10-21,0.9118183232074112
1999-10-22,0.9118195067800351
1999-10-25,0.9118203121562747
1999-10-26,0.9118208600647251
1999-10-27,0.9118212327591017
1999-10-28,0.9118214862450883
1999-10-29,0.9118216586403601
1999-11-01,0.9118217758805578
1999-11-02,0.9082380598306805
1999-11-03,0.909069096255158
1999-11-04,0.9098040485911
1999-11-05,0.9103825819749563
1999-11-08,0.910812509973092
1999-11-09,0.9111217898701357
1999-11-10,0.911339941974248
1999-11-11,0.9114919160804136
1999-11-12,0.9115969387955161
1999-11-15,0.9116691316897059
1999-11-16,0.9117185824865282
1999-11-17,0.9117523753556359
1999-11-18,0.9117754314215449
1999-11-19,0.9117911451094588
1999-11-22,0.9118018468581517
1999-11-23,0.9118091316465995
1999-11-24,0.9118140888144958
1999-11-25,0.911817461310959
1999-11-26,0.9118197553576369
1999-11-29,0.9118213156550244
1999-11-30,0.911822376816577
1999-12-01,0.9011387723612225
1999-12-02,0.9037151963327587
1999-12-03,0.9059211307591576
1999-12-06,0.9076300990820374
1999-12-07,0.9088887359357305
1999-12-08,0.909789275197054
1999-12-09,0.9104223143813335
1999-12-10,0.9108623480381669
1999-12-13,0.9111659976419804
1999-12-14,0.9113745272554927
1999-12-15,0.9115172746229476
1999-12-16,0.9116147809024496
1999-12-17,0.9116812877419337
1999-12-20,0.9117266060514037
1999-12-21,0.9117574657987924
1999-12-22,0.9117784704388037
1999-12-23,0.9117927628410963
1999-12-24,0.9118024859460427
1999-12-27,0.9118090996294179
1999-12-28,0.9118135978438658
1999-12-29,0.9118166570489241
1999-12-30,0.9118187375012398
1999-12-31,0.9118201522973357
2000-01-03,0.8653531205711397
2000-01-04,0.8773808920253685
2000-01-05,0.8870875057387825
2000-01-06,0.8943866660044251
2000-01-07,0.8996736950108077
2000-01-10,0.9034192802595462
2000-01-11,0.9060361946279034
2000-01-12,0.9078481680945562
2000-01-13,0.9090953751196338
2000-01-14,0.9099504587535966
2000-01-17,0.9105351498802503
2000-01-18,0.9109342370116112
2000-01-19,0.911206309009752
2000-01-20,0.9113916383953183
2000-01-21,0.9115178105426897
2000-01-24,0.9116036760927466
2000-01-25,0.9116620963148705
2000-01-26,0.9117018366831333
2000-01-27,0.9117288668804144
2000-01-28,0.9117472505258486
2000-01-31,0.9117597528375772
2000-02-01,0.8870310932122254
2000-02-02,0.8936317067305327
2000-02-03,0.8988395169387924
2000-02-04,0.9026968757753108
2000-02-07,0.9054617248955622
2000-02-08,0.9074062365542519
2000-02-09,0.90875795484796
2000-02-10,0.9096906427565632
2000-02-11,0.9103310923122625
2000-02-14,0.9107694658403372
2000-02-15,0.9110688830442997
2000-02-16,0.9112730976487674
2000-02-17,0.9114122457331267
2000-02-18,0.91150699677107
2000-02-21,0.9115714876901344
2000-02-22,0.9116153693289325
2000-02-23,0.9116452216878266
