date,ITA_external_fx_f1,ITA_external_fx_f2
1999-02-01,2.206632662066208,0.23437828772626507
1999-02-02,2.2191018191726095,0.04760310476837515
1999-02-03,2.2191018191726095,0.04760310473973059
1999-02-04,2.2191018191726095,0.04760310473973059
1999-02-05,2.2191018191726095,0.04760310473973059
1999-02-08,2.2191018191726095,0.04760310473973059
1999-02-09,2.2191018191726095,0.04760310473973059
1999-02-10,2.2191018191726095,0.04760310473973059
1999-02-11,2.2191018191726095,0.04760310473973059
1999-02-12,2.2191018191726095,0.04760310473973059
1999-02-15,2.2191018191726095,0.04760310473973059
1999-02-16,2.2191018191726095,0.04760310473973059
1999-02-17,2.2191018191726095,0.04760310473973059
1999-02-18,2.2191018191726095,0.04760310473973059
1999-02-19,2.2191018191726095,0.04760310473973059
1999-02-22,2.2191018191726095,0.04760310473973059
1999-02-23,2.2191018191726095,0.04760310473973059
1999-02-24,2.2191018191726095,0.04760310473973059
1999-02-25,2.2191018191726095,0.04760310473973059
1999-02-26,2.2191018191726095,0.04760310473973059
1999-03-01,2.2191018191726095,0.04760310473973059
1999-03-02,2.14508189031449,0.3399610854508711
1999-03-03,2.14508189031449,0.3399610854595002
1999-03-04,2.14508189031449,0.3399610854595002
1999-03-05,2.14508189031449,0.3399610854595002
1999-03-08,2.14508189031449,0.3399610854595002
1999-03-09,2.14508189031449,0.3399610854595002
1999-03-10,2.14508189031449,0.3399610854595002
1999-03-11,2.14508189031449,0.3399610854595002
1999-03-12,2.14508189031449,0.3399610854595002
1999-03-15,2.14508189031449,0.3399610854595002
1999-03-16,2.14508189031449,0.3399610854595002
1999-03-17,2.14508189031449,0.3399610854595002
1999-03-18,2.14508189031449,0.3399610854595002
1999-03-19,2.14508189031449,0.3399610854595002
1999-03-22,2.14508189031449,0.3399610854595002
1999-03-23,2.14508189031449,0.3399610854595002
1999-03-24,2.14508189031449,0.3399610854595002
1999-03-25,2.14508189031449,0.3399610854595002
1999-03-26,2.14508189031449,0.3399610854595002
1999-03-29,2.14508189031449,0.3399610854595002
1999-03-30,2.14508189031449,0.3399610854595002
1999-03-31,2.14508189031449,0.3399610854595002
1999-04-01,2.261786311249404,0.6101534127424668
1999-04-02,2.261786311249404,0.6101534127533598
1999-04-05,2.261786311249404,0.6101534127533598
1999-04-06,2.261786311249404,0.6101534127533598
1999-04-07,2.261786311249404,0.6101534127533598
1999-04-08,2.261786311249404,0.6101534127533598
1999-04-09,2.261786311249404,0.6101534127533598
1999-04-12,2.261786311249404,0.6101534127533598
1999-04-13,2.261786311249404,0.6101534127533598
1999-04-14,2.261786311249404,0.6101534127533598
1999-04-15,2.261786311249404,0.6101534127533598
1999-04-16,2.261786311249404,0.6101534127533598
1999-04-19,2.261786311249404,0.6101534127533598
1999-04-20,2.261786311249404,0.6101534127533598
1999-04-21,2.261786311249404,0.6101534127533598
1999-04-22,2.261786311249404,0.6101534127533598
1999-04-23,2.261786311249404,0.6101534127533598
1999-04-26,2.261786311249404,0.6101534127533598
1999-04-27,2.261786311249404,0.6101534127533598
1999-04-28,2.261786311249404,0.6101534127533598
1999-04-29,2.261786311249404,0.6101534127533598
1999-04-30,2.261786311249404,0.6101534127533598
1999-05-03,2.323478708263793,0.8790255659194628
1999-05-04,2.323478708263793,0.879025565931256
1999-05-05,2.323478708263793,0.879025565931256
1999-05-06,2.323478708263793,0.879025565931256
1999-05-07,2.323478708263793,0.879025565931256
1999-05-10,2.323478708263793,0.879025565931256
1999-05-11,2.323478708263793,0.879025565931256
1999-05-12,2.323478708263793,0.879025565931256
1999-05-13,2.323478708263793,0.879025565931256
1999-05-14,2.323478708263793,0.879025565931256
1999-05-17,2.323478708263793,0.879025565931256
1999-05-18,2.323478708263793,0.879025565931256
1999-05-19,2.323478708263793,0.879025565931256
1999-05-20,2.323478708263793,0.879025565931256
1999-05-21,2.323478708263793,0.879025565931256
1999-05-24,2.323478708263793,0.879025565931256
1999-05-25,2.323478708263793,0.879025565931256
1999-05-26,2.323478708263793,0.879025565931256
1999-05-27,2.323478708263793,0.879025565931256
1999-05-28,2.323478708263793,0.879025565931256
1999-05-31,2.323478708263793,0.879025565931256
1999-06-01,2.2806939373478383,1.026776225616599
1999-06-02,2.2806939373478383,1.0267762256236992
1999-06-03,2.2806939373478383,1.0267762256236992
1999-06-04,2.2806939373478383,1.0267762256236992
1999-06-07,2.2806939373478383,1.0267762256236992
1999-06-08,2.2806939373478383,1.0267762256236992
1999-06-09,2.2806939373478383,1.0267762256236992
1999-06-10,2.2806939373478383,1.0267762256236992
1999-06-11,2.2806939373478383,1.0267762256236992
1999-06-14,2.2806939373478383,1.0267762256236992
1999-06-15,2.2806939373478383,1.0267762256236992
1999-06-16,2.2806939373478383,1.0267762256236992
1999-06-17,2.2806939373478383,1.0267762256236992
1999-06-18,2.2806939373478383,1.0267762256236992
1999-06-21,2.2806939373478383,1.0267762256236992
1999-06-22,2.2806939373478383,1.0267762256236992
1999-06-23,2.2806939373478383,1.0267762256236992
1999-06-24,2.2806939373478383,1.0267762256236992
1999-06-25,2.2806939373478383,1.0267762256236992
1999-06-28,2.2806939373478383,1.0267762256236992
1999-06-29,2.2806939373478383,1.0267762256236992
1999-06-30,2.2806939373478383,1.0267762256236992
1999-07-01,2.267765556259109,1.1338670490390472
1999-07-02,2.267765556259109,1.1338670490443306
1999-07-05,2.267765556259109,1.1338670490443306
1999-07-06,2.267765556259109,1.1338670490443306
1999-07-07,2.267765556259109,1.1338670490443306
1999-07-08,2.267765556259109,1.1338670490443306
1999-07-09,2.267765556259109,1.1338670490443306
1999-07-12,2.267765556259109,1.1338670490443306
1999-07-13,2.267765556259109,1.1338670490443306
1999-07-14,2.267765556259109,1.1338670490443306
1999-07-15,2.267765556259109,1.1338670490443306
1999-07-16,2.267765556259109,1.1338670490443306
1999-07-19,2.267765556259109,1.1338670490443306
1999-07-20,2.267765556259109,1.1338670490443306
1999-07-21,2.267765556259109,1.1338670490443306
1999-07-22,2.267765556259109,1.1338670490443306
1999-07-23,2.267765556259109,1.1338670490443306
1999-07-26,2.267765556259109,1.1338670490443306
1999-07-27,2.267765556259109,1.1338670490443306
1999-07-28,2.267765556259109,1.1338670490443306
1999-07-29,2.267765556259109,1.1338670490443306
1999-07-30,2.267765556259109,1.1338670490443306
