date,ITA_external_fx_f1__ITA_external_fx_f2
1999-02-01,0.1816014322005283
1999-02-02,0.18478655322469248
1999-02-03,0.22488969513826432
1999-02-04,0.2626515606581775
1999-02-05,0.29813224859237747
1999-02-08,0.3313980500245982
1999-02-09,0.36252107173436615
1999-02-10,0.3915786729061647
1999-02-11,0.4186527543570028
1999-02-12,0.44382894185022626
1999-02-15,0.46719570473945027
1999-02-16,0.48884344862624923
1999-02-17,0.5088636164397714
1999-02-18,0.5273478269258138
1999-02-19,0.5443870735215297
1999-02-22,0.5600710004797782
1999-02-23,0.5744872672890879
1999-02-24,0.5877210071981064
1999-02-25,0.5998543811773429
1999-02-26,0.6109662250209315
1999-03-01,0.6211317845145539
1999-03-02,-0.01897866401511726
1999-03-03,-0.05110945663105861
1999-03-04,-0.08253356282141108
1999-03-05,-0.11324967518591529
1999-03-08,-0.14325058576566457
1999-03-09,-0.17252380818648064
1999-03-10,-0.20105230726171025
1999-03-11,-0.22881532916018593
1999-03-12,-0.25578931867093996
1999-03-15,-0.28194890364125136
1999-03-16,-0.3072679208571427
1999-03-17,-0.33172045301773606
1999-03-18,-0.3552818435163182
1999-03-19,-0.3779296548507729
1999-03-22,-0.39964453783548604
1999-03-23,-0.4204109823521632
1999-03-24,-0.44021792591104003
1999-03-25,-0.45905920334967965
1999-03-26,-0.47693382897953196
1999-03-29,-0.493846110731881
1999-03-30,-0.5098056036925962
1999-03-31,-0.5248269172695931
1999-04-01,-0.5575672290021996
1999-04-02,-0.5682589276598137
1999-04-05,-0.578401059985206
1999-04-06,-0.5879917367613808
1999-04-07,-0.5970335629204562
1999-04-08,-0.6055332565830905
1999-04-09,-0.613501211439796
1999-04-12,-0.620951022832036
1999-04-13,-0.6278989966831715
1999-04-14,-0.6343636583850872
1999-04-15,-0.6403652761467603
1999-04-16,-0.645925410426279
1999-04-19,-0.6510664981338525
1999-04-20,-0.6558114774984988
1999-04-21,-0.6601834569708616
1999-04-22,-0.6642054293732021
1999-04-23,-0.6679000307442315
1999-04-26,-0.67128934196397
1999-04-27,-0.6743947302584983
1999-04-28,-0.6772367270350796
1999-04-29,-0.6798349381340278
