date,ITA_macro_f1__ITA_macro_f2
1999-02-01,0.43107269322999475
1999-02-02,0.3762850355042105
1999-02-03,0.32334742299746444
1999-02-04,0.27465747260059964
1999-02-05,0.2298734226117492
1999-02-08,0.1886811527469687
1999-02-09,0.15079192641679864
1999-02-10,0.11594032080544005
1999-02-11,0.08388232861298828
1999-02-12,0.054393616785551796
1999-02-15,0.027267928879003075
1999-02-16,0.0023156188943040585
1999-02-17,-0.020637694500237783
1999-02-18,-0.041752363469545764
1999-02-19,-0.06117584546181705
1999-02-22,-0.07904374503378819
1999-02-23,-0.0954807707499461
1999-02-24,-0.11060161419378252
1999-02-25,-0.12451175752836836
1999-02-26,-0.13730821549663533
1999-03-01,-0.1490802172535675
1999-03-02,-0.15991428359357113
1999-03-03,-0.16987655458075918
1999-03-04,-0.17904140507490562
1999-03-05,-0.18747269617663756
1999-03-08,-0.1952291697232487
1999-03-09,-0.2023648594264466
1999-03-10,-0.2089294688730542
1999-03-11,-0.21496871907769302
1999-03-12,-0.22052466805534526
1999-03-15,-0.22563600467930825
1999-03-16,-0.23033831890463452
1999-03-17,-0.23466435026720517
1999-03-18,-0.23864421641278377
1999-03-19,-0.2423056232675233
1999-03-22,-0.24567405833034073
1999-03-23,-0.2487729684473364
1999-03-24,-0.25162392331809025
1999-03-25,-0.25424676588238826
1999-03-26,-0.2566597506429539
1999-03-29,-0.25887967089438885
1999-03-30,-0.2609219757501294
1999-03-31,-0.26280087778721484
1999-04-01,-0.28095590089576267
1999-04-02,-0.28122221332408065
1999-04-05,-0.2814690382191069
1999-04-06,-0.28169767057819123
1999-04-07,-0.28190933914301486
1999-04-08,-0.28210520663594785
1999-04-09,-0.2822863706145256
1999-04-12,-0.28245386482812795
1999-04-13,-0.2826086609710872
1999-04-14,-0.2827516707406914
1999-04-15,-0.28288374812155737
1999-04-16,-0.2830056918296112
1999-04-19,-0.2831182478594313
1999-04-20,-0.28322211208804354
1999-04-21,-0.2833179328964612
1999-04-22,-0.2834063137774207
1999-04-23,-0.2834878159039681
1999-04-26,-0.2835629606388821
1999-04-27,-0.28363223196947307
1999-04-28,-0.2836960788561574
1999-04-29,-0.2837549174864511
1999-04-30,-0.28380913342873904
1999-05-03,-0.284687632930275
1999-05-04,-0.28466752141415586
1999-05-05,-0.2846490740637878
1999-05-06,-0.2846321493855067
1999-05-07,-0.2846166184623775
1999-05-10,-0.28460236376036596
1999-05-11,-0.2845892780581153
1999-05-12,-0.28457726348583556
1999-05-13,-0.2845662306611867
1999-05-14,-0.2845560979114806
1999-05-17,-0.28454679057279375
1999-05-18,-0.284538240357686
1999-05-19,-0.28453038478419734
1999-05-20,-0.2845231666596415
1999-05-21,-0.2845165336134642
1999-05-24,-0.28451043767408735
1999-05-25,-0.2845048348852366
1999-05-26,-0.28449968495775235
1999-05-27,-0.28449495095332883
1999-05-28,-0.2844905989970175
1999-05-31,-0.28448659801567266
1999-06-01,-0.284362688732413
1999-06-02,-0.28436891320875507
1999-06-03,-0.2843746438597693
1999-06-04,-0.28437991955782965
1999-06-07,-0.28438477616277086
1999-06-08,-0.2843892467477972
1999-06-09,-0.2843933618098452
1999-06-10,-0.28439714946503725
1999-06-11,-0.28440063563012447
1999-06-14,-0.28440384419079384
1999-06-15,-0.28440679715767864
1999-06-16,-0.28440951481087884
1999-06-17,-0.2844120158337585
1999-06-18,-0.2844143174367503
1999-06-21,-0.2844164354718585
1999-06-22,-0.2844183845385115
1999-06-23,-0.2844201780813781
1999-06-24,-0.284421828480725
1999-06-25,-0.28442334713585615
1999-06-28,-0.28442474454213806
1999-06-29,-0.2844260303620873
1999-06-30,-0.28442721349095806
1999-07-01,-0.27594424477667656
1999-07-02,-0.2766288272752412
1999-07-05,-0.27725768206600376
1999-07-06,-0.27783541715445104
1999-07-07,-0.27836624841678065
1999-07-08,-0.2788540346826637
1999-07-09,-0.27930230942133455
1999-07-12,-0.2797143093940697
1999-07-13,-0.28009300059668996
1999-07-14,-0.2804411017764072
1999-07-15,-0.280761105773453
1999-07-16,-0.28105529890864284
1999-07-19,-0.2813257786126449
1999-07-20,-0.2815744694706489
1999-07-21,-0.2818031378368965
1999-07-22,-0.2820134051567096
1999-07-23,-0.28220676011891793
1999-07-26,-0.28238456974863224
1999-07-27,-0.2825480895389021
1999-07-28,-0.28269847270972637
1999-07-29,-0.2828367786739673
1999-07-30,-0.28296398078181856
1999-08-02,-0.28308097340844707
1999-08-03,-0.2807913405610428
1999-08-04,-0.28108265409095745
1999-08-05,-0.2813504808441713
1999-08-06,-0.2815967278575823
1999-08-09,-0.28182314524908814
1999-08-10,-0.2820313394484298
1999-08-11,-0.28222278526453254
1999-08-12,-0.28239883689794026
1999-08-13,-0.2825607379968458
1999-08-16,-0.2827096308450958
1999-08-17,-0.2828465647615884
1999-08-18,-0.28297250378254923
1999-08-19,-0.2830883336911254
1999-08-20,-0.28319486845246505
1999-08-23,-0.28329285610686106
1999-08-24,-0.2833829841685418
1999-08-25,-0.28346588457322264
1999-08-26,-0.2835421382135245
1999-08-27,-0.28361227909776654
1999-08-30,-0.2836767981644049
1999-08-31,-0.28373614678147097
1999-09-01,-0.28331646601483124
1999-09-02,-0.28340454279477506
1999-09-03,-0.28348555861043656
1999-09-06,-0.2835600806213058
1999-09-07,-0.2836286302622706
1999-09-08,-0.2836916869559192
1999-09-09,-0.2837496915194404
1999-09-10,-0.28380304929186895
1999-09-13,-0.28385213300515316
1999-09-14,-0.283897285420467
1999-09-15,-0.2839388217493322
1999-09-16,-0.2839770318774305
1999-09-17,-0.28401218240744863
1999-09-20,-0.28404451853590873
1999-09-21,-0.2840742657776634
1999-09-22,-0.28410163155058205
1999-09-23,-0.2841268066318972
1999-09-24,-0.28414996649672064
1999-09-27,-0.28417127254835817
1999-09-28,-0.2841908732492547
1999-09-29,-0.28420890516066116
1999-09-30,-0.2842254938984527
1999-10-01,-0.2865461313223022
1999-10-04,-0.28637665044548566
1999-10-05,-0.2862206646522848
1999-10-06,-0.2860771040272285
1999-10-07,-0.28594498276886804
1999-10-08,-0.28582339268635193
1999-10-11,-0.28571149718139227
1999-10-12,-0.28560852568274336
1999-10-13,-0.28551376850135335
1999-10-14,-0.2854265720762434
1999-10-15,-0.2853463345830091
1999-10-18,-0.2852725018786164
1999-10-19,-0.28520456375786213
1999-10-20,-0.28514205049850366
1999-10-21,-0.2850845296736045
1999-10-22,-0.28503160321111387
1999-10-25,-0.28498290468208354
1999-10-26,-0.2849380968002374
1999-10-27,-0.2848968691168341
1999-10-28,-0.28485893589592537
1999-10-29,-0.2848240341561885
1999-11-01,-0.2847919218665281
1999-11-02,-0.2799556949197927
1999-11-03,-0.2803135543213519
1999-11-04,-0.28064252083518687
1999-11-05,-0.280944946799788
1999-11-08,-0.2812229900098606
1999-11-09,-0.2814786302709266
1999-11-10,-0.28171368447570727
1999-11-11,-0.28192982034286274
1999-11-12,-0.2821285689459614
1999-11-15,-0.28231133614697024
1999-11-16,-0.2824794130366093
1999-11-17,-0.2826339854733767
1999-11-18,-0.28277614280374436
1999-11-19,-0.282906885837768
1999-11-22,-0.2830271341470386
1999-11-23,-0.2831377327453816
1999-11-24,-0.2832394582069028
1999-11-25,-0.28333302427079166
