date,ESP_banking_system_f1__ESP_banking_system_f2
1999-02-01,-0.12503894076775274
1999-02-02,-0.3119212896000545
1999-02-03,-0.4412424918781708
1999-02-04,-0.5410155236292602
1999-02-05,-0.6178608632765675
1999-02-08,-0.6769672578279076
1999-02-09,-0.7223818619328002
1999-02-10,-0.757248006890936
1999-02-11,-0.7839990154593457
1999-02-12,-0.8045137891411065
1999-02-15,-0.8202402871069132
1999-02-16,-0.8322926830761983
1999-02-17,-0.841527315564039
1999-02-18,-0.8486017681657587
1999-02-19,-0.8540206550204575
1999-02-22,-0.8581710020224601
1999-02-23,-0.8613495285778165
1999-02-24,-0.8637836491053169
1999-02-25,-0.8656476194900111
1999-02-26,-0.8670749388253831
1999-03-01,-0.8681678678616882
1999-03-02,-0.8119554749997864
1999-03-03,-0.8261920578496162
1999-03-04,-0.8370116981618457
1999-03-05,-0.8452347289098258
1999-03-08,-0.8514952931791329
1999-03-09,-0.8562681381845435
1999-03-10,-0.8599105132519943
1999-03-11,-0.8626923374996407
1999-03-12,-0.8648181844102472
1999-03-15,-0.8664434728310445
1999-03-16,-0.867686494127014
1999-03-17,-0.8686374075538439
1999-03-18,-0.8693650042201864
1999-03-19,-0.8699218143878924
1999-03-22,-0.8703479763098019
1999-03-23,-0.8706741742074096
1999-03-24,-0.8709238736268754
1999-03-25,-0.8711150247067905
1999-03-26,-0.8712613614767671
1999-03-29,-0.8713733938553899
1999-03-30,-0.8714591655306843
1999-03-31,-0.8715248332707565
1999-04-01,-0.08484122250107637
1999-04-02,0.07162318386289646
1999-04-05,0.20823669992109167
1999-04-06,0.32570254421177625
1999-04-07,0.42512552387960856
1999-04-08,0.5080007628757031
1999-04-09,0.5761076522699295
1999-04-12,0.6313692888757281
1999-04-13,0.6757144381646388
1999-04-14,0.7109672091277341
1999-04-15,0.7387745957300893
1999-04-16,0.7605703048399874
1999-04-19,0.7775670315412141
1999-04-20,0.7907677112191811
1999-04-21,0.800987374205258
1999-04-22,0.8088793788962867
1999-04-23,0.8149619753017379
1999-04-26,0.8196428997335274
1999-04-27,0.8232409261236091
1999-04-28,0.8260040698867606
1999-04-29,0.8281245753882625
1999-04-30,0.8297510304301334
1999-05-03,0.7785367811731553
1999-05-04,0.781757115710876
1999-05-05,0.7870354078106119
1999-05-06,0.7932675965814213
1999-05-07,0.7996655137581876
1999-05-10,0.8057228451183183
1999-05-11,0.8111571884873207
1999-05-12,0.8158489448880825
1999-05-13,0.8197860667205388
1999-05-14,0.8230198103717141
1999-05-17,0.8256327597299585
1999-05-18,0.8277178142793853
1999-05-19,0.8293657082827909
1999-05-20,0.8306585184432721
1999-05-21,0.831667022165351
1999-05-24,0.8324503242128368
1999-05-25,0.8330566829416175
1999-05-26,0.8335248668706877
1999-05-27,0.8338856526552878
1999-05-28,0.8341632578881673
1999-05-31,0.8343766135153363
1999-06-01,0.836870170426437
1999-06-02,0.8358736999669142
1999-06-03,0.8353226762478565
1999-06-04,0.8350394850363789
1999-06-07,0.8349102713224883
1999-06-08,0.83486577764124
1999-06-09,0.83486510093431
1999-06-10,0.834884854605057
1999-06-11,0.834912188857275
1999-06-14,0.8349404260167252
1999-06-15,0.83496639976398
1999-06-16,0.8349888707346371
1999-06-17,0.8350076050207362
1999-06-18,0.8350228520784119
1999-06-21,0.8350350584307729
1999-06-22,0.8350447177163094
1999-06-23,0.8350522977454374
1999-06-24,0.8350582097775341
1999-06-25,0.8350627999935565
1999-06-28,0.835066351878889
1999-06-29,0.8350690933269913
1999-06-30,0.8350712051979595
1999-07-01,0.8242912627350008
1999-07-02,0.8267931968111093
1999-07-05,0.8287221166258298
1999-07-06,0.8302045930530452
1999-07-07,0.8313426951178203
1999-07-08,0.8322157660387515
1999-07-09,0.8328851759963088
1999-07-12,0.8333982440679342
1999-07-13,0.8337913800115608
1999-07-14,0.8340925603270688
1999-07-15,0.8343232608292053
1999-07-16,0.8344999559250421
1999-07-19,0.8346352771834865
1999-07-20,0.8347389062688724
1999-07-21,0.8348182618990209
1999-07-22,0.8348790276691391
1999-07-23,0.8349255572364667
1999-07-26,0.8349611851556644
1999-07-27,0.8349884652192365
1999-07-28,0.8350093531452059
1999-07-29,0.835025346569561
1999-07-30,0.835037592300074
1999-08-02,0.8350469684753122
1999-08-03,0.8446122443452962
1999-08-04,0.8421814803436263
1999-08-05,0.8403868242212256
1999-08-06,0.8390601385886973
1999-08-09,0.8380755762133609
1999-08-10,0.8373417361185416
1999-08-11,0.836792406498416
1999-08-12,0.8363795481235665
1999-08-13,0.8360681595482226
1999-08-16,0.8358325938740114
1999-08-17,0.8356539417753961
1999-08-18,0.8355181760955523
1999-08-19,0.8354148325787825
1999-08-20,0.8353360661061593
1999-08-23,0.8352759702733064
1999-08-24,0.8352300826829633
1999-08-25,0.8351950222765638
1999-08-26,0.835168221424797
1999-08-27,0.8351477266780969
1999-08-30,0.8351320497234046
1999-08-31,0.8351200553588347
1999-09-01,0.837818934051844
1999-09-02,0.837179454238304
1999-09-03,0.83668863910986
1999-09-06,0.8363125099467708
1999-09-07,0.8360243340664318
1999-09-08,0.8358035812497856
1999-09-09,0.835634497569901
1999-09-10,0.8355050012094142
1999-09-13,0.8354058304066199
1999-09-14,0.8353298873914738
1999-09-15,0.8352717340008557
1999-09-16,0.8352272043259119
1999-09-17,0.83519310746861
1999-09-20,0.835166999574957
1999-09-21,0.8351470090718682
1999-09-22,0.8351317027321989
1999-09-23,0.8351199830532905
1999-09-24,0.8351110096416166
1999-09-27,0.8351041389956508
1999-09-28,0.8350988783857832
1999-09-29,0.835094850533747
1999-09-30,0.8350917665642714
1999-10-01,0.8281902683180693
1999-10-04,0.8297901410602175
1999-10-05,0.8310227295454925
1999-10-06,0.8319696742437057
1999-10-07,0.8326964912829649
1999-10-08,0.8332539867401179
1999-10-11,0.8336814065781023
1999-10-12,0.8340089893097071
1999-10-13,0.8342599926508828
1999-10-14,0.8344522833022744
1999-10-15,0.8345995746653601
1999-10-18,0.8347123857303536
1999-10-19,0.8347987814894429
1999-10-20,0.8348649433424754
1999-10-21,0.8349156078187668
1999-10-22,0.8349544036224893
1999-10-25,0.8349841103459567
1999-10-26,0.8350068569316365
1999-10-27,0.8350242738439668
1999-10-28,0.8350376097073658
1999-10-29,0.8350478206846021
1999-11-01,0.8350556389529048
1999-11-02,0.6850150597878039
1999-11-03,0.3551396178979426
1999-11-04,0.0432894751687623
1999-11-05,-0.18415383010216563
1999-11-08,-0.3524079298874799
1999-11-09,-0.47807778160618875
1999-11-10,-0.57256821256222
1999-11-11,-0.6439513271354084
1999-11-12,-0.6980621574357502
1999-11-15,-0.7391825346766656
1999-11-16,-0.770488852654369
1999-11-17,-0.7943562434186318
1999-11-18,-0.8125711357391454
1999-11-19,-0.826483038534513
1999-11-22,-0.8371147305083269
1999-11-23,-0.8452432678597267
1999-11-24,-0.8514601130954527
1999-11-25,-0.8562160943694307
1999-11-26,-0.8598552107569898
1999-11-29,-0.8626401593850669
1999-11-30,-0.8647716744684664
1999-12-01,-0.4059568564849608
1999-12-02,-0.39972791605236124
1999-12-03,-0.40168283458454984
1999-12-06,-0.4107555183689133
1999-12-07,-0.4261408944433117
1999-12-08,-0.44713235193218515
1999-12-09,-0.4730067499564964
1999-12-10,-0.5029467233274352
1999-12-13,-0.5359979988427104
1999-12-14,-0.5710664921632871
1999-12-15,-0.6069592507395828
1999-12-16,-0.6424654403786602
1999-12-17,-0.676461565485871
1999-12-20,-0.708015199830401
1999-12-21,-0.7364602577621484
1999-12-22,-0.7614263707055952
1999-12-23,-0.7828207348515376
1999-12-24,-0.8007748497730347
1999-12-27,-0.815575057003202
1999-12-28,-0.8275941878249347
1999-12-29,-0.8372353733137258
1999-12-30,-0.844892232548769
1999-12-31,-0.850924708035862
2000-01-03,-0.8489478190018255
2000-01-04,-0.8518881454375264
2000-01-05,-0.8549744174775045
2000-01-06,-0.8579046840236683
2000-01-07,-0.8605209287158995
2000-01-10,-0.8627632316035461
2000-01-11,-0.8646306312455551
2000-01-12,-0.8661537559510081
2000-01-13,-0.8673770995268199
2000-01-14,-0.8683484177692422
2000-01-17,-0.8691129697970865
2000-01-18,-0.8697108299454752
2000-01-19,-0.8701760139740217
2000-01-20,-0.8705365924425936
2000-01-21,-0.8708152792613857
2000-01-24,-0.8710301971020629
2000-01-25,-0.8711956577208554
2000-01-26,-0.871322877857263
2000-01-27,-0.8714205989006418
2000-01-28,-0.8714956042421338
2000-01-31,-0.871553140978467
2000-02-01,-0.31082619722433374
2000-02-02,-0.06575224939526038
2000-02-03,0.1308875214364149
2000-02-04,0.2870938616460683
2000-02-07,0.4101828900487558
2000-02-08,0.5065571208075053
2000-02-09,0.5816357721947844
2000-02-10,0.6398947290731232
2000-02-11,0.6849638105111555
2000-02-14,0.7197465098552629
2000-02-15,0.746541303790566
2000-02-16,0.7671534115878598
2000-02-17,0.782992153014732
2000-02-18,0.7951527421719822
2000-02-21,0.8044833228470989
2000-02-22,0.8116389527136517
2000-02-23,0.8171245285738042
2000-02-24,0.821328600901605
2000-02-25,0.8245498272111091
2000-02-28,0.8270175594827501
2000-02-29,0.8289078038399886
2000-03-01,0.7551413822975552
2000-03-02,0.7746194487736451
2000-03-03,0.7892555301886421
2000-03-06,0.8002604294830318
2000-03-07,0.8085733456605793
2000-03-08,0.8148739992313276
2000-03-09,0.8196614033319808
2000-03-10,0.8233057640106964
2000-03-13,0.826083864776005
2000-03-14,0.8282038416516604
2000-03-15,0.8298228897075024
2000-03-16,0.8310601200375763
2000-03-17,0.8320060103783109
2000-03-20,0.8327294177435013
2000-03-21,0.833282819984499
2000-03-22,0.8337062555561513
2000-03-23,0.834030297570832
2000-03-24,0.8342783062874564
2000-03-27,0.8344681394354203
2000-03-28,0.8346134534007597
2000-03-29,0.8347246946258225
2000-03-30,0.834809855841333
2000-03-31,0.8348750534205007
2000-04-03,0.5634900826596054
2000-04-04,0.2085039779315993
2000-04-05,-0.05509507806884994
2000-04-06,-0.2523646394473846
2000-04-07,-0.40086809652152106
2000-04-10,-0.5131396837037567
2000-04-11,-0.5982863185517405
2000-04-12,-0.6630121290641826
2000-04-13,-0.712300487124934
2000-04-14,-0.7498825159347251
2000-04-17,-0.778566913979272
2000-04-18,-0.8004766296716289
2000-04-19,-0.8172212356438879
2000-04-20,-0.8300239250718591
2000-04-21,-0.8398159117751247
2000-04-24,-0.8473070836206681
2000-04-25,-0.8530391628990586
2000-04-26,-0.8574258676052782
2000-04-27,-0.8607833471042285
2000-04-28,-0.8633533027182974
2000-05-01,-0.8653205837084865
2000-05-02,-0.8382404580222811
2000-05-03,-0.845876515065374
