date,ESP_macro_f1__ESP_macro_f2
1999-02-01,0.5286425427669063
1999-02-02,0.4641998921233791
1999-02-03,0.4063977345832761
1999-02-04,0.3533416108331052
1999-02-05,0.3046340651160203
1999-02-08,0.25991078618075747
1999-02-09,0.21883922156116514
1999-02-10,0.18111562264637693
1999-02-11,0.1464623847366261
1999-02-12,0.11462565854259857
1999-02-15,0.0853732015273618
1999-02-16,0.05849244168772272
1999-02-17,0.03378872999512565
1999-02-18,0.01108376079016564
1999-02-19,-0.009785857957587862
1999-02-22,-0.028969900375371893
1999-02-23,-0.04660569833020442
1999-02-24,-0.06281920926839278
1999-02-25,-0.07772598710376558
1999-02-26,-0.09143206577006606
1999-03-01,-0.10403476397781128
1999-03-02,-0.11073322228234558
1999-03-03,-0.12183070607255116
1999-03-04,-0.1320269701479016
1999-03-05,-0.14139735389984368
1999-03-08,-0.15000951356171166
1999-03-09,-0.15792543791679836
1999-03-10,-0.1652019497487469
1999-03-11,-0.17189115149959344
1999-03-12,-0.17804083012273522
1999-03-15,-0.18369482527165798
1999-03-16,-0.18889336443579105
1999-03-17,-0.19367336823663106
1999-03-18,-0.19806872874917414
1999-03-19,-0.202110563408256
1999-03-22,-0.20582744679075093
1999-03-23,-0.20924562232771937
1999-03-24,-0.21238919579130622
1999-03-25,-0.21528031221583976
1999-03-26,-0.21793931774809416
1999-03-29,-0.22038490777539863
1999-03-30,-0.22263426254993737
1999-03-31,-0.22470317141122542
1999-04-01,-0.2327401457708854
1999-04-02,-0.2340003529625952
1999-04-05,-0.2351529941109823
1999-04-06,-0.23621442620127037
1999-04-07,-0.23719184219304107
1999-04-08,-0.23809182694107828
1999-04-09,-0.23892045885050583
1999-04-12,-0.2396833476745217
1999-04-13,-0.24038566934839492
1999-04-14,-0.24103219843251805
1999-04-15,-0.24162733829966174
1999-04-16,-0.24217514919645364
1999-04-19,-0.24267937430605926
1999-04-20,-0.24314346393521258
1999-04-21,-0.2435705979443084
1999-04-22,-0.2439637065344082
1999-04-23,-0.24432548949986233
1999-04-26,-0.24465843404994342
1999-04-27,-0.24496483129749674
1999-04-28,-0.24524679150724016
1999-04-29,-0.24550625819103344
1999-04-30,-0.2457450211322379
1999-05-03,-0.2547602504663553
1999-05-04,-0.25426215083209885
1999-05-05,-0.2538077725610725
1999-05-06,-0.2533892061931735
1999-05-07,-0.25300363968099815
1999-05-10,-0.2526485057907746
1999-05-11,-0.25232143204127666
1999-05-12,-0.25202022648197975
1999-05-13,-0.2517428646135955
1999-05-14,-0.2514874771597142
1999-05-17,-0.2512523386473385
1999-05-18,-0.2510358567554789
