date,USA_financial_markets_f1__USA_financial_markets_f2
1999-02-01,-0.10510527466005379
1999-02-02,-0.3529487097105886
1999-02-03,-0.5280149324082458
1999-02-04,-0.6472769730337665
1999-02-05,-0.7284757040415697
1999-02-08,-0.7837373806275625
1999-02-09,-0.821336846050899
1999-02-10,-0.8469144309769231
1999-02-11,-0.8643117828563412
1999-02-12,-0.8761441015091334
1999-02-15,-0.8841910545578386
1999-02-16,-0.8896634315468989
1999-02-17,-0.8933848537143788
1999-02-18,-0.8959155147494614
1999-02-19,-0.8976364068772243
1999-02-22,-0.89880663267245
1999-02-23,-0.8996023946857082
1999-02-24,-0.900143516512786
1999-02-25,-0.9005114808701192
1999-02-26,-0.9007616972135326
1999-03-01,-0.9009318445137919
1999-03-02,-0.8925161463549443
1999-03-03,-0.8946136660557582
1999-03-04,-0.896395982728178
1999-03-05,-0.8977743727456383
1999-03-08,-0.8987893401988747
1999-03-09,-0.8995156848937673
1999-03-10,-0.9000264101045192
1999-03-11,-0.9003815054273528
1999-03-12,-0.9006265873073601
1999-03-15,-0.9007949184736282
1999-03-16,-0.9009101593269718
1999-03-17,-0.9009888820425688
1999-03-18,-0.9010425795323607
1999-03-19,-0.9010791706168607
1999-03-22,-0.9011040880603444
1999-03-23,-0.901121048334769
1999-03-24,-0.9011325889060823
1999-03-25,-0.9011404399982658
1999-03-26,-0.9011457803585834
1999-03-29,-0.9011494125498776
1999-03-30,-0.9011518827838587
1999-03-31,-0.9011535627011821
1999-04-01,-0.7029749281702434
1999-04-02,-0.7471503387984716
1999-04-05,-0.7853727051294798
1999-04-06,-0.8162736215809239
1999-04-07,-0.840072497190341
1999-04-08,-0.8577582760514835
1999-04-09,-0.8705617780953291
1999-04-12,-0.8796574507042423
1999-04-13,-0.8860329329187179
1999-04-14,-0.8904598286628537
1999-04-15,-0.8935136190652632
1999-04-16,-0.8956106884157495
1999-04-19,-0.8970462919333898
1999-04-20,-0.8980269780556318
1999-04-21,-0.898695926220159
1999-04-22,-0.8991517771950005
1999-04-23,-0.8994622037252574
1999-04-26,-0.8996735011476444
1999-04-27,-0.8998172793418056
1999-04-28,-0.8999150928713084
1999-04-29,-0.8999816265624451
1999-04-30,-0.9000268789295726
1999-05-03,-0.8420132592596683
1999-05-04,-0.854055896125908
1999-05-05,-0.8655198187415467
1999-05-06,-0.8750755670116772
1999-05-07,-0.8824878821362981
1999-05-10,-0.8879890502006703
1999-05-11,-0.8919565011393789
1999-05-12,-0.8947638472652774
1999-05-13,-0.8967250294122613
1999-05-14,-0.8980832772444302
1999-05-17,-0.8990184469558861
1999-05-18,-0.8996597612802913
