date,DEU_financial_markets_f1__DEU_financial_markets_f2
1999-02-01,0.12800321747070278
1999-02-02,0.15414290098432326
1999-02-03,0.1870649223034135
1999-02-04,0.2173191058608493
1999-02-05,0.2451239746031989
1999-02-08,0.27067997783063624
1999-02-09,0.29417082526625354
1999-02-10,0.31576493694457386
1999-02-11,0.3356167595100964
1999-02-12,0.35386796244656016
1999-02-15,0.3706485262147288
1999-02-16,0.386077732930204
1999-02-17,0.40026506903920495
1999-02-18,0.41331104842436295
1999-02-19,0.42530796347332833
1999-02-22,0.4363405708526631
1999-02-23,0.44648671803313045
1999-02-24,0.4558179159974332
1999-02-25,0.46439986301689423
1999-02-26,0.472292923900389
1999-03-01,0.47955256868914464
1999-03-02,0.5009065965453708
1999-03-03,0.5057703764731902
1999-03-04,0.5102642109528623
1999-03-05,0.5144149599123105
1999-03-08,0.5182476315536777
1999-03-09,0.5217855900052326
1999-03-10,0.5250506359150668
1999-03-11,0.5280630876089255
1999-03-12,0.5308418618606245
1999-03-15,0.5334045535022091
1999-03-16,0.5357675132588158
1999-03-17,0.5379459233291646
1999-03-18,0.539953870348781
1999-03-19,0.5418044154715589
1999-03-22,0.5435096613880872
1999-03-23,0.5450808161681712
1999-03-24,0.5465282538719324
1999-03-25,0.5478615719203543
1999-03-26,0.5490896452536199
1999-03-29,0.5502206773353256
1999-03-30,0.5512622480838505
1999-03-31,0.5522213588297795
1999-04-01,0.5533730966255894
1999-04-02,0.5540670738591151
1999-04-05,0.5547182173531058
1999-04-06,0.5553283437094263
1999-04-07,0.5558991983676445
1999-04-08,0.5564325895081004
1999-04-09,0.5569303585855477
1999-04-12,0.5573943557076473
1999-04-13,0.557826419319929
1999-04-14,0.5582283596841738
1999-04-15,0.5586019456716731
1999-04-16,0.5589488944304044
1999-04-19,0.5592708635241529
1999-04-20,0.5595694451806736
1999-04-21,0.5598461623241479
1999-04-22,0.5601024661036837
1999-04-23,0.5603397346639543
1999-04-26,0.5605592729359261
1999-04-27,0.5607623132548425
1999-04-28,0.5609500166391221
1999-04-29,0.561123474587663
1999-04-30,0.5612837112742788
1999-05-03,0.5577011144297004
1999-05-04,0.558138648833104
1999-05-05,0.5585413937665966
1999-05-06,0.5589120017891509
1999-05-07,0.5592530311828436
1999-05-10,0.5595668375087524
1999-05-11,0.5598555895256111
1999-05-12,0.5601212838829095
1999-05-13,0.5603657586768458
1999-05-14,0.5605907059542802
1999-05-17,0.5607976832439054
1999-05-18,0.5609881241882638
1999-05-19,0.5611633483449865
1999-05-20,0.5613245702206993
1999-05-21,0.5614729075964244
1999-05-24,0.5616093891989881
1999-05-25,0.561734961768915
1999-05-26,0.561850496571533
1999-05-27,0.5619567953945089
1999-05-28,0.5620545960717824
1999-05-31,0.5621445775708371
1999-06-01,0.5691641829711392
1999-06-02,0.5687067156197727
1999-06-03,0.5682848300185461
1999-06-04,0.5678958943592494
1999-06-07,0.567537393516107
1999-06-08,0.5672069954751678
1999-06-09,0.5669025393650019
1999-06-10,0.5666220240538185
1999-06-11,0.5663635973245438
1999-06-14,0.5661255456292658
1999-06-15,0.5659062844178021
1999-06-16,0.5657043490298868
1999-06-17,0.5655183861363494
1999-06-18,0.5653471457115483
1999-06-21,0.5651894735170123
1999-06-22,0.5650443040746498
1999-06-23,0.5649106541068363
1999-06-24,0.5647876164201299
1999-06-25,0.5646743542091721
1999-06-28,0.5645700957574483
1999-06-29,0.5644741295119374
1999-06-30,0.5643857995092283
1999-07-01,0.5657866039646523
1999-07-02,0.5655637769382851
1999-07-05,0.565361074367421
1999-07-06,0.5651766612632299
1999-07-07,0.5650087747176197
1999-07-08,0.5648558349642013
1999-07-09,0.5647164250747514
1999-07-12,0.564589272980859
1999-07-13,0.5644732355620088
1999-07-14,0.5643672845646093
1999-07-15,0.5642704941410505
1999-07-16,0.5641820298205324
1999-07-19,0.5641011387440975
1999-07-20,0.5640271410151332
1999-07-21,0.5639594220335933
1999-07-22,0.5638974256974829
1999-07-23,0.5638406483688296
1999-07-26,0.5637886335135579
1999-07-27,0.5637409669355389
1999-07-28,0.5636972725346877
1999-07-29,0.5636572085274761
1999-07-30,0.5636204640757236
1999-08-02,0.5635867562761213
1999-08-03,0.5621642615528812
1999-08-04,0.5622638469135016
1999-08-05,0.5623559078401926
1999-08-06,0.5624409041394858
1999-08-09,0.56251935549621
1999-08-10,0.5625917468701632
1999-08-11,0.5626585302503624
1999-08-12,0.5627201264214663
1999-08-13,0.5627769267175783
1999-08-16,0.5628292947457774
1999-08-17,0.5628775680657674
1999-08-18,0.5629220598154006
1999-08-19,0.5629630602746154
1999-08-20,0.5630008383626212
1999-08-23,0.5630356430650323
1999-08-24,0.5630677047891813
1999-08-25,0.5630972366470505
1999-08-26,0.5631244356662336
1999-08-27,0.5631494839301007
1999-08-30,0.5631725496489207
1999-08-31,0.5631937881641355
1999-09-01,0.5647533179113922
1999-09-02,0.5646497467977357
1999-09-03,0.5645543671311398
1999-09-06,0.5644665632490783
1999-09-07,0.5643857374312529
1999-09-08,0.5643113385024507
