date,DEU_financial_markets_f1,DEU_financial_markets_f2
1999-02-01,-0.9408746326160812,-0.7904102715946419
1999-02-02,-0.9959025271317758,-0.9990631168368704
1999-02-03,-0.995902527131776,-0.9990702855698459
1999-02-04,-0.995902527131776,-0.9990702857419843
1999-02-05,-0.995902527131776,-0.9990702857419884
1999-02-08,-0.995902527131776,-0.9990702857419884
1999-02-09,-0.995902527131776,-0.9990702857419884
1999-02-10,-0.995902527131776,-0.9990702857419884
1999-02-11,-0.995902527131776,-0.9990702857419884
1999-02-12,-0.995902527131776,-0.9990702857419884
1999-02-15,-0.995902527131776,-0.9990702857419884
1999-02-16,-0.995902527131776,-0.9990702857419884
1999-02-17,-0.995902527131776,-0.9990702857419884
1999-02-18,-0.995902527131776,-0.9990702857419884
1999-02-19,-0.995902527131776,-0.9990702857419884
1999-02-22,-0.995902527131776,-0.9990702857419884
1999-02-23,-0.995902527131776,-0.9990702857419884
1999-02-24,-0.995902527131776,-0.9990702857419884
1999-02-25,-0.995902527131776,-0.9990702857419884
1999-02-26,-0.995902527131776,-0.9990702857419884
1999-03-01,-1.227760454552844,-1.421055183101808
1999-03-02,-0.9972983109346008,-0.9995457931543538
1999-03-03,-0.9972983109346008,-0.9995397298730925
1999-03-04,-0.9972983109346008,-0.9995397297275017
1999-03-05,-0.9972983109346008,-0.9995397297274982
1999-03-08,-0.9972983109346008,-0.9995397297274982
1999-03-09,-0.9972983109346008,-0.9995397297274982
1999-03-10,-0.9972983109346008,-0.9995397297274982
1999-03-11,-0.9972983109346008,-0.9995397297274982
1999-03-12,-0.9972983109346008,-0.9995397297274982
1999-03-15,-0.9972983109346008,-0.9995397297274982
1999-03-16,-0.9972983109346008,-0.9995397297274982
1999-03-17,-0.9972983109346008,-0.9995397297274982
1999-03-18,-0.9972983109346008,-0.9995397297274982
1999-03-19,-0.9972983109346008,-0.9995397297274982
1999-03-22,-0.9972983109346008,-0.9995397297274982
1999-03-23,-0.9972983109346008,-0.9995397297274982
1999-03-24,-0.9972983109346008,-0.9995397297274982
1999-03-25,-0.9972983109346008,-0.9995397297274982
1999-03-26,-0.9972983109346008,-0.9995397297274982
1999-03-29,-0.9972983109346008,-0.9995397297274982
1999-03-30,-0.9972983109346008,-0.9995397297274982
1999-03-31,-0.856069456176252,-1.8748900116633218
1999-04-01,-0.9963386601463663,-0.9998771289477524
1999-04-02,-0.9963386601463663,-0.9998685386747759
1999-04-05,-0.9963386601463663,-0.9998685384685079
1999-04-06,-0.9963386601463663,-0.9998685384685029
1999-04-07,-0.9963386601463663,-0.9998685384685029
1999-04-08,-0.9963386601463663,-0.9998685384685029
1999-04-09,-0.9963386601463663,-0.9998685384685029
1999-04-12,-0.9963386601463663,-0.9998685384685029
1999-04-13,-0.9963386601463663,-0.9998685384685029
1999-04-14,-0.9963386601463663,-0.9998685384685029
1999-04-15,-0.9963386601463663,-0.9998685384685029
1999-04-16,-0.9963386601463663,-0.9998685384685029
1999-04-19,-0.9963386601463663,-0.9998685384685029
1999-04-20,-0.9963386601463663,-0.9998685384685029
1999-04-21,-0.9963386601463663,-0.9998685384685029
1999-04-22,-0.9963386601463663,-0.9998685384685029
1999-04-23,-0.9963386601463663,-0.9998685384685029
1999-04-26,-0.9963386601463663,-0.9998685384685029
1999-04-27,-0.9963386601463663,-0.9998685384685029
1999-04-28,-0.9963386601463663,-0.9998685384685029
1999-04-29,-0.9963386601463663,-0.9998685384685029
1999-04-30,-1.0108735709051897,-0.8039759079556084
1999-05-03,-0.996442635691383,-0.9997905773416798
1999-05-04,-0.996442635691383,-0.9997971365765048
1999-05-05,-0.996442635691383,-0.9997971367340074
1999-05-06,-0.996442635691383,-0.9997971367340113
1999-05-07,-0.996442635691383,-0.9997971367340113
1999-05-10,-0.996442635691383,-0.9997971367340113
1999-05-11,-0.996442635691383,-0.9997971367340113
1999-05-12,-0.996442635691383,-0.9997971367340113
1999-05-13,-0.996442635691383,-0.9997971367340113
1999-05-14,-0.996442635691383,-0.9997971367340113
1999-05-17,-0.996442635691383,-0.9997971367340113
1999-05-18,-0.996442635691383,-0.9997971367340113
1999-05-19,-0.996442635691383,-0.9997971367340113
1999-05-20,-0.996442635691383,-0.9997971367340113
1999-05-21,-0.996442635691383,-0.9997971367340113
1999-05-24,-0.996442635691383,-0.9997971367340113
1999-05-25,-0.996442635691383,-0.9997971367340113
1999-05-26,-0.996442635691383,-0.9997971367340113
1999-05-27,-0.996442635691383,-0.9997971367340113
1999-05-28,-0.996442635691383,-0.9997971367340113
1999-05-31,-1.129251108667672,-1.245233183883039
1999-06-01,-0.9972269053376154,-0.9998731869868547
1999-06-02,-0.9972269053376154,-0.9998689223520096
1999-06-03,-0.9972269053376154,-0.9998689222496074
1999-06-04,-0.9972269053376154,-0.999868922249605
1999-06-07,-0.9972269053376154,-0.999868922249605
1999-06-08,-0.9972269053376154,-0.999868922249605
1999-06-09,-0.9972269053376154,-0.999868922249605
1999-06-10,-0.9972269053376154,-0.999868922249605
1999-06-11,-0.9972269053376154,-0.999868922249605
