date,ESP_public_finance_f1__ESP_public_finance_f2
1999-02-01,0.1942635313274596
1999-02-02,0.15670325827004233
1999-02-03,0.112538930393939
1999-02-04,0.07188867157836364
1999-02-05,0.0344742706247856
1999-02-08,3.932921263589655e-05
1999-02-09,-0.031652415841637555
1999-02-10,-0.0608186461264434
1999-02-11,-0.08765989955909023
1999-02-12,-0.11236090063911916
1999-02-15,-0.1350917905360332
1999-02-16,-0.15600926408148424
1999-02-17,-0.17525762031140985
1999-02-18,-0.1929697327921807
1999-02-19,-0.20926794556849687
1999-02-22,-0.22426490019093795
1999-02-23,-0.23806429891863395
1999-02-24,-0.25076160884799986
1999-02-25,-0.2624447113920645
1999-02-26,-0.27319450122657213
1999-03-01,-0.2830854385285005
1999-03-02,-0.18441654855410458
1999-03-03,-0.12427422161602375
1999-03-04,-0.06861385739276811
1999-03-05,-0.01712255324069214
1999-03-08,0.03049356736955082
1999-03-09,0.07451015348075032
1999-03-10,0.11518543510770546
1999-03-11,0.15276103546322717
1999-03-12,0.18746278194773985
1999-03-15,0.2195015110161589
1999-03-16,0.24907386234213835
1999-03-17,0.2763630581307784
1999-03-18,0.30153966393565257
1999-03-19,0.3247623278753757
1999-03-22,0.346178495689489
1999-03-23,0.36592509960186825
1999-03-24,0.38412921945741835
1999-03-25,0.4009087150549835
1999-03-26,0.41637282901071365
1999-03-29,0.43062275984923304
1999-03-30,0.4437522053348112
1999-03-31,0.4558478763228847
1999-04-01,0.4667107811724559
1999-04-02,0.4769991958100823
1999-04-05,0.48647401629905196
1999-04-06,0.4951988982529353
1999-04-07,0.5032326195296097
1999-04-08,0.5106294386115626
1999-04-09,0.5174394289656702
1999-04-12,0.523708790636279
1999-04-13,0.5294801403231795
1999-04-14,0.534792781174485
1999-04-15,0.5396829534944073
1999-04-16,0.5441840675292993
1999-04-19,0.5483269194537119
1999-04-20,0.5521398916329556
1999-04-21,0.5556491381909163
1999-04-22,0.5588787568626591
1999-04-23,0.5618509480614298
1999-04-26,0.5645861620397391
1999-04-27,0.5671032349748071
1999-04-28,0.5694195147601918
1999-04-29,0.5715509772382621
1999-04-30,0.5735123335625572
1999-05-03,0.5772230425335447
1999-05-04,0.5787450138919903
1999-05-05,0.5801479707975775
1999-05-06,0.5814410236236676
1999-05-07,0.5826326147640457
1999-05-10,0.5837305631610682
1999-05-11,0.5847421065944739
1999-05-12,0.5856739416687486
1999-05-13,0.5865322615348098
1999-05-14,0.5873227913979518
1999-05-17,0.588050821876762
1999-05-18,0.5887212402874362
1999-05-19,0.5893385599351043
1999-05-20,0.5899069474987263
1999-05-21,0.5904302485992329
1999-05-24,0.5909120116421516
1999-05-25,0.5913555100262462
1999-05-26,0.5917637628089556
1999-05-27,0.5921395539178432
1999-05-28,0.5924854499950376
1999-05-31,0.5928038169589267
1999-06-01,0.5886820296534077
1999-06-02,0.5892714303842915
1999-06-03,0.5898232973391104
1999-06-04,0.5903392653020065
1999-06-07,0.5908210260469455
1999-06-08,0.5912702992360305
1999-06-09,0.5916888087771401
1999-06-10,0.5920782636393095
1999-06-11,0.5924403425120593
1999-06-14,0.5927766817590019
1999-06-15,0.5930888661767053
1999-06-16,0.5933784221264644
1999-06-17,0.5936468126590182
1999-06-18,0.5938954343002202
1999-06-21,0.5941256152091984
1999-06-22,0.5943386144597447
1999-06-23,0.5945356222307179
1999-06-24,0.5947177607223769
1999-06-25,0.5948860856430271
1999-06-28,0.5950415881344842
1999-06-29,0.5951851970259038
1999-06-30,0.5953177813238069
1999-07-01,0.5946284499310975
1999-07-02,0.5948007772751911
1999-07-05,0.5949609997560414
1999-07-06,0.5951098330178972
1999-07-07,0.5952479732026252
1999-07-08,0.5953760928299441
1999-07-09,0.5954948379649629
1999-07-12,0.5956048262946914
1999-07-13,0.5957066459449132
1999-07-14,0.5958008548952343
1999-07-15,0.5958879808727534
1999-07-16,0.5959685216242284
1999-07-19,0.5960429454831835
1999-07-20,0.5961116921625202
1999-07-21,0.596175173715217
1999-07-22,0.596233775615854
1999-07-23,0.5962878579243253
1999-07-26,0.5963377565003307
1999-07-27,0.5963837842433444
1999-07-28,0.5964262323378586
1999-07-29,0.5964653714879599
1999-07-30,0.5965014531288442
1999-08-02,0.5965347106058139
1999-08-03,0.5963818689864202
1999-08-04,0.5964245524577245
1999-08-05,0.5964638442409353
1999-08-06,0.5965000121529288
1999-08-09,0.5965333031196947
1999-08-10,0.5965639447698727
1999-08-11,0.5965921469087335
1999-08-12,0.5966181028848856
1999-08-13,0.5966419908566756
1999-08-16,0.5966639749649282
1999-08-17,0.5966842064183592
1999-08-18,0.5967028244976516
1999-08-19,0.5967199574838695
1999-08-20,0.5967357235165486
1999-08-23,0.5967502313864869
